qualification_level;year;median_earnings_eur
<1.o ciclo do ensino basico;2014;625
<1.o ciclo do ensino basico;2015;631.25
<1.o ciclo do ensino basico;2016;642
<1.o ciclo do ensino basico;2017;670.93
<1.o ciclo do ensino basico;2018;701.5
<1.o ciclo do ensino basico;2019;728.52
<1.o ciclo do ensino basico;2020;753
<1.o ciclo do ensino basico;2021;780.25
<1.o ciclo do ensino basico;2022;825
<1.o ciclo do ensino basico;2023;893.11
<1.o ciclo do ensino basico;2024;958
Ensino basico;2014;686.25
Ensino basico;2015;690
Ensino basico;2016;699.11
Ensino basico;2017;722.52
Ensino basico;2018;752
Ensino basico;2019;783.62
Ensino basico;2020;810.23
Ensino basico;2021;845.4
Ensino basico;2022;891.6
Ensino basico;2023;964
Ensino basico;2024;1047.94
Ensino secundario + pos sec. nao superior nivel IV;2014;817.76
Ensino secundario + pos sec. nao superior nivel IV;2015;807.1
Ensino secundario + pos sec. nao superior nivel IV;2016;807.17
Ensino secundario + pos sec. nao superior nivel IV;2017;823.5
Ensino secundario + pos sec. nao superior nivel IV;2018;846.69
Ensino secundario + pos sec. nao superior nivel IV;2019;872.97
Ensino secundario + pos sec. nao superior nivel IV;2020;900.99
Ensino secundario + pos sec. nao superior nivel IV;2021;927.28
Ensino secundario + pos sec. nao superior nivel IV;2022;977.7
Ensino secundario + pos sec. nao superior nivel IV;2023;1050.8
Ensino secundario + pos sec. nao superior nivel IV;2024;1132.5
Ensino superior (2);2014;1402.52
Ensino superior (2);2015;1385.74
Ensino superior (2);2016;1380
Ensino superior (2);2017;1388.06
Ensino superior (2);2018;1425.49
Ensino superior (2);2019;1470.43
Ensino superior (2);2020;1508.15
Ensino superior (2);2021;1545.1
Ensino superior (2);2022;1621.95
Ensino superior (2);2023;1734.72
Ensino superior (2);2024;1853
Ignorado;2014;700
Ignorado;2015;650
Ignorado;2016;662.5
Ignorado;2017;700
Ignorado;2018;750.96
Ignorado;2019;742
Ignorado;2020;785.36
Ignorado;2021;850
Ignorado;2022;908.5
Ignorado;2023;930.01
Ignorado;2024;1014.94
