qualification_level;year;workers_count
<1.o ciclo do ensino basico;2014;10057
<1.o ciclo do ensino basico;2015;8484
<1.o ciclo do ensino basico;2016;8353
<1.o ciclo do ensino basico;2017;8132
<1.o ciclo do ensino basico;2018;7494
<1.o ciclo do ensino basico;2019;7345
<1.o ciclo do ensino basico;2020;6405
<1.o ciclo do ensino basico;2021;6063
<1.o ciclo do ensino basico;2022;5907
<1.o ciclo do ensino basico;2023;6162
<1.o ciclo do ensino basico;2024;6694
Ensino basico;2014;1028192
Ensino basico;2015;1031891
Ensino basico;2016;1036344
Ensino basico;2017;1043381
Ensino basico;2018;1039158
Ensino basico;2019;1007442
Ensino basico;2020;943206
Ensino basico;2021;923652
Ensino basico;2022;953672
Ensino basico;2023;946247
Ensino basico;2024;918964
Ensino secundario + pos sec. nao superior nivel IV;2014;502817
Ensino secundario + pos sec. nao superior nivel IV;2015;537397
Ensino secundario + pos sec. nao superior nivel IV;2016;574341
Ensino secundario + pos sec. nao superior nivel IV;2017;614973
Ensino secundario + pos sec. nao superior nivel IV;2018;661451
Ensino secundario + pos sec. nao superior nivel IV;2019;692025
Ensino secundario + pos sec. nao superior nivel IV;2020;678980
Ensino secundario + pos sec. nao superior nivel IV;2021;708685
Ensino secundario + pos sec. nao superior nivel IV;2022;796744
Ensino secundario + pos sec. nao superior nivel IV;2023;861654
Ensino secundario + pos sec. nao superior nivel IV;2024;894978
Ensino superior (2);2014;383510
Ensino superior (2);2015;408683
Ensino superior (2);2016;431481
Ensino superior (2);2017;461446
Ensino superior (2);2018;492822
Ensino superior (2);2019;519903
Ensino superior (2);2020;529942
Ensino superior (2);2021;557063
Ensino superior (2);2022;613051
Ensino superior (2);2023;645431
Ensino superior (2);2024;676845
Ignorado;2014;3731
Ignorado;2015;4676
Ignorado;2016;4392
Ignorado;2017;4011
Ignorado;2018;4524
Ignorado;2019;5685
Ignorado;2020;5585
Ignorado;2021;5131
Ignorado;2022;6741
Ignorado;2023;8106
Ignorado;2024;9430
