irct_type;year;avg_monthly_earnings_eur
Contrato Colectivo de Trabalho (CCT);2014;958.21
Contrato Colectivo de Trabalho (CCT);2015;967.68
Contrato Colectivo de Trabalho (CCT);2016;981.32
Contrato Colectivo de Trabalho (CCT);2017;1003.59
Contrato Colectivo de Trabalho (CCT);2018;1039.96
Contrato Colectivo de Trabalho (CCT);2019;1077.22
Contrato Colectivo de Trabalho (CCT);2020;1117.7
Contrato Colectivo de Trabalho (CCT);2021;1159.75
Contrato Colectivo de Trabalho (CCT);2022;1221.48
Contrato Colectivo de Trabalho (CCT);2023;1310.4
Contrato Colectivo de Trabalho (CCT);2024;1409.17
Acordo Colectivo de Trabalho (ACT);2014;1928.43
Acordo Colectivo de Trabalho (ACT);2015;1936.67
Acordo Colectivo de Trabalho (ACT);2016;1944.81
Acordo Colectivo de Trabalho (ACT);2017;1970.67
Acordo Colectivo de Trabalho (ACT);2018;1974.69
Acordo Colectivo de Trabalho (ACT);2019;1933.53
Acordo Colectivo de Trabalho (ACT);2020;1966.25
Acordo Colectivo de Trabalho (ACT);2021;1956.61
Acordo Colectivo de Trabalho (ACT);2022;2014.6
Acordo Colectivo de Trabalho (ACT);2023;2185.28
Acordo Colectivo de Trabalho (ACT);2024;2405.85
Portaria de Cond. de Trabalho (PCT)(3);2014;1112.83
Portaria de Cond. de Trabalho (PCT)(3);2015;1108.65
Portaria de Cond. de Trabalho (PCT)(3);2016;1109.69
Portaria de Cond. de Trabalho (PCT)(3);2017;1137.24
Portaria de Cond. de Trabalho (PCT)(3);2018;1189.52
Portaria de Cond. de Trabalho (PCT)(3);2019;1243.71
Portaria de Cond. de Trabalho (PCT)(3);2020;1290.47
Portaria de Cond. de Trabalho (PCT)(3);2021;1355.96
Portaria de Cond. de Trabalho (PCT)(3);2022;1448.63
Portaria de Cond. de Trabalho (PCT)(3);2023;1565.83
Portaria de Cond. de Trabalho (PCT)(3);2024;1674.27
Acordo de Empresa (AE);2014;2002.28
Acordo de Empresa (AE);2015;1985.41
Acordo de Empresa (AE);2016;1982.63
Acordo de Empresa (AE);2017;2024.68
Acordo de Empresa (AE);2018;2085.6
Acordo de Empresa (AE);2019;2111.4
Acordo de Empresa (AE);2020;1993.24
Acordo de Empresa (AE);2021;2027.84
Acordo de Empresa (AE);2022;2202.54
Acordo de Empresa (AE);2023;2332.16
Acordo de Empresa (AE);2024;2393.03
Nao Abrangidos por Reg. Coletiva;2014;1313.3
Nao Abrangidos por Reg. Coletiva;2015;1292.21
Nao Abrangidos por Reg. Coletiva;2016;1292.37
Nao Abrangidos por Reg. Coletiva;2017;1303.62
Nao Abrangidos por Reg. Coletiva;2018;1350.43
Nao Abrangidos por Reg. Coletiva;2019;1400.22
Nao Abrangidos por Reg. Coletiva;2020;1426.6
Nao Abrangidos por Reg. Coletiva;2021;1489.71
Nao Abrangidos por Reg. Coletiva;2022;1584.35
Nao Abrangidos por Reg. Coletiva;2023;1696.04
Nao Abrangidos por Reg. Coletiva;2024;1853.4
