size_band;year;people_count
1-4 pessoas;2014;440000
1-4 pessoas;2015;442201
1-4 pessoas;2016;443972
1-4 pessoas;2017;441732
1-4 pessoas;2018;443568
1-4 pessoas;2019;428189
1-4 pessoas;2020;434306
1-4 pessoas;2021;422611
1-4 pessoas;2022;439476
1-4 pessoas;2023;445496
1-4 pessoas;2024;438972
5-9 pessoas;2014;366496
5-9 pessoas;2015;374250
5-9 pessoas;2016;383819
5-9 pessoas;2017;392855
5-9 pessoas;2018;402718
5-9 pessoas;2019;401539
5-9 pessoas;2020;400218
5-9 pessoas;2021;395345
5-9 pessoas;2022;416222
5-9 pessoas;2023;429423
5-9 pessoas;2024;428851
10-19 pessoas;2014;343075
10-19 pessoas;2015;354765
10-19 pessoas;2016;364657
10-19 pessoas;2017;381988
10-19 pessoas;2018;399851
10-19 pessoas;2019;407191
10-19 pessoas;2020;398520
10-19 pessoas;2021;398074
10-19 pessoas;2022;427979
10-19 pessoas;2023;446989
10-19 pessoas;2024;455731
20-49 pessoas;2014;437782
20-49 pessoas;2015;451655
20-49 pessoas;2016;470861
20-49 pessoas;2017;494402
20-49 pessoas;2018;512473
20-49 pessoas;2019;524721
20-49 pessoas;2020;522136
20-49 pessoas;2021;530301
20-49 pessoas;2022;571642
20-49 pessoas;2023;603862
20-49 pessoas;2024;608073
50-99 pessoas;2014;287661
50-99 pessoas;2015;305556
50-99 pessoas;2016;318649
50-99 pessoas;2017;331933
50-99 pessoas;2018;352106
50-99 pessoas;2019;362627
50-99 pessoas;2020;360979
50-99 pessoas;2021;366071
50-99 pessoas;2022;399965
50-99 pessoas;2023;417966
50-99 pessoas;2024;426689
100-149 pessoas;2014;150315
100-149 pessoas;2015;144040
100-149 pessoas;2016;152532
100-149 pessoas;2017;156785
100-149 pessoas;2018;163360
100-149 pessoas;2019;169304
100-149 pessoas;2020;163901
100-149 pessoas;2021;171466
100-149 pessoas;2022;182709
100-149 pessoas;2023;196392
100-149 pessoas;2024;208779
150-199 pessoas;2014;89947
150-199 pessoas;2015;96507
150-199 pessoas;2016;97931
150-199 pessoas;2017;105143
150-199 pessoas;2018;111328
150-199 pessoas;2019;112650
150-199 pessoas;2020;109208
150-199 pessoas;2021;111350
150-199 pessoas;2022;125073
150-199 pessoas;2023;132764
150-199 pessoas;2024;132110
200-249 pessoas;2014;65966
200-249 pessoas;2015;68211
200-249 pessoas;2016;73317
200-249 pessoas;2017;80619
200-249 pessoas;2018;84370
200-249 pessoas;2019;83653
200-249 pessoas;2020;83401
200-249 pessoas;2021;87562
200-249 pessoas;2022;98100
200-249 pessoas;2023;99780
200-249 pessoas;2024;97977
250-499 pessoas;2014;159298
250-499 pessoas;2015;173995
250-499 pessoas;2016;187705
250-499 pessoas;2017;202606
250-499 pessoas;2018;211154
250-499 pessoas;2019;218703
250-499 pessoas;2020;207042
250-499 pessoas;2021;213250
250-499 pessoas;2022;226720
250-499 pessoas;2023;242637
250-499 pessoas;2024;255756
500-999 pessoas;2014;122567
500-999 pessoas;2015;128426
500-999 pessoas;2016;120158
500-999 pessoas;2017;135824
500-999 pessoas;2018;143642
500-999 pessoas;2019;150837
500-999 pessoas;2020;161206
500-999 pessoas;2021;156680
500-999 pessoas;2022;182180
500-999 pessoas;2023;196005
500-999 pessoas;2024;192255
1 000 e + pessoas;2014;173774
1 000 e + pessoas;2015;176405
1 000 e + pessoas;2016;206377
1 000 e + pessoas;2017;223016
1 000 e + pessoas;2018;235919
1 000 e + pessoas;2019;251535
1 000 e + pessoas;2020;244649
1 000 e + pessoas;2021;249635
1 000 e + pessoas;2022;267016
1 000 e + pessoas;2023;278269
1 000 e + pessoas;2024;299762
