district;year;people_count
Aveiro;2014;203446
Aveiro;2015;208145
Aveiro;2016;216490
Aveiro;2017;226181
Aveiro;2018;234445
Aveiro;2019;236315
Aveiro;2020;234063
Aveiro;2021;234211
Aveiro;2022;250317
Aveiro;2023;255866
Aveiro;2024;252468
Beja;2014;30159
Beja;2015;32039
Beja;2016;33160
Beja;2017;35441
Beja;2018;36806
Beja;2019;38732
Beja;2020;41050
Beja;2021;41359
Beja;2022;45331
Beja;2023;47376
Beja;2024;47842
Braga;2014;240842
Braga;2015;249721
Braga;2016;261360
Braga;2017;273109
Braga;2018;282974
Braga;2019;279950
Braga;2020;281810
Braga;2021;284569
Braga;2022;304660
Braga;2023;312788
Braga;2024;312404
Braganca;2014;19925
Braganca;2015;20381
Braganca;2016;20798
Braganca;2017;21150
Braganca;2018;21768
Braganca;2019;21436
Braganca;2020;22299
Braganca;2021;22605
Braganca;2022;23249
Braganca;2023;24160
Braganca;2024;24098
Castelo Branco;2014;38714
Castelo Branco;2015;38487
Castelo Branco;2016;38942
Castelo Branco;2017;39544
Castelo Branco;2018;41834
Castelo Branco;2019;40763
Castelo Branco;2020;40114
Castelo Branco;2021;40323
Castelo Branco;2022;42765
Castelo Branco;2023;45470
Castelo Branco;2024;44890
Coimbra;2014;91625
Coimbra;2015;94165
Coimbra;2016;95440
Coimbra;2017;99946
Coimbra;2018;100811
Coimbra;2019;101713
Coimbra;2020;102994
Coimbra;2021;102989
Coimbra;2022;109304
Coimbra;2023;112151
Coimbra;2024;114805
Evora;2014;35478
Evora;2015;36817
Evora;2016;38198
Evora;2017;39029
Evora;2018;40741
Evora;2019;40944
Evora;2020;40465
Evora;2021;40725
Evora;2022;43523
Evora;2023;45228
Evora;2024;44873
Faro;2014;119459
Faro;2015;126980
Faro;2016;135848
Faro;2017;145770
Faro;2018;154417
Faro;2019;160288
Faro;2020;144668
Faro;2021;148406
Faro;2022;165503
Faro;2023;178434
Faro;2024;184099
Guarda;2014;28347
Guarda;2015;28671
Guarda;2016;28979
Guarda;2017;29930
Guarda;2018;30579
Guarda;2019;30148
Guarda;2020;30772
Guarda;2021;30792
Guarda;2022;31779
Guarda;2023;32928
Guarda;2024;33014
Leiria;2014;128192
Leiria;2015;131409
Leiria;2016;135744
Leiria;2017;142737
Leiria;2018;150327
Leiria;2019;152235
Leiria;2020;151214
Leiria;2021;150268
Leiria;2022;157094
Leiria;2023;163957
Leiria;2024;165799
Lisboa;2014;764524
Lisboa;2015;780947
Lisboa;2016;817508
Lisboa;2017;847011
Lisboa;2018;886123
Lisboa;2019;905022
Lisboa;2020;895425
Lisboa;2021;900307
Lisboa;2022;981424
Lisboa;2023;1039751
Lisboa;2024;1068615
Portalegre;2014;20497
Portalegre;2015;20704
Portalegre;2016;21614
Portalegre;2017;22068
Portalegre;2018;22056
Portalegre;2019;22201
Portalegre;2020;22475
Portalegre;2021;21854
Portalegre;2022;23056
Portalegre;2023;24444
Portalegre;2024;23830
Porto;2014;511719
Porto;2015;532550
Porto;2016;551277
Porto;2017;580272
Porto;2018;593048
Porto;2019;607009
Porto;2020;599969
Porto;2021;603391
Porto;2022;647496
Porto;2023;675046
Porto;2024;685481
Santarem;2014;97672
Santarem;2015;99795
Santarem;2016;101230
Santarem;2017;104902
Santarem;2018;107738
Santarem;2019;110106
Santarem;2020;110997
Santarem;2021;110211
Santarem;2022;116005
Santarem;2023;120066
Santarem;2024;122205
Setubal;2014;145403
Setubal;2015;148477
Setubal;2016;152690
Setubal;2017;161083
Setubal;2018;170243
Setubal;2019;173740
Setubal;2020;174949
Setubal;2021;176465
Setubal;2022;189206
Setubal;2023;195528
Setubal;2024;198848
Viana do Castelo;2014;54568
Viana do Castelo;2015;56865
Viana do Castelo;2016;57001
Viana do Castelo;2017;59646
Viana do Castelo;2018;62987
Viana do Castelo;2019;63449
Viana do Castelo;2020;64864
Viana do Castelo;2021;65112
Viana do Castelo;2022;68558
Viana do Castelo;2023;72633
Viana do Castelo;2024;73222
Vila Real;2014;31502
Vila Real;2015;32630
Vila Real;2016;33121
Vila Real;2017;34749
Vila Real;2018;35689
Vila Real;2019;36501
Vila Real;2020;36381
Vila Real;2021;36810
Vila Real;2022;38651
Vila Real;2023;40275
Vila Real;2024;41070
Viseu;2014;74809
Viseu;2015;77228
Viseu;2016;80578
Viseu;2017;84335
Viseu;2018;87903
Viseu;2019;90397
Viseu;2020;91057
Viseu;2021;91948
Viseu;2022;99161
Viseu;2023;103482
Viseu;2024;107392
