region;year;people_count
Norte;2014;966787
Norte;2015;1002831
Norte;2016;1038349
Norte;2017;1090049
Norte;2018;1119718
Norte;2019;1132970
Norte;2020;1127590
Norte;2021;1137436
Norte;2022;1215310
Norte;2023;1260100
Norte;2024;1269596
Alto Minho;2014;54568
Alto Minho;2015;56865
Alto Minho;2016;57001
Alto Minho;2017;59646
Alto Minho;2018;62987
Alto Minho;2019;63449
Alto Minho;2020;64864
Alto Minho;2021;65112
Alto Minho;2022;68558
Alto Minho;2023;72633
Alto Minho;2024;73222
Cavado;2014;112832
Cavado;2015;116890
Cavado;2016;122550
Cavado;2017;129416
Cavado;2018;135825
Cavado;2019;139055
Cavado;2020;138839
Cavado;2021;141395
Cavado;2022;153121
Cavado;2023;160086
Cavado;2024;160991
Ave;2014;125966
Ave;2015;131033
Ave;2016;136891
Ave;2017;141727
Ave;2018;145043
Ave;2019;138908
Ave;2020;141054
Ave;2021;141117
Ave;2022;149246
Ave;2023;150333
Ave;2024;149150
Area Metropolitana do Porto;2014;501064
Area Metropolitana do Porto;2015;519452
Area Metropolitana do Porto;2016;537773
Area Metropolitana do Porto;2017;569098
Area Metropolitana do Porto;2018;581232
Area Metropolitana do Porto;2019;596772
Area Metropolitana do Porto;2020;586860
Area Metropolitana do Porto;2021;588688
Area Metropolitana do Porto;2022;633694
Area Metropolitana do Porto;2023;658882
Area Metropolitana do Porto;2024;666772
Alto Tamega;2014;12481
Alto Tamega;2015;12990
Alto Tamega;2016;13302
Alto Tamega;2017;14461
Alto Tamega;2018;14799
Alto Tamega;2019;15061
Alto Tamega;2020;14649
Alto Tamega;2021;14857
Alto Tamega;2022;15757
Alto Tamega;2023;16238
Alto Tamega;2024;17027
Tamega e Sousa;2014;109577
Tamega e Sousa;2015;113798
Tamega e Sousa;2016;117765
Tamega e Sousa;2017;121423
Tamega e Sousa;2018;124176
Tamega e Sousa;2019;123941
Tamega e Sousa;2020;124025
Tamega e Sousa;2021;127874
Tamega e Sousa;2022;134241
Tamega e Sousa;2023;138339
Tamega e Sousa;2024;137932
Douro;2014;32882
Douro;2015;33847
Douro;2016;34595
Douro;2017;35335
Douro;2018;36289
Douro;2019;36417
Douro;2020;37413
Douro;2021;38175
Douro;2022;40025
Douro;2023;42127
Douro;2024;42955
Terras de Tras-os-Montes;2014;17417
Terras de Tras-os-Montes;2015;17956
Terras de Tras-os-Montes;2016;18472
Terras de Tras-os-Montes;2017;18943
Terras de Tras-os-Montes;2018;19367
Terras de Tras-os-Montes;2019;19367
Terras de Tras-os-Montes;2020;19886
Terras de Tras-os-Montes;2021;20218
Terras de Tras-os-Montes;2022;20668
Terras de Tras-os-Montes;2023;21462
Terras de Tras-os-Montes;2024;21547
Centro;2014;549712
Centro;2015;562609
Centro;2016;577659
Centro;2017;601687
Centro;2018;626222
Centro;2019;632357
Centro;2020;632437
Centro;2021;630906
Centro;2022;669616
Centro;2023;695874
Centro;2024;702764
Oeste;2014;83007
Oeste;2015;85074
Oeste;2016;87606
Oeste;2017;92480
Oeste;2018;100447
Oeste;2019;102230
Oeste;2020;101029
Oeste;2021;99265
Oeste;2022;105262
Oeste;2023;111666
Oeste;2024;112479
Regiao de Aveiro;2014;105834
Regiao de Aveiro;2015;108508
Regiao de Aveiro;2016;114017
Regiao de Aveiro;2017;118713
Regiao de Aveiro;2018;125109
Regiao de Aveiro;2019;126163
Regiao de Aveiro;2020;127075
Regiao de Aveiro;2021;124894
Regiao de Aveiro;2022;135023
Regiao de Aveiro;2023;139483
Regiao de Aveiro;2024;139173
Regiao de Coimbra;2014;98821
Regiao de Coimbra;2015;101551
Regiao de Coimbra;2016;103167
Regiao de Coimbra;2017;107820
Regiao de Coimbra;2018;109082
Regiao de Coimbra;2019;110361
Regiao de Coimbra;2020;111631
Regiao de Coimbra;2021;111742
Regiao de Coimbra;2022;119330
Regiao de Coimbra;2023;122152
Regiao de Coimbra;2024;125295
Regiao de Leiria;2014;88098
Regiao de Leiria;2015;90173
Regiao de Leiria;2016;93302
Regiao de Leiria;2017;96838
Regiao de Leiria;2018;98908
Regiao de Leiria;2019;99524
Regiao de Leiria;2020;99673
Regiao de Leiria;2021;101975
Regiao de Leiria;2022;105680
Regiao de Leiria;2023;109519
Regiao de Leiria;2024;111126
Viseu Dao Lafoes;2014;59195
Viseu Dao Lafoes;2015;60826
Viseu Dao Lafoes;2016;62720
Viseu Dao Lafoes;2017;65048
Viseu Dao Lafoes;2018;68123
Viseu Dao Lafoes;2019;69618
Viseu Dao Lafoes;2020;69458
Viseu Dao Lafoes;2021;69853
Viseu Dao Lafoes;2022;74206
Viseu Dao Lafoes;2023;77276
Viseu Dao Lafoes;2024;79469
Beira Baixa;2014;17187
Beira Baixa;2015;16988
Beira Baixa;2016;16801
Beira Baixa;2017;17104
Beira Baixa;2018;18166
Beira Baixa;2019;18026
Beira Baixa;2020;17878
Beira Baixa;2021;17848
Beira Baixa;2022;18605
