district;year;employees_count
Aveiro;2014;188531
Aveiro;2015;193207
Aveiro;2016;201583
Aveiro;2017;211076
Aveiro;2018;219148
Aveiro;2019;221154
Aveiro;2020;218824
Aveiro;2021;219217
Aveiro;2022;234940
Aveiro;2023;240286
Aveiro;2024;237311
Beja;2014;28261
Beja;2015;30156
Beja;2016;31333
Beja;2017;33532
Beja;2018;34861
Beja;2019;36824
Beja;2020;39057
Beja;2021;39335
Beja;2022;43289
Beja;2023;45122
Beja;2024;45650
Braga;2014;223498
Braga;2015;232168
Braga;2016;243606
Braga;2017;254948
Braga;2018;264675
Braga;2019;261930
Braga;2020;263588
Braga;2021;266470
Braga;2022;285498
Braga;2023;293224
Braga;2024;293085
Braganca;2014;18027
Braganca;2015;18508
Braganca;2016;18920
Braganca;2017;19168
Braganca;2018;19762
Braganca;2019;19512
Braganca;2020;20332
Braganca;2021;20601
Braganca;2022;21226
Braganca;2023;22078
Braganca;2024;22075
Castelo Branco;2014;35837
Castelo Branco;2015;35619
Castelo Branco;2016;36035
Castelo Branco;2017;36753
Castelo Branco;2018;38953
Castelo Branco;2019;38009
Castelo Branco;2020;37294
Castelo Branco;2021;37537
Castelo Branco;2022;39840
Castelo Branco;2023;42612
Castelo Branco;2024;42077
Coimbra;2014;84401
Coimbra;2015;87151
Coimbra;2016;88449
Coimbra;2017;92904
Coimbra;2018;93788
Coimbra;2019;94736
Coimbra;2020;95872
Coimbra;2021;95954
Coimbra;2022;101940
Coimbra;2023;104759
Coimbra;2024;107638
Evora;2014;32529
Evora;2015;34031
Evora;2016;35370
Evora;2017;36298
Evora;2018;38027
Evora;2019;38257
Evora;2020;37783
Evora;2021;38189
Evora;2022;40691
Evora;2023;42406
Evora;2024;42150
Faro;2014;109922
Faro;2015;117234
Faro;2016;125990
Faro;2017;135848
Faro;2018;144110
Faro;2019;149611
Faro;2020;133944
Faro;2021;137936
Faro;2022;154670
Faro;2023;166794
Faro;2024;172373
Guarda;2014;26046
Guarda;2015;26456
Guarda;2016;26786
Guarda;2017;27741
Guarda;2018;28412
Guarda;2019;28057
Guarda;2020;28646
Guarda;2021;28719
Guarda;2022;29721
Guarda;2023;30808
Guarda;2024;30941
Leiria;2014;117819
Leiria;2015;121050
Leiria;2016;125303
Leiria;2017;132189
Leiria;2018;139739
Leiria;2019;141609
Leiria;2020;140537
Leiria;2021;139576
Leiria;2022;145795
Leiria;2023;152308
Leiria;2024;154444
Lisboa;2014;722854
Lisboa;2015;739126
Lisboa;2016;776535
Lisboa;2017;805619
Lisboa;2018;843599
Lisboa;2019;863493
Lisboa;2020;853268
Lisboa;2021;859051
Lisboa;2022;937531
Lisboa;2023;994831
Lisboa;2024;1024115
Portalegre;2014;19009
Portalegre;2015;19293
Portalegre;2016;20176
Portalegre;2017;20664
Portalegre;2018;20620
Portalegre;2019;20826
Portalegre;2020;21098
Portalegre;2021;20537
Portalegre;2022;21623
Portalegre;2023;22968
Portalegre;2024;22423
Porto;2014;477642
Porto;2015;498411
Porto;2016;517250
Porto;2017;546130
Porto;2018;558004
Porto;2019;572263
Porto;2020;564899
Porto;2021;569083
Porto;2022;611659
Porto;2023;638591
Porto;2024;649672
Santarem;2014;90076
Santarem;2015;92191
Santarem;2016;93792
Santarem;2017;97412
Santarem;2018;100090
Santarem;2019;102585
Santarem;2020;103403
Santarem;2021;102715
Santarem;2022;108232
Santarem;2023;112134
Santarem;2024;114293
Setubal;2014;135568
Setubal;2015;138934
Setubal;2016;143036
Setubal;2017;151328
Setubal;2018;160472
Setubal;2019;163930
Setubal;2020;164805
Setubal;2021;166416
Setubal;2022;178440
Setubal;2023;184464
Setubal;2024;187786
Viana do Castelo;2014;50225
Viana do Castelo;2015;52609
Viana do Castelo;2016;52622
Viana do Castelo;2017;55356
Viana do Castelo;2018;58686
Viana do Castelo;2019;59295
Viana do Castelo;2020;60629
Viana do Castelo;2021;60893
Viana do Castelo;2022;64187
Viana do Castelo;2023;68117
Viana do Castelo;2024;68763
Vila Real;2014;28912
Vila Real;2015;30088
Vila Real;2016;30474
Vila Real;2017;32127
Vila Real;2018;33024
Vila Real;2019;33808
Vila Real;2020;33688
Vila Real;2021;34125
Vila Real;2022;35875
Vila Real;2023;37526
Vila Real;2024;38288
Viseu;2014;69006
Viseu;2015;71421
Viseu;2016;74659
Viseu;2017;78428
Viseu;2018;81948
Viseu;2019;84583
Viseu;2020;85158
Viseu;2021;85989
Viseu;2022;92990
Viseu;2023;97106
Viseu;2024;101052
