region;year;foreign_employees_count
Norte;2014;12902
Norte;2015;14033
Norte;2016;14238
Norte;2017;17438
Norte;2018;22188
Norte;2019;30453
Norte;2020;33776
Norte;2021;36947
Norte;2022;61472
Norte;2023;84586
Norte;2024;108226
Alto Minho;2014;1088
Alto Minho;2015;1609
Alto Minho;2016;1354
Alto Minho;2017;1615
Alto Minho;2018;2561
Alto Minho;2019;3496
Alto Minho;2020;3547
Alto Minho;2021;3582
Alto Minho;2022;5474
Alto Minho;2023;7583
Alto Minho;2024;8918
Cavado;2014;1381
Cavado;2015;1422
Cavado;2016;1647
Cavado;2017;1867
Cavado;2018;2866
Cavado;2019;4608
Cavado;2020;5097
Cavado;2021;5669
Cavado;2022;9567
Cavado;2023;13703
Cavado;2024;16615
Ave;2014;943
Ave;2015;1095
Ave;2016;1094
Ave;2017;1174
Ave;2018;1883
Ave;2019;2227
Ave;2020;2560
Ave;2021;2870
Ave;2022;5019
Ave;2023;6545
Ave;2024;8530
Area Metropolitana do Porto;2014;7776
Area Metropolitana do Porto;2015;8118
Area Metropolitana do Porto;2016;8429
Area Metropolitana do Porto;2017;10923
Area Metropolitana do Porto;2018;12670
Area Metropolitana do Porto;2019;17064
Area Metropolitana do Porto;2020;18965
Area Metropolitana do Porto;2021;20521
Area Metropolitana do Porto;2022;34652
Area Metropolitana do Porto;2023;46134
Area Metropolitana do Porto;2024;59436
Alto Tamega;2014;205
Alto Tamega;2015;180
Alto Tamega;2016;191
Alto Tamega;2017;227
Alto Tamega;2018;308
Alto Tamega;2019;333
Alto Tamega;2020;409
Alto Tamega;2021;364
Alto Tamega;2022;513
Alto Tamega;2023;689
Alto Tamega;2024;1001
Tamega e Sousa;2014;533
Tamega e Sousa;2015;570
Tamega e Sousa;2016;566
Tamega e Sousa;2017;669
Tamega e Sousa;2018;887
Tamega e Sousa;2019;1470
Tamega e Sousa;2020;1959
Tamega e Sousa;2021;2510
Tamega e Sousa;2022;4305
Tamega e Sousa;2023;6611
Tamega e Sousa;2024;8817
Douro;2014;531
Douro;2015;563
Douro;2016;506
Douro;2017;489
Douro;2018;566
Douro;2019;690
Douro;2020;674
Douro;2021;865
Douro;2022;1199
Douro;2023;2247
Douro;2024;3321
Terras de Tras-os-Montes;2014;445
Terras de Tras-os-Montes;2015;476
Terras de Tras-os-Montes;2016;451
Terras de Tras-os-Montes;2017;474
Terras de Tras-os-Montes;2018;447
Terras de Tras-os-Montes;2019;565
Terras de Tras-os-Montes;2020;565
Terras de Tras-os-Montes;2021;566
Terras de Tras-os-Montes;2022;743
Terras de Tras-os-Montes;2023;1074
Terras de Tras-os-Montes;2024;1588
Centro;2014;14897
Centro;2015;15310
Centro;2016;15821
Centro;2017;17224
Centro;2018;21954
Centro;2019;28334
Centro;2020;30861
Centro;2021;32802
Centro;2022;49164
Centro;2023;67685
Centro;2024;82788
Oeste;2014;3991
Oeste;2015;4094
Oeste;2016;4361
Oeste;2017;4890
Oeste;2018;6858
Oeste;2019;8502
Oeste;2020;9006
Oeste;2021;8757
Oeste;2022;11466
Oeste;2023;15640
Oeste;2024;18310
Regiao de Aveiro;2014;2309
Regiao de Aveiro;2015;2312
Regiao de Aveiro;2016;2429
Regiao de Aveiro;2017;2616
Regiao de Aveiro;2018;3539
Regiao de Aveiro;2019;4939
Regiao de Aveiro;2020;5784
Regiao de Aveiro;2021;6066
Regiao de Aveiro;2022;10322
Regiao de Aveiro;2023;13965
Regiao de Aveiro;2024;16595
Regiao de Coimbra;2014;2017
Regiao de Coimbra;2015;2181
Regiao de Coimbra;2016;2258
Regiao de Coimbra;2017;2478
Regiao de Coimbra;2018;2776
Regiao de Coimbra;2019;3640
Regiao de Coimbra;2020;3974
Regiao de Coimbra;2021;4436
Regiao de Coimbra;2022;7026
Regiao de Coimbra;2023;9698
Regiao de Coimbra;2024;12388
Regiao de Leiria;2014;3298
Regiao de Leiria;2015;3394
Regiao de Leiria;2016;3494
Regiao de Leiria;2017;3760
Regiao de Leiria;2018;4520
Regiao de Leiria;2019;5528
Regiao de Leiria;2020;6042
Regiao de Leiria;2021;7052
Regiao de Leiria;2022;9828
Regiao de Leiria;2023;12503
Regiao de Leiria;2024;15258
Viseu Dao Lafoes;2014;975
Viseu Dao Lafoes;2015;979
Viseu Dao Lafoes;2016;1013
Viseu Dao Lafoes;2017;1046
Viseu Dao Lafoes;2018;1186
Viseu Dao Lafoes;2019;1737
Viseu Dao Lafoes;2020;1966
Viseu Dao Lafoes;2021;2000
Viseu Dao Lafoes;2022;3319
Viseu Dao Lafoes;2023;4970
Viseu Dao Lafoes;2024;6921
Beira Baixa;2014;428
Beira Baixa;2015;393
Beira Baixa;2016;368
Beira Baixa;2017;440
Beira Baixa;2018;573
Beira Baixa;2019;699
Beira Baixa;2020;708
Beira Baixa;2021;769
Beira Baixa;2022;1323
Beira Baixa;2023;1950
Beira Baixa;2024;2305
Medio Tejo;2014;1297
Medio Tejo;2015;1350
Medio Tejo;2016;1308
Medio Tejo;2017;1439
Medio Tejo;2018;1788
Medio Tejo;2019;2410
Medio Tejo;2020;2456
Medio Tejo;2021;2613
Medio Tejo;2022;4111
Medio Tejo;2023;5687
Medio Tejo;2024;7214
Beiras e Serra da Estrela;2014;582
Beiras e Serra da Estrela;2015;607
Beiras e Serra da Estrela;2016;590
Beiras e Serra da Estrela;2017;555
Beiras e Serra da Estrela;2018;714
Beiras e Serra da Estrela;2019;879
Beiras e Serra da Estrela;2020;925
Beiras e Serra da Estrela;2021;1109
Beiras e Serra da Estrela;2022;1769
Beiras e Serra da Estrela;2023;3272
Beiras e Serra da Estrela;2024;3797
Area Metropolitana de Lisboa;2014;59933
Area Metropolitana de Lisboa;2015;62464
Area Metropolitana de Lisboa;2016;69697
Area Metropolitana de Lisboa;2017;73738
Area Metropolitana de Lisboa;2018;87013
Area Metropolitana de Lisboa;2019;103740
Area Metropolitana de Lisboa;2020;104862
Area Metropolitana de Lisboa;2021;109691
Area Metropolitana de Lisboa;2022;146529
Area Metropolitana de Lisboa;2023;183951
Area Metropolitana de Lisboa;2024;225406
Alentejo;2014;7869
Alentejo;2015;8639
Alentejo;2016;10365
Alentejo;2017;12100
Alentejo;2018;14018
Alentejo;2019;18786
Alentejo;2020;24050
Alentejo;2021;24010
Alentejo;2022;30161
Alentejo;2023;35390
Alentejo;2024;41199
Alentejo Litoral;2014;2196
Alentejo Litoral;2015;2940
Alentejo Litoral;2016;3624
Alentejo Litoral;2017;4440
