irct_type;year;employees_count
Contrato Coletivo de Trabalho (CCT);2014;1802130
Contrato Coletivo de Trabalho (CCT);2015;1855203
Contrato Coletivo de Trabalho (CCT);2016;1911498
Contrato Coletivo de Trabalho (CCT);2017;1975887
Contrato Coletivo de Trabalho (CCT);2018;2073822
Contrato Coletivo de Trabalho (CCT);2019;2078465
Contrato Coletivo de Trabalho (CCT);2020;2014412
Contrato Coletivo de Trabalho (CCT);2021;2031422
Contrato Coletivo de Trabalho (CCT);2022;2174986
Contrato Coletivo de Trabalho (CCT);2023;2283826
Contrato Coletivo de Trabalho (CCT);2024;2309722
Acordo Coletivo de Trabalho (ACT);2014;97038
Acordo Coletivo de Trabalho (ACT);2015;99532
Acordo Coletivo de Trabalho (ACT);2016;101183
Acordo Coletivo de Trabalho (ACT);2017;106693
Acordo Coletivo de Trabalho (ACT);2018;109690
Acordo Coletivo de Trabalho (ACT);2019;104297
Acordo Coletivo de Trabalho (ACT);2020;118636
Acordo Coletivo de Trabalho (ACT);2021;118983
Acordo Coletivo de Trabalho (ACT);2022;122759
Acordo Coletivo de Trabalho (ACT);2023;125278
Acordo Coletivo de Trabalho (ACT);2024;126087
Portaria de Cond. de Trabalho (PCT)(2);2014;205896
Portaria de Cond. de Trabalho (PCT)(2);2015;212238
Portaria de Cond. de Trabalho (PCT)(2);2016;219677
Portaria de Cond. de Trabalho (PCT)(2);2017;226793
Portaria de Cond. de Trabalho (PCT)(2);2018;211503
Portaria de Cond. de Trabalho (PCT)(2);2019;219272
Portaria de Cond. de Trabalho (PCT)(2);2020;221568
Portaria de Cond. de Trabalho (PCT)(2);2021;214401
Portaria de Cond. de Trabalho (PCT)(2);2022;232081
Portaria de Cond. de Trabalho (PCT)(2);2023;241230
Portaria de Cond. de Trabalho (PCT)(2);2024;243628
Acordo de Empresa (AE);2014;80029
Acordo de Empresa (AE);2015;78163
Acordo de Empresa (AE);2016;79933
Acordo de Empresa (AE);2017;85752
Acordo de Empresa (AE);2018;86043
Acordo de Empresa (AE);2019;91984
Acordo de Empresa (AE);2020;90179
Acordo de Empresa (AE);2021;89882
Acordo de Empresa (AE);2022;92151
Acordo de Empresa (AE);2023;93763
Acordo de Empresa (AE);2024;97792
Nao Abrangidos por Reg. Coletiva;2014;273070
Nao Abrangidos por Reg. Coletiva;2015;292517
Nao Abrangidos por Reg. Coletiva;2016;329628
Nao Abrangidos por Reg. Coletiva;2017;372396
Nao Abrangidos por Reg. Coletiva;2018;396860
Nao Abrangidos por Reg. Coletiva;2019;436464
Nao Abrangidos por Reg. Coletiva;2020;458030
Nao Abrangidos por Reg. Coletiva;2021;467655
Nao Abrangidos por Reg. Coletiva;2022;526170
Nao Abrangidos por Reg. Coletiva;2023;552037
Nao Abrangidos por Reg. Coletiva;2024;576907
