cae_code;activity_description;year;foreign_people_count
A;Agr., pr. animal, caca, flor. pesca;2014;7205
A;Agr., pr. animal, caca, flor. pesca;2015;7947
A;Agr., pr. animal, caca, flor. pesca;2016;9445
A;Agr., pr. animal, caca, flor. pesca;2017;10109
A;Agr., pr. animal, caca, flor. pesca;2018;12079
A;Agr., pr. animal, caca, flor. pesca;2019;14470
A;Agr., pr. animal, caca, flor. pesca;2020;19004
A;Agr., pr. animal, caca, flor. pesca;2021;18272
A;Agr., pr. animal, caca, flor. pesca;2022;22728
A;Agr., pr. animal, caca, flor. pesca;2023;26238
A;Agr., pr. animal, caca, flor. pesca;2024;31117
B;Industrias extrativas;2014;231
B;Industrias extrativas;2015;229
B;Industrias extrativas;2016;221
B;Industrias extrativas;2017;234
B;Industrias extrativas;2018;250
B;Industrias extrativas;2019;276
B;Industrias extrativas;2020;289
B;Industrias extrativas;2021;352
B;Industrias extrativas;2022;530
B;Industrias extrativas;2023;741
B;Industrias extrativas;2024;1039
C;Industrias transformadoras;2014;11696
C;Industrias transformadoras;2015;12230
C;Industrias transformadoras;2016;12876
C;Industrias transformadoras;2017;13906
C;Industrias transformadoras;2018;17154
C;Industrias transformadoras;2019;20859
C;Industrias transformadoras;2020;22497
C;Industrias transformadoras;2021;24420
C;Industrias transformadoras;2022;36582
C;Industrias transformadoras;2023;49355
C;Industrias transformadoras;2024;60489
10;Industrias alimentares;2014;2895
10;Industrias alimentares;2015;3253
10;Industrias alimentares;2016;3408
10;Industrias alimentares;2017;3845
10;Industrias alimentares;2018;4723
10;Industrias alimentares;2019;6223
10;Industrias alimentares;2020;5999
10;Industrias alimentares;2021;6389
10;Industrias alimentares;2022;9033
10;Industrias alimentares;2023;11700
10;Industrias alimentares;2024;14393
11;Industria das bebidas;2014;261
11;Industria das bebidas;2015;235
11;Industria das bebidas;2016;231
11;Industria das bebidas;2017;258
11;Industria das bebidas;2018;293
11;Industria das bebidas;2019;338
11;Industria das bebidas;2020;300
11;Industria das bebidas;2021;341
11;Industria das bebidas;2022;506
11;Industria das bebidas;2023;619
11;Industria das bebidas;2024;798
12;Industria do tabaco;2014;5
12;Industria do tabaco;2015;8
12;Industria do tabaco;2016;7
12;Industria do tabaco;2017;10
12;Industria do tabaco;2018;9
12;Industria do tabaco;2019;14
12;Industria do tabaco;2020;19
12;Industria do tabaco;2021;20
12;Industria do tabaco;2022;25
12;Industria do tabaco;2023;21
12;Industria do tabaco;2024;23
13;Fabricacao de texteis;2014;422
13;Fabricacao de texteis;2015;452
13;Fabricacao de texteis;2016;471
13;Fabricacao de texteis;2017;465
13;Fabricacao de texteis;2018;573
13;Fabricacao de texteis;2019;669
13;Fabricacao de texteis;2020;757
13;Fabricacao de texteis;2021;864
13;Fabricacao de texteis;2022;1408
13;Fabricacao de texteis;2023;1892
13;Fabricacao de texteis;2024;2305
14;Industria do vestuario;2014;440
14;Industria do vestuario;2015;440
14;Industria do vestuario;2016;436
14;Industria do vestuario;2017;456
14;Industria do vestuario;2018;526
14;Industria do vestuario;2019;606
14;Industria do vestuario;2020;643
14;Industria do vestuario;2021;646
14;Industria do vestuario;2022;1143
14;Industria do vestuario;2023;1502
14;Industria do vestuario;2024;1564
15;Ind. couro e produtos do couro;2014;331
15;Ind. couro e produtos do couro;2015;332
15;Ind. couro e produtos do couro;2016;365
15;Ind. couro e produtos do couro;2017;348
15;Ind. couro e produtos do couro;2018;396
15;Ind. couro e produtos do couro;2019;427
15;Ind. couro e produtos do couro;2020;475
15;Ind. couro e produtos do couro;2021;614
15;Ind. couro e produtos do couro;2022;1270
15;Ind. couro e produtos do couro;2023;1538
15;Ind. couro e produtos do couro;2024;1414
16;Ind. madeira. e cortica. e s. obras;2014;402
16;Ind. madeira. e cortica. e s. obras;2015;393
16;Ind. madeira. e cortica. e s. obras;2016;357
16;Ind. madeira. e cortica. e s. obras;2017;384
16;Ind. madeira. e cortica. e s. obras;2018;446
16;Ind. madeira. e cortica. e s. obras;2019;585
16;Ind. madeira. e cortica. e s. obras;2020;603
16;Ind. madeira. e cortica. e s. obras;2021;681
16;Ind. madeira. e cortica. e s. obras;2022;1026
16;Ind. madeira. e cortica. e s. obras;2023;1256
16;Ind. madeira. e cortica. e s. obras;2024;1605
17;Fab. pasta, papel, cartao e s. art.;2014;197
17;Fab. pasta, papel, cartao e s. art.;2015;194
17;Fab. pasta, papel, cartao e s. art.;2016;217
