cae_code;activity_description;year;people_count
A;Agr., pr. animal, caca, flor. pesca;2014;59974
A;Agr., pr. animal, caca, flor. pesca;2015;62767
A;Agr., pr. animal, caca, flor. pesca;2016;66231
A;Agr., pr. animal, caca, flor. pesca;2017;67785
A;Agr., pr. animal, caca, flor. pesca;2018;71264
A;Agr., pr. animal, caca, flor. pesca;2019;72158
A;Agr., pr. animal, caca, flor. pesca;2020;76190
A;Agr., pr. animal, caca, flor. pesca;2021;74598
A;Agr., pr. animal, caca, flor. pesca;2022;80596
A;Agr., pr. animal, caca, flor. pesca;2023;84693
A;Agr., pr. animal, caca, flor. pesca;2024;86544
B;Industrias extrativas;2014;8514
B;Industrias extrativas;2015;8479
B;Industrias extrativas;2016;8384
B;Industrias extrativas;2017;8723
B;Industrias extrativas;2018;8644
B;Industrias extrativas;2019;8455
B;Industrias extrativas;2020;8318
B;Industrias extrativas;2021;8437
B;Industrias extrativas;2022;8822
B;Industrias extrativas;2023;9420
B;Industrias extrativas;2024;9426
C;Industrias transformadoras;2014;583685
C;Industrias transformadoras;2015;598482
C;Industrias transformadoras;2016;615556
C;Industrias transformadoras;2017;639429
C;Industrias transformadoras;2018;659459
C;Industrias transformadoras;2019;650638
C;Industrias transformadoras;2020;639517
C;Industrias transformadoras;2021;636329
C;Industrias transformadoras;2022;667361
C;Industrias transformadoras;2023;675754
C;Industrias transformadoras;2024;665805
10;Industrias alimentares;2014;74615
10;Industrias alimentares;2015;75933
10;Industrias alimentares;2016;77704
10;Industrias alimentares;2017;79619
10;Industrias alimentares;2018;79921
10;Industrias alimentares;2019;80556
10;Industrias alimentares;2020;78649
10;Industrias alimentares;2021;77825
10;Industrias alimentares;2022;81302
10;Industrias alimentares;2023;82509
10;Industrias alimentares;2024;83143
11;Industria das bebidas;2014;11814
11;Industria das bebidas;2015;11868
11;Industria das bebidas;2016;12215
11;Industria das bebidas;2017;12419
11;Industria das bebidas;2018;13246
11;Industria das bebidas;2019;13756
11;Industria das bebidas;2020;12984
11;Industria das bebidas;2021;12838
11;Industria das bebidas;2022;13817
11;Industria das bebidas;2023;14153
11;Industria das bebidas;2024;14705
12;Industria do tabaco;2014;448
12;Industria do tabaco;2015;517
12;Industria do tabaco;2016;482
12;Industria do tabaco;2017;495
12;Industria do tabaco;2018;484
12;Industria do tabaco;2019;488
12;Industria do tabaco;2020;487
12;Industria do tabaco;2021;465
12;Industria do tabaco;2022;471
12;Industria do tabaco;2023;455
12;Industria do tabaco;2024;468
13;Fabricacao de texteis;2014;41824
13;Fabricacao de texteis;2015;42910
13;Fabricacao de texteis;2016;42135
13;Fabricacao de texteis;2017;42600
13;Fabricacao de texteis;2018;43189
13;Fabricacao de texteis;2019;41474
13;Fabricacao de texteis;2020;40066
13;Fabricacao de texteis;2021;40372
13;Fabricacao de texteis;2022;42726
13;Fabricacao de texteis;2023;42213
13;Fabricacao de texteis;2024;40852
14;Industria do vestuario;2014;77085
14;Industria do vestuario;2015;78730
14;Industria do vestuario;2016;79880
14;Industria do vestuario;2017;80607
14;Industria do vestuario;2018;79392
14;Industria do vestuario;2019;73192
14;Industria do vestuario;2020;69965
14;Industria do vestuario;2021;67155
14;Industria do vestuario;2022;69672
14;Industria do vestuario;2023;66874
14;Industria do vestuario;2024;61567
15;Ind. couro e produtos do couro;2014;47431
15;Ind. couro e produtos do couro;2015;47504
15;Ind. couro e produtos do couro;2016;49072
15;Ind. couro e produtos do couro;2017;49394
15;Ind. couro e produtos do couro;2018;48101
15;Ind. couro e produtos do couro;2019;44197
15;Ind. couro e produtos do couro;2020;42179
15;Ind. couro e produtos do couro;2021;42028
15;Ind. couro e produtos do couro;2022;44151
15;Ind. couro e produtos do couro;2023;40997
15;Ind. couro e produtos do couro;2024;37636
16;Ind. madeira. e cortica. e s. obras;2014;23825
16;Ind. madeira. e cortica. e s. obras;2015;24278
16;Ind. madeira. e cortica. e s. obras;2016;24256
16;Ind. madeira. e cortica. e s. obras;2017;24754
16;Ind. madeira. e cortica. e s. obras;2018;25549
16;Ind. madeira. e cortica. e s. obras;2019;25543
16;Ind. madeira. e cortica. e s. obras;2020;24550
16;Ind. madeira. e cortica. e s. obras;2021;24481
16;Ind. madeira. e cortica. e s. obras;2022;25724
16;Ind. madeira. e cortica. e s. obras;2023;26253
16;Ind. madeira. e cortica. e s. obras;2024;25076
17;Fab. pasta, papel, cartao e s. art.;2014;10847
17;Fab. pasta, papel, cartao e s. art.;2015;10539
17;Fab. pasta, papel, cartao e s. art.;2016;11104
17;Fab. pasta, papel, cartao e s. art.;2017;11561
17;Fab. pasta, papel, cartao e s. art.;2018;12847
17;Fab. pasta, papel, cartao e s. art.;2019;12747
17;Fab. pasta, papel, cartao e s. art.;2020;13114
17;Fab. pasta, papel, cartao e s. art.;2021;13211
17;Fab. pasta, papel, cartao e s. art.;2022;13751
17;Fab. pasta, papel, cartao e s. art.;2023;13955
17;Fab. pasta, papel, cartao e s. art.;2024;14125
18;Impressao e rep. sup. gravados;2014;12847
18;Impressao e rep. sup. gravados;2015;12797
18;Impressao e rep. sup. gravados;2016;12836
18;Impressao e rep. sup. gravados;2017;12885
18;Impressao e rep. sup. gravados;2018;12704
18;Impressao e rep. sup. gravados;2019;12087
18;Impressao e rep. sup. gravados;2020;11683
18;Impressao e rep. sup. gravados;2021;11406
18;Impressao e rep. sup. gravados;2022;11948
18;Impressao e rep. sup. gravados;2023;11580
18;Impressao e rep. sup. gravados;2024;11042
19;Fabr. coque, pr. petr. refinados;2014;1982
19;Fabr. coque, pr. petr. refinados;2015;1852
19;Fabr. coque, pr. petr. refinados;2016;1850
19;Fabr. coque, pr. petr. refinados;2017;1816
19;Fabr. coque, pr. petr. refinados;2018;1812
19;Fabr. coque, pr. petr. refinados;2019;1737
19;Fabr. coque, pr. petr. refinados;2020;1597
19;Fabr. coque, pr. petr. refinados;2021;1318
19;Fabr. coque, pr. petr. refinados;2022;1449
19;Fabr. coque, pr. petr. refinados;2023;1504
19;Fabr. coque, pr. petr. refinados;2024;1371
20;Fab. pr. quim. e fibras sint./artif.;2014;11214
20;Fab. pr. quim. e fibras sint./artif.;2015;11337
20;Fab. pr. quim. e fibras sint./artif.;2016;11725
20;Fab. pr. quim. e fibras sint./artif.;2017;11746
20;Fab. pr. quim. e fibras sint./artif.;2018;12212
20;Fab. pr. quim. e fibras sint./artif.;2019;11991
20;Fab. pr. quim. e fibras sint./artif.;2020;12152
20;Fab. pr. quim. e fibras sint./artif.;2021;12604
20;Fab. pr. quim. e fibras sint./artif.;2022;13066
20;Fab. pr. quim. e fibras sint./artif.;2023;13264
20;Fab. pr. quim. e fibras sint./artif.;2024;13267
21;Fab. pr. farm.  base e  prep. farm.;2014;6419
21;Fab. pr. farm.  base e  prep. farm.;2015;6654
21;Fab. pr. farm.  base e  prep. farm.;2016;7072
21;Fab. pr. farm.  base e  prep. farm.;2017;7606
21;Fab. pr. farm.  base e  prep. farm.;2018;8271
21;Fab. pr. farm.  base e  prep. farm.;2019;8946
21;Fab. pr. farm.  base e  prep. farm.;2020;9437
21;Fab. pr. farm.  base e  prep. farm.;2021;9677
21;Fab. pr. farm.  base e  prep. farm.;2022;10327
21;Fab. pr. farm.  base e  prep. farm.;2023;10862
21;Fab. pr. farm.  base e  prep. farm.;2024;11141
22;Fabr. art. borracha e mat. plasticas;2014;23382
22;Fabr. art. borracha e mat. plasticas;2015;24581
22;Fabr. art. borracha e mat. plasticas;2016;25547
22;Fabr. art. borracha e mat. plasticas;2017;27653
22;Fabr. art. borracha e mat. plasticas;2018;28666
22;Fabr. art. borracha e mat. plasticas;2019;29832
22;Fabr. art. borracha e mat. plasticas;2020;30199
22;Fabr. art. borracha e mat. plasticas;2021;29926
