country,year,resident_foreign_population
Austria,2013,101866
Belgium,2013,120078
Bulgaria,2013,18570
Croatia,2013,10378
Cyprus,2013,13666
Czechia,2013,30124
Denmark,2013,60312
Estonia,2013,4109
European Union - 27 countries (from 2020),2013,2901962
Finland,2013,31941
France,2013,338752
Germany,2013,692713
Greece,2013,57946
Hungary,2013,38968
Iceland,2013,6406
Ireland,2013,65539
Italy,2013,307454
Latvia,2013,8299
Liechtenstein,2013,696
Lithuania,2013,30924
Luxembourg,2013,21098
Malta,2013,12446
Montenegro,2013,5112
Netherlands,2013,129428
North Macedonia,2013,2050
Norway,2013,68313
Poland,2013,220311
Portugal,2013,17757
Romania,2013,153646
Slovakia,2013,5149
Slovenia,2013,13871
Spain,2013,280772
Sweden,2013,115845
Switzerland,2013,160157
United Kingdom,2013,526046
Austria,2014,116262
Belgium,2014,123158
Bulgaria,2014,26615
Croatia,2014,10638
Cyprus,2014,13003
Czechia,2014,29897
Denmark,2014,68388
Estonia,2014,3904
European Union - 27 countries (from 2020),2014,3187841
Finland,2014,31507
France,2014,340383
Germany,2014,898840
Greece,2014,59013
Hungary,2014,54581
Iceland,2014,5368
Ireland,2014,73519
Italy,2014,277631
Latvia,2014,10365
Liechtenstein,2014,615
Lithuania,2014,33544
Luxembourg,2014,22332
Malta,2014,15928
Moldova,2014,98731
Montenegro,2014,5353
Netherlands,2014,145323
North Macedonia,2014,1935
Norway,2014,66903
Poland,2014,222275
Portugal,2014,23077
Romania,2014,136035
Slovakia,2014,5357
Slovenia,2014,13846
Spain,2014,305454
Sweden,2014,126966
Switzerland,2014,156282
United Kingdom,2014,631991
Austria,2015,166323
Belgium,2015,146626
Bulgaria,2015,25223
Croatia,2015,11706
Cyprus,2015,15364
Czechia,2015,29602
Denmark,2015,78492
Estonia,2015,15413
European Union - 27 countries (from 2020),2015,4097244
Finland,2015,28746
France,2015,364221
Germany,2015,1595865
Greece,2015,64446
Hungary,2015,58344
Iceland,2015,5635
Ireland,2015,80792
Italy,2015,280078
Latvia,2015,9479
Liechtenstein,2015,657
Lithuania,2015,31085
Luxembourg,2015,23803
Malta,2015,18202
Moldova,2015,105834
Montenegro,2015,4553
Netherlands,2015,166872
North Macedonia,2015,1741
Norway,2015,60816
Poland,2015,218147
Portugal,2015,36849
Romania,2015,132795
Slovakia,2015,6997
Slovenia,2015,15420
Spain,2015,342114
Sweden,2015,134240
Switzerland,2015,153627
United Kingdom,2015,631452
Austria,2016,129509
Belgium,2016,123702
Bulgaria,2016,21241
Croatia,2016,13985
Cyprus,2016,18590
Czechia,2016,64083
Denmark,2016,74383
Estonia,2016,14822
European Union - 27 countries (from 2020),2016,3735536
Finland,2016,34905
France,2016,377709
Germany,2016,1042484
Greece,2016,116867
Hungary,2016,53618
Iceland,2016,8710
Ireland,2016,93378
Italy,2016,300823
Latvia,2016,8345
Liechtenstein,2016,607
Lithuania,2016,31395
Luxembourg,2016,22888
Malta,2016,18116
Moldova,2016,107303
Montenegro,2016,4904
Netherlands,2016,189232
North Macedonia,2016,2262
Norway,2016,61460
Poland,2016,208302
Portugal,2016,37644
Romania,2016,137455
Slovakia,2016,7686
Slovenia,2016,16623
Spain,2016,414746
Sweden,2016,163005
Switzerland,2016,149305
United Kingdom,2016,588993
Austria,2017,111801
Belgium,2017,126703
Bulgaria,2017,25597
Croatia,2017,15553
Cyprus,2017,22458
Czechia,2017,51847
Denmark,2017,68579
Estonia,2017,17616
European Union - 27 countries (from 2020),2017,3766413
Finland,2017,31797
France,2017,369621
Germany,2017,900291
Greece,2017,112247
Hungary,2017,68070
Iceland,2017,12116
Ireland,2017,84743
Italy,2017,343440
Latvia,2017,9916
Liechtenstein,2017,645
Lithuania,2017,33305
Luxembourg,2017,24379
Malta,2017,22750
Moldova,2017,107580
Montenegro,2017,6684
Netherlands,2017,189646
North Macedonia,2017,2064
Norway,2017,53351
Poland,2017,209353
Portugal,2017,46649
Romania,2017,177435
Slovakia,2017,7188
Slovenia,2017,18808
Spain,2017,532132
Sweden,2017,144489
Switzerland,2017,143377
United Kingdom,2017,644209
Austria,2018,105633
Belgium,2018,137860
Bulgaria,2018,29559
Croatia,2018,26029
Cyprus,2018,25740
Czechia,2018,65910
Denmark,2018,64669
Estonia,2018,17547
European Union - 27 countries (from 2020),2018,3936055
Finland,2018,31106
France,2018,387160
Germany,2018,855708
Greece,2018,119489
Hungary,2018,82937
Iceland,2018,11830
Ireland,2018,105699
Italy,2018,332324
Latvia,2018,10909
Liechtenstein,2018,649
Lithuania,2018,37420
Luxembourg,2018,24644
Malta,2018,27394
Moldova,2018,116739
Montenegro,2018,8643
Netherlands,2018,194306
North Macedonia,2018,2053
Norway,2018,47864
Poland,2018,214083
Portugal,2018,55357
Romania,2018,172578
Slovakia,2018,7253
Slovenia,2018,28455
Spain,2018,643684
Sweden,2018,132602
Switzerland,2018,144857
United Kingdom,2018,603953
Austria,2019,109167
Belgium,2019,150006
Bulgaria,2019,37929
Croatia,2019,37726
Cyprus,2019,27553
Czechia,2019,105888
Denmark,2019,61384
Estonia,2019,18259
European Union - 27 countries (from 2020),2019,4206293
Finland,2019,32758
France,2019,385596
Germany,2019,834338
Greece,2019,129459
Hungary,2019,88581
Iceland,2019,9872
Ireland,2019,96321
Italy,2019,332778
Latvia,2019,11223
Liechtenstein,2019,727
Lithuania,2019,46526
Luxembourg,2019,26668
Malta,2019,29304
Moldova,2019,116196
Montenegro,2019,10737
Netherlands,2019,215756
North Macedonia,2019,2118
Norway,2019,48680
Poland,2019,226649
Portugal,2019,95382
Romania,2019,202422
Slovakia,2019,7016
Slovenia,2019,31319
Spain,2019,750480
Sweden,2019,115805
Switzerland,2019,145129
United Kingdom,2019,680906
Austria,2020,103565
Belgium,2020,118683
Bulgaria,2020,37364
Croatia,2020,33414
Cyprus,2020,22850
Czechia,2020,63095
Denmark,2020,57230
Estonia,2020,16209
European Union - 27 countries (from 2020),2020,3279673
Finland,2020,32898
France,2020,331137
Germany,2020,666639
Greece,2020,84221
Hungary,2020,75470
Iceland,2020,8544
Ireland,2020,81918
Italy,2020,247526
Latvia,2020,8840
Liechtenstein,2020,713
Lithuania,2020,46020
Luxembourg,2020,22490
Malta,2020,14751
Moldova,2020,65167
Montenegro,2020,6008
Netherlands,2020,182244
North Macedonia,2020,2555
Norway,2020,36287
Poland,2020,210615
Portugal,2020,83654
Romania,2020,145519
Slovakia,2020,6775
Slovenia,2020,36110
Spain,2020,467918
Sweden,2020,82518
Switzerland,2020,138778
Austria,2021,118511
Belgium,2021,139743
Bulgaria,2021,39461
Croatia,2021,35912
Cyprus,2021,25473
Czechia,2021,69360
Denmark,2021,63489
Estonia,2021,19524
European Union - 27 countries (from 2020),2021,4132213
Finland,2021,36364
France,2021,388513
Germany,2021,801361
Greece,2021,57120
Hungary,2021,80471
Iceland,2021,8996
Ireland,2021,83770
Italy,2021,318366
Latvia,2021,12689
Liechtenstein,2021,669
Lithuania,2021,44858
Luxembourg,2021,25335
Malta,2021,16963
Moldova,2021,68356
Netherlands,2021,214105
North Macedonia,2021,1570
Norway,2021,53947
Poland,2021,241116
Portugal,2021,97119
Romania,2021,194642
Slovakia,2021,5733
Slovenia,2021,23624
Spain,2021,887960
Sweden,2021,90631
Switzerland,2021,144907
Austria,2022,201622
Belgium,2022,208356
Bulgaria,2022,40619
Croatia,2022,57972
Cyprus,2022,37558
Czechia,2022,347429
Denmark,2022,121183
Estonia,2022,49414
European Union - 27 countries (from 2020),2022,6997284
Finland,2022,49998
France,2022,490655
Germany,2022,1977121
Greece,2022,95374
Hungary,2022,94148
Iceland,2022,14878
Ireland,2022,157537
Italy,2022,410985
Latvia,2022,38708
Liechtenstein,2022,770
Lithuania,2022,87367
Luxembourg,2022,31433
Malta,2022,34964
Moldova,2022,177875
Montenegro,2022,15989
Netherlands,2022,326798
North Macedonia,2022,2452
Norway,2022,90475
Poland,2022,275515
Portugal,2022,167098
Romania,2022,293024
Slovakia,2022,5463
Slovenia,2022,35613
Spain,2022,1258894
Sweden,2022,102436
Switzerland,2022,167079
Austria,2023,147591
Belgium,2023,169609
Bulgaria,2023,56807
Croatia,2023,69396
Cyprus,2023,40761
Czechia,2023,142149
Denmark,2023,98344
Estonia,2023,26399
European Union - 27 countries (from 2020),2023,6011360
Finland,2023,73236
France,2023,467548
Germany,2023,1303251
Greece,2023,116591
Hungary,2023,96192
Iceland,2023,11235
Ireland,2023,135617
Italy,2023,439658
Latvia,2023,15629
Liechtenstein,2023,716
Lithuania,2023,66682
Luxembourg,2023,26964
Malta,2023,42239
Moldova,2023,97517
Montenegro,2023,18316
Netherlands,2023,274597
Norway,2023,86589
Poland,2023,303275
Portugal,2023,189367
Romania,2023,324091
Slovakia,2023,5923
Slovenia,2023,33939
Spain,2023,1250991
Sweden,2023,94514
Switzerland,2023,263081
Austria,2024,128805
Belgium,2024,162926
Bulgaria,2024,52189
Croatia,2024,70391
Cyprus,2024,40471
Czechia,2024,123910
Denmark,2024,101724
Estonia,2024,18634
European Union - 27 countries (from 2020),2024,5684984
Finland,2024,63965
France,2024,438626
Germany,2024,1078504
Greece,2024,132149
Hungary,2024,88418
Iceland,2024,9946
Ireland,2024,127664
Italy,2024,451583
Latvia,2024,14701
Liechtenstein,2024,1300
Lithuania,2024,51845
Luxembourg,2024,25725
Malta,2024,34033
Moldova,2024,105804
Montenegro,2024,20016
Netherlands,2024,257714
North Macedonia,2024,7458
Norway,2024,66077
Poland,2024,300496
Romania,2024,286538
Slovakia,2024,6824
Slovenia,2024,33023
Spain,2024,1288562
Sweden,2024,116197
Switzerland,2024,212578
