ano.1,spain,italy,moldavia,united_kindon.,romenia,ukraine,angola,cape_verde.1,guinea_bissau,mozambique,s_tome_and_prince,Brazil,china,india,nepal
1960, 10908, 733,, 1940,,,,,,,, 611,,,
1961, 9122, 678,, 1997,,,,,,,, 621,,,
1962, 10718, 687,, 1599,,,,,,,, 599,,,
1963, 9619, 475,, 2403,,,,,,,, 592,,,
1964, 7895, 723,, 2146,,,,,,,, 695,,,
1965, 9422, 724,, 2316,,,,,,,, 769,,,
1966, 9969, 764,, 2461,,,,,,,, 933,,,
1967, 8621, 922,, 2476,,,,,,,, 944,,,
1968, 8988, 790,, 2745,,,,,,,, 1044,,,
1969, 3087, 340,, 1980,,,,,,,, 497,,,
1970, 8940, 817,, 3081,,,,,,,, 1330,,,
1971, 8926, 800,, 3566,,,,,,,, 1554,,,
1972, 8893, 747,, 3279,,,,,,,, 1935,,,
1973,,,,,,,,,,,,,,,
1974, 8959, 1028,, 3934,,,,,,,, 2667,,,
1975, 8879, 987,, 3830,,,,,,,, 2848,,,
1976, 9041, 1010,, 3180,,,,,,,, 3169,,,
1977, 8606, 988,, 2936,,,,,,,, 3359,,,
1978, 7274, 952,, 2848,,,,,,,, 3765,,,
1979, 7067, 927,, 2659,,,,,,,, 3425,,,
1980, 6597, 750,, 2648, 4,, 1482, 21022, 678, 594, 715, 3608, 244, 104,
1981, 6652, 733,, 3036, 5,, 1508, 21008, 820, 499, 723, 4349, 297, 134,
1982, 6620, 741,, 3364, 5,, 1929, 20957, 1007, 697, 858, 5016, 353, 187,
1983, 6749, 804,, 3999, 11,, 2616, 22358, 1479, 1180, 1131, 5870, 432, 269,
1984, 6795, 838,, 4511, 11,, 3201, 23372, 1737, 1688, 1279, 6316, 610, 307,
1985, 6798, 880,, 5053, 11,, 3642, 24959, 1974, 2144, 1423, 6804, 785, 341,
1986, 6958, 953,, 5872, 12,, 3966, 26301, 2494, 2475, 1563, 7470, 867, 385,
1987, 6985, 974,, 6577, 14,, 4187, 26565, 2688, 2600, 1625, 7830, 947, 433,
1988, 7105, 1060,, 7115, 16,, 4434, 27106, 3107, 2762, 1730, 9333, 1002, 485,
1989, 7294, 1137,, 7761, 21,, 4842, 27972, 3447, 2980, 1873, 10520, 1102, 533,
1990, 7462, 1181,, 8457, 28,, 5306, 28796, 3986, 3175, 2034, 11413, 1232, 600,
