country;year;crude_immigration_rate
1998;União Europeia 27 (desde 2020)
1999;União Europeia 27 (desde 2020)
2000;União Europeia 27 (desde 2020)
2001;União Europeia 27 (desde 2020)
2002;União Europeia 27 (desde 2020)
2003;União Europeia 27 (desde 2020)
2004;União Europeia 27 (desde 2020)
2005;União Europeia 27 (desde 2020)
2006;União Europeia 27 (desde 2020)
2007;União Europeia 27 (desde 2020)
2008;União Europeia 27 (desde 2020)
2009;União Europeia 27 (desde 2020)
2010;União Europeia 27 (desde 2020)
2011;União Europeia 27 (desde 2020)
2012;União Europeia 27 (desde 2020)
2013;União Europeia 27 (desde 2020);6.6
2014;União Europeia 27 (desde 2020);7.2
2015;União Europeia 27 (desde 2020);9.2
2016;União Europeia 27 (desde 2020);8.4
2017;União Europeia 27 (desde 2020);8.5
2018;União Europeia 27 (desde 2020);8.8
2019;União Europeia 27 (desde 2020);9.4
2020;União Europeia 27 (desde 2020);7.3
2021;União Europeia 27 (desde 2020);9.2
2022;União Europeia 27 (desde 2020);15.5
2023;União Europeia 27 (desde 2020);13.3
2024;União Europeia 27 (desde 2020)
1998;Alemanha;9.8
1999;Alemanha;10.6
2000;Alemanha;10.2
2001;Alemanha;10.7
2002;Alemanha;10.2
2003;Alemanha;9.3
2004;Alemanha;9.5
2005;Alemanha;8.6
2006;Alemanha;8.0
2007;Alemanha;8.3
2008;Alemanha;8.3
2009;Alemanha;4.2
2010;Alemanha;5.0
2011;Alemanha;6.1
2012;Alemanha;7.4
2013;Alemanha;8.6
2014;Alemanha;11.1
2015;Alemanha;19.5
2016;Alemanha;12.7
2017;Alemanha;10.9
2018;Alemanha;10.3
2019;Alemanha;10.0
2020;Alemanha;8.0
2021;Alemanha;9.6
2022;Alemanha;23.8
2023;Alemanha;15.6
2024;Alemanha;12.9
1998;Áustria;9.1
1999;Áustria;10.8
2000;Áustria;10.2
2001;Áustria;11.2
2002;Áustria;13.4
2003;Áustria;13.8
2004;Áustria;15.0
2005;Áustria;13.9
2006;Áustria;11.9
2007;Áustria;8.8
2008;Áustria;8.9
2009;Áustria;8.3
2010;Áustria;8.5
2011;Áustria;9.8
2012;Áustria;10.9
2013;Áustria;12.0
2014;Áustria;13.6
2015;Áustria;19.2
2016;Áustria;14.8
2017;Áustria;12.7
2018;Áustria;11.9
