year;country;gdp_million_eur;gdp_thousand_eur;source_id;source;unit;price_basis;notes
1960;PT;493.923;493923;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1961;PT;516.075;516075;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1962;PT;577.39;577390;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1963;PT;597.435;597435;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1964;PT;649.418;649418;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1965;PT;756.28;756280;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1966;PT;810.459;810459;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1967;PT;907.105;907105;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1968;PT;979.622;979622;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1969;PT;1048.462;1048462;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1970;PT;1186.648;1186648;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1971;PT;1377.045;1377045;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1972;PT;1624.357;1624357;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1973;PT;1919.137;1919137;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1974;PT;2279.085;2279085;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1975;PT;2632.302;2632302;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1976;PT;3160.122;3160122;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1977;PT;4074.282;4074282;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1978;PT;5039.27;5039270;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1979;PT;6404.329;6404329;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
1980;PT;8356.818;8356818;FONTE-005;PORDATA via INE Contas Nacionais Anuais Base 2021;million_eur;current_prices;
