year;district;employees_count
2010;AVEIRO;267332
2011;AVEIRO;267601
2012;AVEIRO;256934
2013;AVEIRO;251193
2014;AVEIRO;255852
2015;AVEIRO;262825
2016;AVEIRO;269825
2017;AVEIRO;279522
2018;AVEIRO;290226
2019;AVEIRO;298046
2020;AVEIRO;296531
2021;AVEIRO;303316
2022;AVEIRO;318483
2023;AVEIRO;328254
2024;AVEIRO;331921
2025;AVEIRO;335902
2010;BEJA;47761
2011;BEJA;48507
2012;BEJA;46288
2013;BEJA;46072
2014;BEJA;47284
2015;BEJA;48728
2016;BEJA;49924
2017;BEJA;52832
2018;BEJA;57463
2019;BEJA;63667
2020;BEJA;64978
2021;BEJA;69303
2022;BEJA;85141
2023;BEJA;94581
2024;BEJA;86853
2025;BEJA;82196
2010;BRAGA;309613
2011;BRAGA;309946
2012;BRAGA;297771
2013;BRAGA;292075
2014;BRAGA;300267
2015;BRAGA;310256
2016;BRAGA;321036
2017;BRAGA;334304
2018;BRAGA;347058
2019;BRAGA;357571
2020;BRAGA;356228
2021;BRAGA;364863
2022;BRAGA;385018
2023;BRAGA;396465
2024;BRAGA;400968
2025;BRAGA;408747
2010;BRAGANCA;30730
2011;BRAGANCA;31220
2012;BRAGANCA;29952
2013;BRAGANCA;29193
2014;BRAGANCA;29430
2015;BRAGANCA;30170
2016;BRAGANCA;30498
2017;BRAGANCA;31369
2018;BRAGANCA;32440
2019;BRAGANCA;33609
2020;BRAGANCA;33446
2021;BRAGANCA;34728
2022;BRAGANCA;36406
2023;BRAGANCA;37805
2024;BRAGANCA;38812
2025;BRAGANCA;39739
2010;CASTELO BRANCO;57082
2011;CASTELO BRANCO;57369
2012;CASTELO BRANCO;55109
2013;CASTELO BRANCO;53269
2014;CASTELO BRANCO;53300
2015;CASTELO BRANCO;54419
2016;CASTELO BRANCO;55155
2017;CASTELO BRANCO;56631
2018;CASTELO BRANCO;58314
2019;CASTELO BRANCO;59861
2020;CASTELO BRANCO;59441
2021;CASTELO BRANCO;61280
2022;CASTELO BRANCO;65194
2023;CASTELO BRANCO;68632
2024;CASTELO BRANCO;69565
2025;CASTELO BRANCO;71064
2010;COIMBRA;138591
2011;COIMBRA;137955
2012;COIMBRA;131412
2013;COIMBRA;127405
2014;COIMBRA;128827
2015;COIMBRA;132802
2016;COIMBRA;135636
2017;COIMBRA;139982
2018;COIMBRA;144936
2019;COIMBRA;149479
2020;COIMBRA;148619
2021;COIMBRA;152843
2022;COIMBRA;161390
2023;COIMBRA;167921
2024;COIMBRA;171469
2025;COIMBRA;174929
2010;FARO;178329
2011;FARO;175149
2012;FARO;163235
2013;FARO;158742
2014;FARO;163834
2015;FARO;171072
2016;FARO;178137
2017;FARO;189666
2018;FARO;202678
2019;FARO;214894
2020;FARO;204948
2021;FARO;212653
2022;FARO;238783
2023;FARO;249712
2024;FARO;258244
2025;FARO;261212
2010;GUARDA;42825
2011;GUARDA;42263
2012;GUARDA;40444
2013;GUARDA;39764
2014;GUARDA;39971
2015;GUARDA;40624
2016;GUARDA;41237
2017;GUARDA;42390
2018;GUARDA;43170
2019;GUARDA;43943
2020;GUARDA;43675
2021;GUARDA;44381
2022;GUARDA;45874
2023;GUARDA;47456
2024;GUARDA;48342
2025;GUARDA;48720
2010;LEIRIA;173146
2011;LEIRIA;171674
2012;LEIRIA;162934
2013;LEIRIA;158035
2014;LEIRIA;160686
2015;LEIRIA;166032
2016;LEIRIA;170016
2017;LEIRIA;176424
2018;LEIRIA;182219
2019;LEIRIA;188434
2020;LEIRIA;188231
2021;LEIRIA;194357
2022;LEIRIA;207362
2023;LEIRIA;218557
2024;LEIRIA;225111
2025;LEIRIA;228220
2010;LISBOA;878511
2011;LISBOA;875683
2012;LISBOA;825010
2013;LISBOA;794833
2014;LISBOA;806657
2015;LISBOA;837556
2016;LISBOA;866685
2017;LISBOA;905942
2018;LISBOA;955601
2019;LISBOA;1005773
2020;LISBOA;999719
2021;LISBOA;1017470
2022;LISBOA;1105428
2023;LISBOA;1156667
2024;LISBOA;1186122
2025;LISBOA;1206516
2010;OUTRO;3391
2011;OUTRO;3755
2012;OUTRO;4051
2013;OUTRO;4949
2014;OUTRO;8101
2015;OUTRO;10548
2016;OUTRO;12429
2017;OUTRO;14772
2018;OUTRO;16977
2019;OUTRO;16943
2020;OUTRO;15808
2021;OUTRO;16294
2022;OUTRO;16880
2023;OUTRO;22602
2024;OUTRO;25647
2025;OUTRO;22652
2010;PORTALEGRE;34876
2011;PORTALEGRE;34468
2012;PORTALEGRE;32691
2013;PORTALEGRE;32632
2014;PORTALEGRE;33351
2015;PORTALEGRE;33900
2016;PORTALEGRE;34250
2017;PORTALEGRE;35179
2018;PORTALEGRE;35897
2019;PORTALEGRE;36680
2020;PORTALEGRE;36222
2021;PORTALEGRE;37062
2022;PORTALEGRE;38887
2023;PORTALEGRE;40738
2024;PORTALEGRE;42073
2025;PORTALEGRE;41934
2010;PORTO;660314
2011;PORTO;657148
2012;PORTO;624176
2013;PORTO;606393
2014;PORTO;618843
2015;PORTO;642524
2016;PORTO;663007
2017;PORTO;689434
2018;PORTO;717692
2019;PORTO;742528
2020;PORTO;737094
2021;PORTO;750502
2022;PORTO;795308
2023;PORTO;825565
2024;PORTO;841313
2025;PORTO;852415
2010;RA ACORES;76012
2011;RA ACORES;75152
2012;RA ACORES;71812
2013;RA ACORES;70068
2014;RA ACORES;71710
2015;RA ACORES;74989
2016;RA ACORES;77757
2017;RA ACORES;80352
2018;RA ACORES;83161
2019;RA ACORES;85854
2020;RA ACORES;85141
2021;RA ACORES;89948
2022;RA ACORES;94738
2023;RA ACORES;98185
