year;district;self_employed_count
2010;AVEIRO;36282
2011;AVEIRO;34821
2012;AVEIRO;31679
2013;AVEIRO;29917
2014;AVEIRO;28669
2015;AVEIRO;27953
2016;AVEIRO;27069
2017;AVEIRO;27381
2018;AVEIRO;26092
2019;AVEIRO;35102
2020;AVEIRO;34433
2021;AVEIRO;34731
2022;AVEIRO;35690
2023;AVEIRO;37982
2024;AVEIRO;39581
2025;AVEIRO;38476
2010;BEJA;9222
2011;BEJA;8633
2012;BEJA;7896
2013;BEJA;7480
2014;BEJA;7114
2015;BEJA;6968
2016;BEJA;6692
2017;BEJA;6737
2018;BEJA;6395
2019;BEJA;8299
2020;BEJA;8091
2021;BEJA;7935
2022;BEJA;8169
2023;BEJA;8387
2024;BEJA;8667
2025;BEJA;8505
2010;BRAGA;38485
2011;BRAGA;36667
2012;BRAGA;33891
2013;BRAGA;32393
2014;BRAGA;31318
2015;BRAGA;30871
2016;BRAGA;30214
2017;BRAGA;30807
2018;BRAGA;29458
2019;BRAGA;40168
2020;BRAGA;40268
2021;BRAGA;40842
2022;BRAGA;41824
2023;BRAGA;44879
2024;BRAGA;46830
2025;BRAGA;46548
2010;BRAGANCA;9219
2011;BRAGANCA;8760
2012;BRAGANCA;8217
2013;BRAGANCA;8675
2014;BRAGANCA;8350
2015;BRAGANCA;7941
2016;BRAGANCA;7320
2017;BRAGANCA;7335
2018;BRAGANCA;6881
2019;BRAGANCA;9404
2020;BRAGANCA;9022
2021;BRAGANCA;9009
2022;BRAGANCA;9079
2023;BRAGANCA;9065
2024;BRAGANCA;8999
2025;BRAGANCA;8781
2010;CASTELO BRANCO;10562
2011;CASTELO BRANCO;9972
2012;CASTELO BRANCO;9127
2013;CASTELO BRANCO;8521
2014;CASTELO BRANCO;7985
2015;CASTELO BRANCO;7767
2016;CASTELO BRANCO;7236
2017;CASTELO BRANCO;7264
2018;CASTELO BRANCO;6779
2019;CASTELO BRANCO;8820
2020;CASTELO BRANCO;8544
2021;CASTELO BRANCO;8446
2022;CASTELO BRANCO;8678
2023;CASTELO BRANCO;9170
2024;CASTELO BRANCO;9499
