year;district;contribution_amount
2010;AVEIRO;876156905.4
2011;AVEIRO;910241180.94
2012;AVEIRO;877540858.16
2013;AVEIRO;884780868.04
2014;AVEIRO;911367186.48
2015;AVEIRO;951516587.17
2016;AVEIRO;1002418007.96
2017;AVEIRO;1073396603.35
2018;AVEIRO;1151574397.94
2019;AVEIRO;1229366811.62
2020;AVEIRO;1218851765.02
2021;AVEIRO;1347850791.47
2022;AVEIRO;1493275319.3
2023;AVEIRO;1654808971.53
2024;AVEIRO;1797750618.17
2025;AVEIRO;1932930945.88
2010;BEJA;130623936.55
2011;BEJA;137999370.9
2012;BEJA;132785818.26
2013;BEJA;135606797.86
2014;BEJA;141509593.67
2015;BEJA;147749470.25
2016;BEJA;154039834.36
2017;BEJA;169184932.74
2018;BEJA;186008367.55
2019;BEJA;207353137.76
2020;BEJA;214562996.11
2021;BEJA;237798863.39
2022;BEJA;272211679.36
2023;BEJA;320010269.75
2024;BEJA;347196986.81
2025;BEJA;370163319.42
2010;BRAGA;905680043.2
2011;BRAGA;937790557.12
2012;BRAGA;899282482.95
2013;BRAGA;911566697.32
2014;BRAGA;951181769.05
2015;BRAGA;1000217440.68
2016;BRAGA;1067350881.68
2017;BRAGA;1159959211.18
2018;BRAGA;1258230773.36
2019;BRAGA;1362684167.91
2020;BRAGA;1363975934.79
2021;BRAGA;1532834291.46
2022;BRAGA;1714136469.45
2023;BRAGA;1911211067.09
2024;BRAGA;2091917298.76
2025;BRAGA;2275825388.91
2010;BRAGANCA;80993288.86
2011;BRAGANCA;85919218.16
2012;BRAGANCA;81266775.77
2013;BRAGANCA;81926467.96
2014;BRAGANCA;83787331.64
2015;BRAGANCA;86893540.21
2016;BRAGANCA;91304796.71
2017;BRAGANCA;98079444.75
2018;BRAGANCA;104501220.62
2019;BRAGANCA;113464458.15
2020;BRAGANCA;116918377.79
2021;BRAGANCA;128612697.14
2022;BRAGANCA;142237892.37
2023;BRAGANCA;159539018.53
2024;BRAGANCA;177118212.16
2025;BRAGANCA;195325287.92
2010;CASTELO BRANCO;160983704.41
2011;CASTELO BRANCO;168963886.46
2012;CASTELO BRANCO;161269680.46
2013;CASTELO BRANCO;161072424.84
2014;CASTELO BRANCO;163582645.7
2015;CASTELO BRANCO;169667717.94
2016;CASTELO BRANCO;176319782.15
2017;CASTELO BRANCO;187587243.24
2018;CASTELO BRANCO;200891757.58
2019;CASTELO BRANCO;216361458.46
2020;CASTELO BRANCO;218530552.46
2021;CASTELO BRANCO;239499767.16
2022;CASTELO BRANCO;268720319.62
2023;CASTELO BRANCO;305924460.4
2024;CASTELO BRANCO;334536021.83
2025;CASTELO BRANCO;362798124.73
2010;COIMBRA;474539453.08
2011;COIMBRA;486969670.36
2012;COIMBRA;457709654.62
2013;COIMBRA;459274160.83
2014;COIMBRA;469778690.9
2015;COIMBRA;487228479.13
2016;COIMBRA;508332508.22
2017;COIMBRA;539232695.6
2018;COIMBRA;576308729.8
2019;COIMBRA;624414480.5
2020;COIMBRA;632516984.74
2021;COIMBRA;691606087.14
2022;COIMBRA;767879740.22
2023;COIMBRA;860323864.46
2024;COIMBRA;947598166.72
2025;COIMBRA;1029121752.59
2010;EVORA;162143422.32
2011;EVORA;168318956.27
2012;EVORA;158445211.77
2013;EVORA;159806185.87
2014;EVORA;164738373.27
2015;EVORA;170654466.56
2016;EVORA;177972895.23
2017;EVORA;190208112.51
2018;EVORA;204129819.35
2019;EVORA;220388093.0
2020;EVORA;220846040.51
2021;EVORA;242361456.47
2022;EVORA;270220681.67
2023;EVORA;305116542.9
2024;EVORA;333144885.5
2025;EVORA;360698668.11
2010;FARO;523902525.26
2011;FARO;524110870.59
2012;FARO;480357520.15
2013;FARO;479248687.77
2014;FARO;496228460.6
2015;FARO;525184812.21
2016;FARO;565287788.6
2017;FARO;620212417.13
2018;FARO;685963643.37
2019;FARO;753461843.74
2020;FARO;698009159.3
2021;FARO;775626992.22
2022;FARO;929312970.32
2023;FARO;1066362251.06
2024;FARO;1193704183.28
2025;FARO;1297137813.58
2010;GUARDA;118077623.36
2011;GUARDA;120718550.66
2012;GUARDA;115634192.94
2013;GUARDA;116872774.42
2014;GUARDA;119016087.48
2015;GUARDA;122888710.84
2016;GUARDA;129003950.88
2017;GUARDA;137300455.95
2018;GUARDA;145386646.49
2019;GUARDA;155310477.23
2020;GUARDA;157913819.3
2021;GUARDA;171668992.61
2022;GUARDA;188074567.5
2023;GUARDA;208182161.19
2024;GUARDA;228189757.38
2025;GUARDA;247081113.48
2010;LEIRIA;554498215.3
2011;LEIRIA;566151386.12
2012;LEIRIA;538773157.32
2013;LEIRIA;539727513.69
2014;LEIRIA;554917982.52
2015;LEIRIA;580836596.18
2016;LEIRIA;612381675.39
2017;LEIRIA;655079227.16
2018;LEIRIA;702515732.5
2019;LEIRIA;754698288.49
2020;LEIRIA;759969674.73
2021;LEIRIA;836011788.64
2022;LEIRIA;935530764.3
2023;LEIRIA;1048314294.58
2024;LEIRIA;1159947762.59
2025;LEIRIA;1259761247.5
2010;LISBOA;3902195859.28
2011;LISBOA;4057961374.38
2012;LISBOA;3823863599.06
2013;LISBOA;3802460143.95
2014;LISBOA;3895170942.62
2015;LISBOA;4011404185.62
2016;LISBOA;4188921514.03
2017;LISBOA;4437188070.15
2018;LISBOA;4776682520.33
2019;LISBOA;5174780645.29
2020;LISBOA;5144856866.71
2021;LISBOA;5533596416.85
2022;LISBOA;6208277982.39
2023;LISBOA;6986125494.01
2024;LISBOA;7644253631.42
2025;LISBOA;8168868483.98
2010;OUTRO;13007384.5
2011;OUTRO;15416986.99
2012;OUTRO;17165916.35
2013;OUTRO;23630825.72
2014;OUTRO;43813614.29
2015;OUTRO;59793398.03
2016;OUTRO;66289690.14
2017;OUTRO;71656215.17
2018;OUTRO;76836100.5
2019;OUTRO;79717953.23
2020;OUTRO;74016691.08
2021;OUTRO;76494085.34
2022;OUTRO;83463624.62
2023;OUTRO;105277519.07
2024;OUTRO;132026015.08
2025;OUTRO;136293448.78
2010;PORTALEGRE;94638037.17
2011;PORTALEGRE;97262369.94
2012;PORTALEGRE;92637799.6
2013;PORTALEGRE;94230353.52
2014;PORTALEGRE;98135345.99
2015;PORTALEGRE;101223046.19
2016;PORTALEGRE;105696358.97
2017;PORTALEGRE;112260182.88
2018;PORTALEGRE;119457163.8
2019;PORTALEGRE;127756619.01
2020;PORTALEGRE;130033832.59
2021;PORTALEGRE;140504602.2
2022;PORTALEGRE;155760961.24
2023;PORTALEGRE;173390892.78
2024;PORTALEGRE;191334687.03
2025;PORTALEGRE;207545789.44
2010;PORTO;2265124925.91
2011;PORTO;2349533397.53
2012;PORTO;2224646552.78
2013;PORTO;2224954594.68
2014;PORTO;2298034192.4
2015;PORTO;2402280003.93
2016;PORTO;2527429873.46
2017;PORTO;2705700739.52
2018;PORTO;2920500603.49
2019;PORTO;3151686453.59
2020;PORTO;3134558683.75
2021;PORTO;3451669040.18
2022;PORTO;3881775806.42
2023;PORTO;4349597017.8
2024;PORTO;4771625213.4
2025;PORTO;5153727958.23
2010;RA ACORES;239802275.83
2011;RA ACORES;250311455.64
2012;RA ACORES;233427589.5
2013;RA ACORES;239562420.71
2014;RA ACORES;245198135.05
2015;RA ACORES;257988920.39
2016;RA ACORES;270878265.18
2017;RA ACORES;287618901.42
2018;RA ACORES;307983723.76
2019;RA ACORES;333123269.31
2020;RA ACORES;341053487.03
2021;RA ACORES;380001979.16
2022;RA ACORES;419021908.18
2023;RA ACORES;473111748.84
2024;RA ACORES;528440217.27
2025;RA ACORES;576826705.37
2010;RA MADEIRA;287053011.24
2011;RA MADEIRA;288987017.25
