year;district;remuneration_amount
2010;AVEIRO;2675314068.9
2011;AVEIRO;2779606362.92
2012;AVEIRO;2666327316.66
2013;AVEIRO;2637147913.51
2014;AVEIRO;2707037190.14
2015;AVEIRO;2824962005.23
2016;AVEIRO;2977198033.08
2017;AVEIRO;3180799662.13
2018;AVEIRO;3402954994.13
2019;AVEIRO;3621060539.77
2020;AVEIRO;3684447683.55
2021;AVEIRO;3987590766.3
2022;AVEIRO;4386239882.84
2023;AVEIRO;4862517331.09
2024;AVEIRO;5287200482.64
2025;AVEIRO;5687118861.54
2010;BEJA;407262630.16
2011;BEJA;426495687.34
2012;BEJA;407649480.92
2013;BEJA;408760759.14
2014;BEJA;423808148.57
2015;BEJA;441481461.76
2016;BEJA;460718836.46
2017;BEJA;503801555.96
2018;BEJA;552108885.62
2019;BEJA;614223248.13
2020;BEJA;643831804.42
2021;BEJA;706696920.04
2022;BEJA;803595350.56
2023;BEJA;944568329.2
2024;BEJA;1024630335.72
2025;BEJA;1091796583.14
2010;BRAGA;2778109151.64
2011;BRAGA;2874020190.5
2012;BRAGA;2744457601.49
2013;BRAGA;2726915567.05
2014;BRAGA;2838896432.13
2015;BRAGA;2993361447.16
2016;BRAGA;3200053180.93
2017;BRAGA;3462144032.98
2018;BRAGA;3732573723.68
2019;BRAGA;4018421536.06
2020;BRAGA;4141542181.84
2021;BRAGA;4531874575.05
2022;BRAGA;5034168479.83
2023;BRAGA;5615648115.49
2024;BRAGA;6150734481.61
2025;BRAGA;6691183963.02
2010;BRAGANCA;257713811.11
2011;BRAGANCA;270884741.62
2012;BRAGANCA;254396603.04
2013;BRAGANCA;250424999.24
2014;BRAGANCA;253900198.44
2015;BRAGANCA;262791144.72
2016;BRAGANCA;275911425.72
2017;BRAGANCA;294854748.29
2018;BRAGANCA;312650267.08
2019;BRAGANCA;337741668.5
2020;BRAGANCA;353931114.05
2021;BRAGANCA;383271942.5
2022;BRAGANCA;420042212.97
2023;BRAGANCA;471312970.22
2024;BRAGANCA;523357620.33
2025;BRAGANCA;577019703.79
2010;CASTELO BRANCO;505982593.92
2011;CASTELO BRANCO;527924365.07
2012;CASTELO BRANCO;499466377.2
2013;CASTELO BRANCO;487547017.92
2014;CASTELO BRANCO;491880718.7
2015;CASTELO BRANCO;508970536.96
2016;CASTELO BRANCO;528204171.74
2017;CASTELO BRANCO;559669658.41
2018;CASTELO BRANCO;596648924.36
2019;CASTELO BRANCO;640003324.17
2020;CASTELO BRANCO;661811527.0
2021;CASTELO BRANCO;710430516.77
