year;district;employees_count;source_id;source
2010;Aveiro;267332;F014;Segurança Social
2011;Aveiro;267601;F014;Segurança Social
2012;Aveiro;256934;F014;Segurança Social
2013;Aveiro;251193;F014;Segurança Social
2014;Aveiro;255852;F014;Segurança Social
2015;Aveiro;262825;F014;Segurança Social
2016;Aveiro;269825;F014;Segurança Social
2017;Aveiro;279522;F014;Segurança Social
2018;Aveiro;290226;F014;Segurança Social
2019;Aveiro;298046;F014;Segurança Social
2020;Aveiro;296531;F014;Segurança Social
2021;Aveiro;303316;F014;Segurança Social
2022;Aveiro;318483;F014;Segurança Social
2023;Aveiro;328254;F014;Segurança Social
2024;Aveiro;331921;F014;Segurança Social
2025;Aveiro;335902;F014;Segurança Social
2010;Beja;47761;F014;Segurança Social
2011;Beja;48507;F014;Segurança Social
2012;Beja;46288;F014;Segurança Social
2013;Beja;46072;F014;Segurança Social
2014;Beja;47284;F014;Segurança Social
2015;Beja;48728;F014;Segurança Social
2016;Beja;49924;F014;Segurança Social
2017;Beja;52832;F014;Segurança Social
2018;Beja;57463;F014;Segurança Social
2019;Beja;63667;F014;Segurança Social
2020;Beja;64978;F014;Segurança Social
2021;Beja;69303;F014;Segurança Social
2022;Beja;85141;F014;Segurança Social
2023;Beja;94581;F014;Segurança Social
2024;Beja;86853;F014;Segurança Social
2025;Beja;82196;F014;Segurança Social
2010;Braga;309613;F014;Segurança Social
2011;Braga;309946;F014;Segurança Social
2012;Braga;297771;F014;Segurança Social
2013;Braga;292075;F014;Segurança Social
2014;Braga;300267;F014;Segurança Social
2015;Braga;310256;F014;Segurança Social
2016;Braga;321036;F014;Segurança Social
2017;Braga;334304;F014;Segurança Social
2018;Braga;347058;F014;Segurança Social
2019;Braga;357571;F014;Segurança Social
2020;Braga;356228;F014;Segurança Social
2021;Braga;364863;F014;Segurança Social
2022;Braga;385018;F014;Segurança Social
2023;Braga;396465;F014;Segurança Social
2024;Braga;400968;F014;Segurança Social
2025;Braga;408747;F014;Segurança Social
2010;Bragança;30730;F014;Segurança Social
2011;Bragança;31220;F014;Segurança Social
2012;Bragança;29952;F014;Segurança Social
2013;Bragança;29193;F014;Segurança Social
2014;Bragança;29430;F014;Segurança Social
2015;Bragança;30170;F014;Segurança Social
2016;Bragança;30498;F014;Segurança Social
2017;Bragança;31369;F014;Segurança Social
2018;Bragança;32440;F014;Segurança Social
2019;Bragança;33609;F014;Segurança Social
2020;Bragança;33446;F014;Segurança Social
2021;Bragança;34728;F014;Segurança Social
2022;Bragança;36406;F014;Segurança Social
2023;Bragança;37805;F014;Segurança Social
2024;Bragança;38812;F014;Segurança Social
2025;Bragança;39739;F014;Segurança Social
2010;Castelo Branco;57082;F014;Segurança Social
2011;Castelo Branco;57369;F014;Segurança Social
2012;Castelo Branco;55109;F014;Segurança Social
2013;Castelo Branco;53269;F014;Segurança Social
2014;Castelo Branco;53300;F014;Segurança Social
2015;Castelo Branco;54419;F014;Segurança Social
2016;Castelo Branco;55155;F014;Segurança Social
2017;Castelo Branco;56631;F014;Segurança Social
2018;Castelo Branco;58314;F014;Segurança Social
2019;Castelo Branco;59861;F014;Segurança Social
2020;Castelo Branco;59441;F014;Segurança Social
2021;Castelo Branco;61280;F014;Segurança Social
2022;Castelo Branco;65194;F014;Segurança Social
2023;Castelo Branco;68632;F014;Segurança Social
2024;Castelo Branco;69565;F014;Segurança Social
2025;Castelo Branco;71064;F014;Segurança Social
2010;Coimbra;138591;F014;Segurança Social
2011;Coimbra;137955;F014;Segurança Social
2012;Coimbra;131412;F014;Segurança Social
2013;Coimbra;127405;F014;Segurança Social
2014;Coimbra;128827;F014;Segurança Social
2015;Coimbra;132802;F014;Segurança Social
2016;Coimbra;135636;F014;Segurança Social
2017;Coimbra;139982;F014;Segurança Social
2018;Coimbra;144936;F014;Segurança Social
2019;Coimbra;149479;F014;Segurança Social
2020;Coimbra;148619;F014;Segurança Social
2021;Coimbra;152843;F014;Segurança Social
2022;Coimbra;161390;F014;Segurança Social
2023;Coimbra;167921;F014;Segurança Social
2024;Coimbra;171469;F014;Segurança Social
2025;Coimbra;174929;F014;Segurança Social
2010;Faro;178329;F014;Segurança Social
2011;Faro;175149;F014;Segurança Social
2012;Faro;163235;F014;Segurança Social
2013;Faro;158742;F014;Segurança Social
2014;Faro;163834;F014;Segurança Social
2015;Faro;171072;F014;Segurança Social
2016;Faro;178137;F014;Segurança Social
2017;Faro;189666;F014;Segurança Social
2018;Faro;202678;F014;Segurança Social
2019;Faro;214894;F014;Segurança Social
2020;Faro;204948;F014;Segurança Social
2021;Faro;212653;F014;Segurança Social
2022;Faro;238783;F014;Segurança Social
2023;Faro;249712;F014;Segurança Social
2024;Faro;258244;F014;Segurança Social
2025;Faro;261212;F014;Segurança Social
2010;Guarda;42825;F014;Segurança Social
2011;Guarda;42263;F014;Segurança Social
2012;Guarda;40444;F014;Segurança Social
2013;Guarda;39764;F014;Segurança Social
2014;Guarda;39971;F014;Segurança Social
2015;Guarda;40624;F014;Segurança Social
2016;Guarda;41237;F014;Segurança Social
2017;Guarda;42390;F014;Segurança Social
2018;Guarda;43170;F014;Segurança Social
2019;Guarda;43943;F014;Segurança Social
2020;Guarda;43675;F014;Segurança Social
2021;Guarda;44381;F014;Segurança Social
2022;Guarda;45874;F014;Segurança Social
2023;Guarda;47456;F014;Segurança Social
2024;Guarda;48342;F014;Segurança Social
2025;Guarda;48720;F014;Segurança Social
2010;Leiria;173146;F014;Segurança Social
2011;Leiria;171674;F014;Segurança Social
2012;Leiria;162934;F014;Segurança Social
2013;Leiria;158035;F014;Segurança Social
2014;Leiria;160686;F014;Segurança Social
2015;Leiria;166032;F014;Segurança Social
2016;Leiria;170016;F014;Segurança Social
2017;Leiria;176424;F014;Segurança Social
2018;Leiria;182219;F014;Segurança Social
2019;Leiria;188434;F014;Segurança Social
2020;Leiria;188231;F014;Segurança Social
2021;Leiria;194357;F014;Segurança Social
2022;Leiria;207362;F014;Segurança Social
2023;Leiria;218557;F014;Segurança Social
2024;Leiria;225111;F014;Segurança Social
2025;Leiria;228220;F014;Segurança Social
2010;Lisboa;878511;F014;Segurança Social
2011;Lisboa;875683;F014;Segurança Social
2012;Lisboa;825010;F014;Segurança Social
2013;Lisboa;794833;F014;Segurança Social
2014;Lisboa;806657;F014;Segurança Social
2015;Lisboa;837556;F014;Segurança Social
2016;Lisboa;866685;F014;Segurança Social
2017;Lisboa;905942;F014;Segurança Social
2018;Lisboa;955601;F014;Segurança Social
2019;Lisboa;1005773;F014;Segurança Social
2020;Lisboa;999719;F014;Segurança Social
2021;Lisboa;1017470;F014;Segurança Social
2022;Lisboa;1105428;F014;Segurança Social
2023;Lisboa;1156667;F014;Segurança Social
2024;Lisboa;1186122;F014;Segurança Social
2025;Lisboa;1206516;F014;Segurança Social
2010;Outro;3391;F014;Segurança Social
2011;Outro;3755;F014;Segurança Social
2012;Outro;4051;F014;Segurança Social
2013;Outro;4949;F014;Segurança Social
2014;Outro;8101;F014;Segurança Social
2015;Outro;10548;F014;Segurança Social
2016;Outro;12429;F014;Segurança Social
2017;Outro;14772;F014;Segurança Social
2018;Outro;16977;F014;Segurança Social
