year;district;beneficiaries_count
2015;AVEIRO;2333
2015;BEJA;1479
2015;BRAGA;1595
2015;BRAGANCA;604
2015;CASTELO BRANCO;529
2015;COIMBRA;1716
2015;FARO;10994
2015;GUARDA;364
2015;LEIRIA;2912
2015;LISBOA;37970
2015;OUTRO;714
2015;PORTALEGRE;622
2015;PORTO;5320
2015;RA ACORES;506
2015;RA MADEIRA;757
2015;SANTAREM;2697
2015;SETUBAL;10419
2015;VIANA DO CASTELO;541
2015;VILA REAL;367
2015;VISEU;827
2015;EVORA;779
2016;AVEIRO;2144
2016;BEJA;1435
2016;BRAGA;1575
2016;BRAGANCA;670
2016;CASTELO BRANCO;502
2016;COIMBRA;1612
2016;FARO;10476
2016;GUARDA;388
2016;LEIRIA;2665
2016;LISBOA;35069
2016;OUTRO;663
2016;PORTALEGRE;545
2016;PORTO;5110
2016;RA ACORES;475
2016;RA MADEIRA;704
2016;SANTAREM;2489
2016;SETUBAL;9454
2016;VIANA DO CASTELO;531
2016;VILA REAL;331
2016;VISEU;717
2016;EVORA;743
2017;AVEIRO;2202
2017;BEJA;1446
2017;BRAGA;1724
2017;BRAGANCA;848
2017;CASTELO BRANCO;550
2017;COIMBRA;1648
2017;FARO;10758
2017;GUARDA;440
2017;LEIRIA;2573
2017;LISBOA;34440
2017;OUTRO;683
2017;PORTALEGRE;515
2017;PORTO;5205
2017;RA ACORES;469
2017;RA MADEIRA;735
2017;SANTAREM;2458
2017;SETUBAL;9020
2017;VIANA DO CASTELO;527
2017;VILA REAL;334
2017;VISEU;687
2017;EVORA;684
2018;AVEIRO;2600
2018;BEJA;1734
2018;BRAGA;1974
2018;BRAGANCA;1066
2018;CASTELO BRANCO;552
2018;COIMBRA;1722
2018;FARO;11636
2018;GUARDA;548
2018;LEIRIA;2874
2018;LISBOA;35382
2018;OUTRO;878
2018;PORTALEGRE;516
2018;PORTO;5709
2018;RA ACORES;489
2018;RA MADEIRA;816
2018;SANTAREM;2679
2018;SETUBAL;9784
2018;VIANA DO CASTELO;591
2018;VILA REAL;374
2018;VISEU;733
2018;EVORA;675
2019;AVEIRO;3486
2019;BEJA;2179
2019;BRAGA;2552
2019;BRAGANCA;1432
2019;CASTELO BRANCO;767
2019;COIMBRA;1955
2019;FARO;13650
2019;GUARDA;586
2019;LEIRIA;3598
2019;LISBOA;39105
2019;OUTRO;913
2019;PORTALEGRE;530
2019;PORTO;7252
2019;RA ACORES;545
2019;RA MADEIRA;901
2019;SANTAREM;3272
2019;SETUBAL;11206
2019;VIANA DO CASTELO;776
2019;VILA REAL;408
2019;VISEU;920
2019;EVORA;806
2020;AVEIRO;5827
2020;BEJA;3690
2020;BRAGA;5248
2020;BRAGANCA;1559
2020;CASTELO BRANCO;1228
2020;COIMBRA;3263
2020;FARO;20930
2020;GUARDA;715
2020;LEIRIA;6019
2020;LISBOA;63842
2020;OUTRO;980
2020;PORTALEGRE;740
2020;PORTO;13875
2020;RA ACORES;810
2020;RA MADEIRA;1429
2020;SANTAREM;5081
2020;SETUBAL;18636
2020;VIANA DO CASTELO;1524
2020;VILA REAL;647
2020;VISEU;1696
2020;EVORA;1176
2021;AVEIRO;6798
2021;BEJA;5108
2021;BRAGA;6289
2021;BRAGANCA;1723
2021;CASTELO BRANCO;1622
2021;COIMBRA;3932
2021;FARO;22894
2021;GUARDA;760
2021;LEIRIA;7481
2021;LISBOA;71154
2021;OUTRO;1022
2021;PORTALEGRE;870
2021;PORTO;15758
2021;RA ACORES;757
2021;RA MADEIRA;1404
2021;SANTAREM;6205
2021;SETUBAL;22469
2021;VIANA DO CASTELO;2285
2021;VILA REAL;729
2021;VISEU;2232
2021;EVORA;1468
2022;AVEIRO;19355
2022;BEJA;15898
2022;BRAGA;19743
2022;BRAGANCA;3587
2022;CASTELO BRANCO;5011
2022;COIMBRA;11092
2022;FARO;46860
2022;GUARDA;1835
2022;LEIRIA;19964
2022;LISBOA;151163
2022;OUTRO;1484
2022;PORTALEGRE;2096
2022;PORTO;45700
2022;RA ACORES;1709
2022;RA MADEIRA;3237
2022;SANTAREM;15295
2022;SETUBAL;47220
2022;VIANA DO CASTELO;6625
2022;VILA REAL;2114
2022;VISEU;6691
2022;EVORA;3859
2023;AVEIRO;12377
2023;BEJA;6863
2023;BRAGA;12363
2023;BRAGANCA;2611
2023;CASTELO BRANCO;3303
2023;COIMBRA;7255
2023;FARO;28048
2023;GUARDA;1319
2023;LEIRIA;12056
2023;LISBOA;91535
2023;OUTRO;1161
2023;PORTALEGRE;1350
2023;PORTO;28196
2023;RA ACORES;1051
2023;RA MADEIRA;1865
2023;SANTAREM;10674
2023;SETUBAL;31326
2023;VIANA DO CASTELO;4247
2023;VILA REAL;1431
2023;VISEU;4491
2023;EVORA;2375
2024;AVEIRO;14280
2024;BEJA;8643
2024;BRAGA;13726
2024;BRAGANCA;2669
2024;CASTELO BRANCO;3835
2024;COIMBRA;7808
2024;FARO;31638
2024;GUARDA;1488
2024;LEIRIA;14289
2024;LISBOA;95549
2024;OUTRO;1101
2024;PORTALEGRE;1498
2024;PORTO;31098
2024;RA ACORES;1207
2024;RA MADEIRA;2227
2024;SANTAREM;12473
2024;SETUBAL;34176
2024;VIANA DO CASTELO;5003
2024;VILA REAL;1732
2024;VISEU;5832
2024;EVORA;2816
2025;AVEIRO;17009
