year;gender;age_group;beneficiaries_count;source_id;source
2015;Feminino;60+;2068;F014;Segurança Social
2016;Feminino;60+;2160;F014;Segurança Social
2017;Feminino;60+;2351;F014;Segurança Social
2018;Feminino;60+;2497;F014;Segurança Social
2019;Feminino;60+;2654;F014;Segurança Social
2020;Feminino;60+;3512;F014;Segurança Social
2021;Feminino;60+;3864;F014;Segurança Social
2022;Feminino;60+;10665;F014;Segurança Social
2023;Feminino;60+;7899;F014;Segurança Social
2024;Feminino;60+;6835;F014;Segurança Social
2025;Feminino;60+;7291;F014;Segurança Social
2015;Feminino;<20;318;F014;Segurança Social
2016;Feminino;<20;310;F014;Segurança Social
2017;Feminino;<20;337;F014;Segurança Social
2018;Feminino;<20;365;F014;Segurança Social
2019;Feminino;<20;484;F014;Segurança Social
2020;Feminino;<20;539;F014;Segurança Social
2021;Feminino;<20;622;F014;Segurança Social
2022;Feminino;<20;3079;F014;Segurança Social
2023;Feminino;<20;924;F014;Segurança Social
2024;Feminino;<20;1100;F014;Segurança Social
2025;Feminino;<20;971;F014;Segurança Social
2015;Feminino;20-29;12017;F014;Segurança Social
2016;Feminino;20-29;11114;F014;Segurança Social
2017;Feminino;20-29;11061;F014;Segurança Social
2018;Feminino;20-29;11597;F014;Segurança Social
2019;Feminino;20-29;13327;F014;Segurança Social
2020;Feminino;20-29;20178;F014;Segurança Social
2021;Feminino;20-29;23323;F014;Segurança Social
2022;Feminino;20-29;55114;F014;Segurança Social
2023;Feminino;20-29;31956;F014;Segurança Social
2024;Feminino;20-29;36644;F014;Segurança Social
2025;Feminino;20-29;40289;F014;Segurança Social
2015;Feminino;30-39;21323;F014;Segurança Social
2016;Feminino;30-39;19978;F014;Segurança Social
2017;Feminino;30-39;19953;F014;Segurança Social
2018;Feminino;30-39;21066;F014;Segurança Social
2019;Feminino;30-39;24553;F014;Segurança Social
2020;Feminino;30-39;34719;F014;Segurança Social
2021;Feminino;30-39;39057;F014;Segurança Social
2022;Feminino;30-39;73186;F014;Segurança Social
2023;Feminino;30-39;56287;F014;Segurança Social
2024;Feminino;30-39;63598;F014;Segurança Social
2025;Feminino;30-39;72180;F014;Segurança Social
2015;Feminino;40-49;12703;F014;Segurança Social
2016;Feminino;40-49;12143;F014;Segurança Social
2017;Feminino;40-49;12312;F014;Segurança Social
2018;Feminino;40-49;13013;F014;Segurança Social
2019;Feminino;40-49;14765;F014;Segurança Social
2020;Feminino;40-49;22276;F014;Segurança Social
2021;Feminino;40-49;25030;F014;Segurança Social
2022;Feminino;40-49;48545;F014;Segurança Social
2023;Feminino;40-49;36643;F014;Segurança Social
2024;Feminino;40-49;39877;F014;Segurança Social
2025;Feminino;40-49;45131;F014;Segurança Social
2015;Feminino;50-59;4801;F014;Segurança Social
2016;Feminino;50-59;4711;F014;Segurança Social
2017;Feminino;50-59;4772;F014;Segurança Social
2018;Feminino;50-59;5123;F014;Segurança Social
2019;Feminino;50-59;5482;F014;Segurança Social
2020;Feminino;50-59;8959;F014;Segurança Social
2021;Feminino;50-59;10037;F014;Segurança Social
2022;Feminino;50-59;21203;F014;Segurança Social
2023;Feminino;50-59;14367;F014;Segurança Social
2024;Feminino;50-59;14695;F014;Segurança Social
2025;Feminino;50-59;16204;F014;Segurança Social
2015;Masculino;60+;2281;F014;Segurança Social
2016;Masculino;60+;2257;F014;Segurança Social
2017;Masculino;60+;2286;F014;Segurança Social
2018;Masculino;60+;2431;F014;Segurança Social
2019;Masculino;60+;2449;F014;Segurança Social
2020;Masculino;60+;3354;F014;Segurança Social
2021;Masculino;60+;3537;F014;Segurança Social
2022;Masculino;60+;8536;F014;Segurança Social
2023;Masculino;60+;5581;F014;Segurança Social
2024;Masculino;60+;5030;F014;Segurança Social
2025;Masculino;60+;5409;F014;Segurança Social
2015;Masculino;<20;154;F014;Segurança Social
2016;Masculino;<20;141;F014;Segurança Social
2017;Masculino;<20;195;F014;Segurança Social
2018;Masculino;<20;228;F014;Segurança Social
2019;Masculino;<20;302;F014;Segurança Social
2020;Masculino;<20;370;F014;Segurança Social
2021;Masculino;<20;418;F014;Segurança Social
