year;district;benefit_amount
2015;AVEIRO;3486967.13
2015;BEJA;2247294.83
2015;BRAGA;2529387.92
2015;BRAGANCA;779357.4
2015;CASTELO BRANCO;720730.96
2015;COIMBRA;2546883.0
2015;FARO;16813622.63
2015;GUARDA;496095.56
2015;LEIRIA;4092214.82
2015;LISBOA;60160856.38
2015;OUTRO;973337.18
2015;PORTALEGRE;996036.7
2015;PORTO;9007604.8
2015;RA ACORES;873042.63
2015;RA MADEIRA;1482170.4
2015;SANTAREM;4123590.34
2015;SETUBAL;16664197.74
2015;VIANA DO CASTELO;782270.2
2015;VILA REAL;597110.3
2015;VISEU;1216847.65
2015;EVORA;1167544.84
2016;AVEIRO;3111655.66
2016;BEJA;2179382.22
2016;BRAGA;2404814.49
2016;BRAGANCA;853390.78
2016;CASTELO BRANCO;770732.02
2016;COIMBRA;2456936.04
2016;FARO;15374185.9
2016;GUARDA;578076.61
2016;LEIRIA;3703306.22
2016;LISBOA;54928842.29
2016;OUTRO;966437.42
2016;PORTALEGRE;913364.46
2016;PORTO;8547825.4
2016;RA ACORES;835243.2
2016;RA MADEIRA;1480829.06
2016;SANTAREM;3758633.94
2016;SETUBAL;15265228.36
2016;VIANA DO CASTELO;770029.09
2016;VILA REAL;513493.49
2016;VISEU;1066442.05
2016;EVORA;1146779.61
2017;AVEIRO;3001353.79
2017;BEJA;2015304.37
2017;BRAGA;2655089.03
2017;BRAGANCA;938859.38
2017;CASTELO BRANCO;852250.63
2017;COIMBRA;2332165.46
2017;FARO;15600534.23
2017;GUARDA;592670.18
2017;LEIRIA;3713825.31
2017;LISBOA;52919917.46
2017;OUTRO;1018778.94
2017;PORTALEGRE;823878.79
2017;PORTO;8761456.33
2017;RA ACORES;892424.25
2017;RA MADEIRA;1299085.67
2017;SANTAREM;3795408.01
2017;SETUBAL;14806383.58
2017;VIANA DO CASTELO;774985.44
2017;VILA REAL;528109.25
2017;VISEU;1055409.95
2017;EVORA;1010097.72
2018;AVEIRO;3434399.89
2018;BEJA;2434232.4
2018;BRAGA;2948362.37
2018;BRAGANCA;1081602.18
2018;CASTELO BRANCO;942263.3
2018;COIMBRA;2397047.59
2018;FARO;17350352.81
2018;GUARDA;575625.33
2018;LEIRIA;4197802.33
2018;LISBOA;55839719.38
2018;OUTRO;1305881.86
2018;PORTALEGRE;855547.32
2018;PORTO;9509819.61
2018;RA ACORES;1043234.53
2018;RA MADEIRA;1382164.04
2018;SANTAREM;3891658.26
2018;SETUBAL;16647957.8
2018;VIANA DO CASTELO;861571.42
2018;VILA REAL;639705.27
2018;VISEU;1074927.21
2018;EVORA;1090309.87
2019;AVEIRO;4642732.73
2019;BEJA;3085555.09
2019;BRAGA;4011465.37
2019;BRAGANCA;1294339.37
2019;CASTELO BRANCO;1146143.01
2019;COIMBRA;2718126.77
2019;FARO;21118602.74
2019;GUARDA;685371.23
2019;LEIRIA;5483069.94
2019;LISBOA;64227293.57
2019;OUTRO;1584900.28
