year;district;contribution_amount
2015;AVEIRO;13884034.84
2015;BEJA;10109802.42
2015;BRAGA;10176080.77
2015;BRAGANCA;2071074.12
2015;CASTELO BRANCO;2500969.85
2015;COIMBRA;8032181.69
2015;FARO;56924289.79
2015;GUARDA;1770595.86
2015;LEIRIA;15425242.39
2015;LISBOA;230518800.54
2015;OUTRO;13858569.04
2015;PORTALEGRE;2334180.77
2015;PORTO;38366665.44
2015;RA ACORES;2426066.7
2015;RA MADEIRA;6590922.08
2015;SANTAREM;12913477.59
2015;SETUBAL;40508774.72
2015;VIANA DO CASTELO;3078852.52
2015;VILA REAL;1651767.67
2015;VISEU;4041845.54
2015;EVORA;3514937.07
2016;AVEIRO;14716585.19
2016;BEJA;11373687.94
2016;BRAGA;11156795.99
2016;BRAGANCA;2065498.65
2016;CASTELO BRANCO;2479719.4
2016;COIMBRA;8410095.77
2016;FARO;62368670.28
2016;GUARDA;1799563.89
2016;LEIRIA;16374122.4
2016;LISBOA;263298227.67
2016;OUTRO;16541590.35
2016;PORTALEGRE;2387784.11
2016;PORTO;40343613.32
2016;RA ACORES;2547029.04
2016;RA MADEIRA;6322884.0
2016;SANTAREM;12800619.19
2016;SETUBAL;43260887.41
2016;VIANA DO CASTELO;3263326.92
2016;VILA REAL;1643621.44
2016;VISEU;4206670.04
2016;EVORA;3561759.4
2017;AVEIRO;16895280.04
2017;BEJA;14936256.47
2017;BRAGA;13402245.53
2017;BRAGANCA;2239217.08
2017;CASTELO BRANCO;2639759.72
2017;COIMBRA;9424351.03
2017;FARO;74083210.45
2017;GUARDA;1953236.95
2017;LEIRIA;17732970.69
2017;LISBOA;308272428.77
2017;OUTRO;20857475.66
2017;PORTALEGRE;2510824.67
2017;PORTO;46932787.46
2017;RA ACORES;2766863.54
2017;RA MADEIRA;6819572.9
2017;SANTAREM;13946353.96
2017;SETUBAL;50189007.14
2017;VIANA DO CASTELO;3912667.65
2017;VILA REAL;2194410.09
2017;VISEU;4513145.23
