year;district;contributors_count
2015;AVEIRO;4935
2015;BEJA;6313
2015;BRAGA;3646
2015;BRAGANCA;991
2015;CASTELO BRANCO;1097
2015;COIMBRA;3460
2015;FARO;26507
2015;GUARDA;766
2015;LEIRIA;6598
2015;LISBOA;99457
2015;OUTRO;3925
2015;PORTALEGRE;1154
2015;PORTO;11463
2015;RA ACORES;1139
2015;RA MADEIRA;1900
2015;SANTAREM;5961
2015;SETUBAL;19332
2015;VIANA DO CASTELO;1246
2015;VILA REAL;758
2015;VISEU;1808
2015;EVORA;1694
2016;AVEIRO;5110
2016;BEJA;6694
2016;BRAGA;3863
2016;BRAGANCA;980
2016;CASTELO BRANCO;1076
2016;COIMBRA;3471
2016;FARO;27667
2016;GUARDA;758
2016;LEIRIA;6691
2016;LISBOA;106803
2016;OUTRO;5047
2016;PORTALEGRE;1111
2016;PORTO;12100
2016;RA ACORES;1192
2016;RA MADEIRA;1949
2016;SANTAREM;5901
2016;SETUBAL;20086
2016;VIANA DO CASTELO;1268
2016;VILA REAL;726
2016;VISEU;1754
2016;EVORA;1630
2017;AVEIRO;5799
2017;BEJA;8122
2017;BRAGA;4840
2017;BRAGANCA;1024
2017;CASTELO BRANCO;1185
2017;COIMBRA;3912
2017;FARO;32025
2017;GUARDA;807
2017;LEIRIA;7177
2017;LISBOA;119419
2017;OUTRO;6578
2017;PORTALEGRE;1160
2017;PORTO;14493
2017;RA ACORES;1291
2017;RA MADEIRA;2243
2017;SANTAREM;6257
2017;SETUBAL;22688
2017;VIANA DO CASTELO;1511
2017;VILA REAL;842
2017;VISEU;1895
2017;EVORA;1665
2018;AVEIRO;7825
2018;BEJA;11682
2018;BRAGA;7266
2018;BRAGANCA;1281
2018;CASTELO BRANCO;1564
2018;COIMBRA;4756
2018;FARO;40518
2018;GUARDA;904
2018;LEIRIA;9101
2018;LISBOA;140763
2018;OUTRO;8133
2018;PORTALEGRE;1257
2018;PORTO;20554
2018;RA ACORES;1471
2018;RA MADEIRA;2653
2018;SANTAREM;7655
2018;SETUBAL;28201
2018;VIANA DO CASTELO;2165
2018;VILA REAL;954
2018;VISEU;2354
2018;EVORA;2018
2019;AVEIRO;11786
2019;BEJA;17292
2019;BRAGA;11999
2019;BRAGANCA;1926
2019;CASTELO BRANCO;2414
2019;COIMBRA;6767
2019;FARO;51998
2019;GUARDA;1170
2019;LEIRIA;13106
2019;LISBOA;178114
2019;OUTRO;8091
2019;PORTALEGRE;1550
2019;PORTO;32380
2019;RA ACORES;1758
2019;RA MADEIRA;3210
2019;SANTAREM;10868
2019;SETUBAL;39218
2019;VIANA DO CASTELO;3624
2019;VILA REAL;1326
2019;VISEU;3673
2019;EVORA;3040
2020;AVEIRO;13393
2020;BEJA;19437
2020;BRAGA;14035
2020;BRAGANCA;1896
2020;CASTELO BRANCO;2871
2020;COIMBRA;7723
2020;FARO;51380
2020;GUARDA;1300
2020;LEIRIA;15386
2020;LISBOA;194513
2020;OUTRO;7413
2020;PORTALEGRE;1601
2020;PORTO;37394
2020;RA ACORES;1712
2020;RA MADEIRA;3206
2020;SANTAREM;12502
2020;SETUBAL;46354
2020;VIANA DO CASTELO;4323
2020;VILA REAL;1485
2020;VISEU;4334
2020;EVORA;3163
2021;AVEIRO;15480
2021;BEJA;23053
2021;BRAGA;16519
2021;BRAGANCA;2455
2021;CASTELO BRANCO;3913
2021;COIMBRA;9092
2021;FARO;55034
2021;GUARDA;1557
2021;LEIRIA;17795
2021;LISBOA;206497
2021;OUTRO;7815
2021;PORTALEGRE;1787
2021;PORTO;42485
2021;RA ACORES;1904
2021;RA MADEIRA;3345
2021;SANTAREM;14475
2021;SETUBAL;50604
2021;VIANA DO CASTELO;5361
2021;VILA REAL;1593
2021;VISEU;5024
2021;EVORA;3699
2022;AVEIRO;25808
2022;BEJA;38172
2022;BRAGA;27875
2022;BRAGANCA;3564
2022;CASTELO BRANCO;6648
2022;COIMBRA;14622
2022;FARO;73982
2022;GUARDA;2243
2022;LEIRIA;28292
2022;LISBOA;273479
2022;OUTRO;8635
2022;PORTALEGRE;2703
2022;PORTO;67937
2022;RA ACORES;2603
2022;RA MADEIRA;4740
2022;SANTAREM;22001
2022;SETUBAL;68915
2022;VIANA DO CASTELO;9412
2022;VILA REAL;2752
2022;VISEU;8879
2022;EVORA;5937
2023;AVEIRO;35847
2023;BEJA;47487
2023;BRAGA;37240
2023;BRAGANCA;4793
2023;CASTELO BRANCO;9980
2023;COIMBRA;20935
2023;FARO;85127
2023;GUARDA;3576
2023;LEIRIA;40040
2023;LISBOA;331193
2023;OUTRO;14468
2023;PORTALEGRE;4439
2023;PORTO;95022
2023;RA ACORES;3442
2023;RA MADEIRA;7387
2023;SANTAREM;30850
2023;SETUBAL;92335
2023;VIANA DO CASTELO;13278
2023;VILA REAL;4414
2023;VISEU;13265
2023;EVORA;9239
2024;AVEIRO;42317
2024;BEJA;40071
2024;BRAGA;43756
2024;BRAGANCA;5742
2024;CASTELO BRANCO;11729
2024;COIMBRA;25115
2024;FARO;95574
2024;GUARDA;4916
2024;LEIRIA;48149
2024;LISBOA;374935
2024;OUTRO;18044
2024;PORTALEGRE;5895
2024;PORTO;117221
2024;RA ACORES;4358
2024;RA MADEIRA;9756
2024;SANTAREM;37903
2024;SETUBAL;114451
2024;VIANA DO CASTELO;15108
2024;VILA REAL;5622
2024;VISEU;16854
2024;EVORA;10658
2025;AVEIRO;45457
2025;BEJA;35357
2025;BRAGA;48792
2025;BRAGANCA;6360
2025;CASTELO BRANCO;12620
2025;COIMBRA;27431
2025;FARO;97924
2025;GUARDA;5110
2025;LEIRIA;49957
2025;LISBOA;399133
2025;OUTRO;15169
2025;PORTALEGRE;5591
2025;PORTO;126252
2025;RA ACORES;5321
2025;RA MADEIRA;11261
2025;SANTAREM;41869
2025;SETUBAL;130048
2025;VIANA DO CASTELO;15813
2025;VILA REAL;6141
2025;VISEU;19340
2025;EVORA;10595
