year;district;new_registrations_count
2015;AVEIRO;702
2015;BEJA;2672
2015;BRAGA;811
2015;BRAGANCA;389
2015;CASTELO BRANCO;246
2015;COIMBRA;854
2015;FARO;5793
2015;GUARDA;194
2015;LEIRIA;1222
2015;LISBOA;22555
2015;OUTRO;8699
2015;PORTALEGRE;165
2015;PORTO;2874
2015;RA ACORES;301
2015;RA MADEIRA;499
2015;SANTAREM;805
2015;SETUBAL;2634
2015;VIANA DO CASTELO;395
2015;VILA REAL;191
2015;VISEU;462
2015;EVORA;217
2016;AVEIRO;860
2016;BEJA;2673
2016;BRAGA;871
2016;BRAGANCA;373
2016;CASTELO BRANCO;293
2016;COIMBRA;772
2016;FARO;6644
2016;GUARDA;172
2016;LEIRIA;1092
2016;LISBOA;20940
2016;OUTRO;3952
2016;PORTALEGRE;181
2016;PORTO;3221
2016;RA ACORES;320
2016;RA MADEIRA;451
2016;SANTAREM;826
2016;SETUBAL;3104
2016;VIANA DO CASTELO;314
2016;VILA REAL;158
2016;VISEU;344
2016;EVORA;203
2017;AVEIRO;1480
2017;BEJA;3068
2017;BRAGA;1544
2017;BRAGANCA;458
2017;CASTELO BRANCO;515
2017;COIMBRA;1093
2017;FARO;8613
2017;GUARDA;231
2017;LEIRIA;1387
2017;LISBOA;28262
2017;OUTRO;4473
2017;PORTALEGRE;210
2017;PORTO;5478
2017;RA ACORES;294
2017;RA MADEIRA;621
2017;SANTAREM;1139
2017;SETUBAL;4925
2017;VIANA DO CASTELO;383
2017;VILA REAL;258
2017;VISEU;435
2017;EVORA;228
2018;AVEIRO;3699
2018;BEJA;6643
2018;BRAGA;3514
2018;BRAGANCA;664
2018;CASTELO BRANCO;892
2018;COIMBRA;2072
2018;FARO;14188
2018;GUARDA;382
2018;LEIRIA;3145
2018;LISBOA;46731
2018;OUTRO;4623
2018;PORTALEGRE;271
2018;PORTO;11254
2018;RA ACORES;430
2018;RA MADEIRA;1217
2018;SANTAREM;2571
2018;SETUBAL;7403
2018;VIANA DO CASTELO;935
2018;VILA REAL;364
2018;VISEU;829
2018;EVORA;541
2019;AVEIRO;6166
2019;BEJA;10915
2019;BRAGA;5908
2019;BRAGANCA;1062
2019;CASTELO BRANCO;1397
2019;COIMBRA;2773
2019;FARO;17833
2019;GUARDA;487
2019;LEIRIA;5391
2019;LISBOA;66316
2019;OUTRO;4150
2019;PORTALEGRE;406
