gender;age_group;year;new_registrations_count
feminino;60+;2015;4063
feminino;60+;2016;2173
feminino;60+;2017;1717
feminino;60+;2018;2267
feminino;60+;2019;2698
feminino;60+;2020;2530
feminino;60+;2021;2486
feminino;60+;2022;9935
feminino;60+;2023;9869
feminino;60+;2024;6882
feminino;60+;2025;3212
feminino;menos - 20;2015;3654
feminino;menos - 20;2016;3434
feminino;menos - 20;2017;4438
feminino;menos - 20;2018;7101
feminino;menos - 20;2019;10169
feminino;menos - 20;2020;10727
feminino;menos - 20;2021;9957
feminino;menos - 20;2022;47051
feminino;menos - 20;2023;39572
feminino;menos - 20;2024;22016
feminino;menos - 20;2025;11676
feminino;20 - 29;2015;5912
feminino;20 - 29;2016;6308
feminino;20 - 29;2017;9399
feminino;20 - 29;2018;15350
feminino;20 - 29;2019;21985
feminino;20 - 29;2020;17748
feminino;20 - 29;2021;14355
feminino;20 - 29;2022;59857
feminino;20 - 29;2023;53974
feminino;20 - 29;2024;30731
feminino;20 - 29;2025;22342
feminino;30 - 39;2015;4266
feminino;30 - 39;2016;4390
feminino;30 - 39;2017;7419
feminino;30 - 39;2018;13143
feminino;30 - 39;2019;18813
feminino;30 - 39;2020;15402
feminino;30 - 39;2021;10931
feminino;30 - 39;2022;51697
feminino;30 - 39;2023;45135
feminino;30 - 39;2024;26073
feminino;30 - 39;2025;17920
feminino;40 - 49;2015;2297
feminino;40 - 49;2016;2365
feminino;40 - 49;2017;3791
feminino;40 - 49;2018;6947
feminino;40 - 49;2019;9955
feminino;40 - 49;2020;8250
feminino;40 - 49;2021;5967
feminino;40 - 49;2022;27822
feminino;40 - 49;2023;24892
feminino;40 - 49;2024;14169
feminino;40 - 49;2025;9637
feminino;50 - 59;2015;1580
feminino;50 - 59;2016;1477
feminino;50 - 59;2017;1847
feminino;50 - 59;2018;3226
feminino;50 - 59;2019;4404
feminino;50 - 59;2020;3786
feminino;50 - 59;2021;2984
feminino;50 - 59;2022;13731
feminino;50 - 59;2023;13020
feminino;50 - 59;2024;7521
feminino;50 - 59;2025;4316
masculino;60+;2015;4166
masculino;60+;2016;2097
masculino;60+;2017;2256
masculino;60+;2018;2966
masculino;60+;2019;3112
masculino;60+;2020;2532
masculino;60+;2021;2514
masculino;60+;2022;6212
masculino;60+;2023;7301
masculino;60+;2024;5617
masculino;60+;2025;2885
masculino;menos - 20;2015;4219
masculino;menos - 20;2016;3896
masculino;menos - 20;2017;5179
masculino;menos - 20;2018;8511
masculino;menos - 20;2019;12048
masculino;menos - 20;2020;11859
masculino;menos - 20;2021;11203
masculino;menos - 20;2022;49948
masculino;menos - 20;2023;41205
masculino;menos - 20;2024;23886
masculino;menos - 20;2025;12325
masculino;20 - 29;2015;10031
masculino;20 - 29;2016;9566
masculino;20 - 29;2017;12632
masculino;20 - 29;2018;22692
masculino;20 - 29;2019;36131
masculino;20 - 29;2020;32109
masculino;20 - 29;2021;26559
masculino;20 - 29;2022;100690
masculino;20 - 29;2023;90922
masculino;20 - 29;2024;51209
masculino;20 - 29;2025;28649
masculino;30 - 39;2015;7081
masculino;30 - 39;2016;6857
masculino;30 - 39;2017;9295
masculino;30 - 39;2018;17873
masculino;30 - 39;2019;28148
masculino;30 - 39;2020;27866
masculino;30 - 39;2021;22681
masculino;30 - 39;2022;81158
masculino;30 - 39;2023;78159
masculino;30 - 39;2024;45675
masculino;30 - 39;2025;25496
masculino;40 - 49;2015;3581
masculino;40 - 49;2016;3489
masculino;40 - 49;2017;4870
masculino;40 - 49;2018;8700
masculino;40 - 49;2019;12796
masculino;40 - 49;2020;11806
masculino;40 - 49;2021;10175
masculino;40 - 49;2022;35617
masculino;40 - 49;2023;37311
masculino;40 - 49;2024;23096
masculino;40 - 49;2025;14097
masculino;50 - 59;2015;1830
masculino;50 - 59;2016;1712
masculino;50 - 59;2017;2252
masculino;50 - 59;2018;3592
masculino;50 - 59;2019;4731
masculino;50 - 59;2020;4118
masculino;50 - 59;2021;3852
masculino;50 - 59;2022;11655
masculino;50 - 59;2023;12826
masculino;50 - 59;2024;8335
masculino;50 - 59;2025;5069
