year;district;self_employed_contribution_amount
2010;AVEIRO;50127178.44
2011;AVEIRO;47379223.02
2012;AVEIRO;43767834.87
2013;AVEIRO;39764035.34
2014;AVEIRO;36961739.34
2015;AVEIRO;32009780.01
2016;AVEIRO;31497792.29
2017;AVEIRO;32342132.88
2018;AVEIRO;32619431.84
2019;AVEIRO;36187124.1
2020;AVEIRO;33246251.9
2021;AVEIRO;35498646.81
2022;AVEIRO;39419937.51
2023;AVEIRO;42555010.69
2024;AVEIRO;45224315.2
2025;AVEIRO;46619834.42
2010;BEJA;14485852.2
2011;BEJA;13593254.19
2012;BEJA;11944094.72
2013;BEJA;11138073.9
2014;BEJA;10007128.09
2015;BEJA;8464714.65
2016;BEJA;8166560.69
2017;BEJA;8311862.63
2018;BEJA;8459872.51
2019;BEJA;9167192.58
2020;BEJA;8715338.61
2021;BEJA;8746338.68
2022;BEJA;9723714.44
2023;BEJA;10035596.74
2024;BEJA;10574062.38
2025;BEJA;10387415.48
2010;BRAGA;52439159.0
2011;BRAGA;50646791.02
2012;BRAGA;46114941.94
2013;BRAGA;43001878.49
2014;BRAGA;39440327.81
2015;BRAGA;33802556.46
2016;BRAGA;33894894.34
2017;BRAGA;35240372.77
2018;BRAGA;36305532.41
2019;BRAGA;40975418.33
2020;BRAGA;37991654.31
2021;BRAGA;40252766.58
2022;BRAGA;45706108.84
2023;BRAGA;49431436.79
2024;BRAGA;53164001.25
2025;BRAGA;56260097.08
2010;BRAGANCA;13160610.66
2011;BRAGANCA;12320195.52
2012;BRAGANCA;10926520.25
2013;BRAGANCA;11006692.84
2014;BRAGANCA;9935735.11
2015;BRAGANCA;8029731.79
2016;BRAGANCA;7751635.74
2017;BRAGANCA;7500914.59
2018;BRAGANCA;7624227.89
2019;BRAGANCA;7595064.89
2020;BRAGANCA;7043549.42
2021;BRAGANCA;7244588.99
2022;BRAGANCA;8057328.81
2023;BRAGANCA;8053982.86
2024;BRAGANCA;8292507.32
2025;BRAGANCA;8556309.76
2010;CASTELO BRANCO;14550656.6
2011;CASTELO BRANCO;13904621.73
2012;CASTELO BRANCO;12813222.4
2013;CASTELO BRANCO;11716736.26
2014;CASTELO BRANCO;10504698.73
2015;CASTELO BRANCO;8827854.39
2016;CASTELO BRANCO;8641778.31
2017;CASTELO BRANCO;8624980.93
2018;CASTELO BRANCO;8642425.22
2019;CASTELO BRANCO;9022105.04
2020;CASTELO BRANCO;8265769.63
2021;CASTELO BRANCO;8628828.83
2022;CASTELO BRANCO;9443334.78
2023;CASTELO BRANCO;9961725.97
2024;CASTELO BRANCO;10738200.26
2025;CASTELO BRANCO;10946873.73
2010;COIMBRA;31150909.85
2011;COIMBRA;29902462.9
2012;COIMBRA;27588689.03
2013;COIMBRA;25043339.1
2014;COIMBRA;22773581.88
2015;COIMBRA;19365404.44
2016;COIMBRA;18998083.84
2017;COIMBRA;19485884.97
2018;COIMBRA;19598187.87
2019;COIMBRA;22013882.97
2020;COIMBRA;20411619.8
2021;COIMBRA;21264939.13
2022;COIMBRA;22987734.58
2023;COIMBRA;25136901.29
2024;COIMBRA;26879425.32
2025;COIMBRA;28120784.4
2010;EVORA;12769170.43
2011;EVORA;12089299.78
2012;EVORA;11009182.91
2013;EVORA;10357633.47
2014;EVORA;9504933.19
2015;EVORA;8049758.37
2016;EVORA;7887766.23
2017;EVORA;7975784.82
2018;EVORA;7840470.96
2019;EVORA;8813080.58
2020;EVORA;8062038.11
2021;EVORA;8142447.14
2022;EVORA;8830423.42
2023;EVORA;9294770.89
2024;EVORA;9565204.36
2025;EVORA;9542749.47
2010;FARO;41550063.95
2011;FARO;39784169.8
2012;FARO;35744973.52
2013;FARO;32457877.94
2014;FARO;30083343.1
2015;FARO;26078687.08
2016;FARO;26995590.24
2017;FARO;29124003.15
2018;FARO;30704630.45
2019;FARO;37567562.05
2020;FARO;33016100.04
2021;FARO;35529975.56
2022;FARO;41846409.29
2023;FARO;46790293.11
2024;FARO;52025009.74
2025;FARO;55073989.42
2010;GUARDA;14307395.27
2011;GUARDA;13247640.65
2012;GUARDA;11900747.19
2013;GUARDA;11467875.56
2014;GUARDA;10216498.47
2015;GUARDA;8518752.99
2016;GUARDA;8227410.85
2017;GUARDA;8077013.92
2018;GUARDA;8017920.4
2019;GUARDA;7755205.43
2020;GUARDA;7140369.4
2021;GUARDA;7132092.04
2022;GUARDA;7890371.07
2023;GUARDA;8308423.34
2024;GUARDA;8549885.29
2025;GUARDA;8888181.55
2010;LEIRIA;37920437.62
2011;LEIRIA;35837991.25
2012;LEIRIA;32974745.74
2013;LEIRIA;29053054.43
2014;LEIRIA;26812107.9
2015;LEIRIA;23289336.53
2016;LEIRIA;22898309.0
2017;LEIRIA;23548740.89
2018;LEIRIA;23649379.41
2019;LEIRIA;26199126.37
2020;LEIRIA;24421864.87
2021;LEIRIA;25851536.52
2022;LEIRIA;28515024.14
2023;LEIRIA;31240816.53
2024;LEIRIA;33989315.07
2025;LEIRIA;36206037.19
2010;LISBOA;128457176.85
2011;LISBOA;134891859.0
2012;LISBOA;126498857.84
2013;LISBOA;111632495.5
2014;LISBOA;104446123.95
2015;LISBOA;94260946.91
2016;LISBOA;96050608.61
2017;LISBOA;101208824.51
2018;LISBOA;104185753.23
2019;LISBOA;122918299.33
2020;LISBOA;115156327.23
2021;LISBOA;124694244.67
2022;LISBOA;139579642.19
2023;LISBOA;154703647.12
2024;LISBOA;175505826.28
2025;LISBOA;187769305.28
2010;OUTRO;732334.09
2011;OUTRO;731995.34
2012;OUTRO;785991.11
2013;OUTRO;974967.61
2014;OUTRO;1631043.37
2015;OUTRO;2415232.45
2016;OUTRO;2888576.61
2017;OUTRO;3124446.13
2018;OUTRO;3524371.93
2019;OUTRO;3964849.36
2020;OUTRO;3817398.85
2021;OUTRO;3988201.95
2022;OUTRO;4378687.79
2023;OUTRO;5036507.25
2024;OUTRO;5838101.3
2025;OUTRO;6395326.4
2010;PORTALEGRE;8772662.54
2011;PORTALEGRE;8478526.3
2012;PORTALEGRE;7630401.27
2013;PORTALEGRE;7070373.78
2014;PORTALEGRE;6384434.34
2015;PORTALEGRE;5465169.67
2016;PORTALEGRE;5320073.48
2017;PORTALEGRE;5365600.65
2018;PORTALEGRE;5388618.84
2019;PORTALEGRE;6020052.82
2020;PORTALEGRE;5567257.83
2021;PORTALEGRE;5675885.55
2022;PORTALEGRE;6159021.53
2023;PORTALEGRE;6334533.1
2024;PORTALEGRE;6727239.91
2025;PORTALEGRE;6796449.95
2010;PORTO;104775946.06
2011;PORTO;100432336.16
2012;PORTO;93046686.46
2013;PORTO;84945267.91
2014;PORTO;78144586.8
2015;PORTO;67217447.53
2016;PORTO;67025978.87
2017;PORTO;69322874.64
2018;PORTO;70485591.45
2019;PORTO;82607148.48
2020;PORTO;75451935.32
2021;PORTO;81356626.03
2022;PORTO;92098791.9
2023;PORTO;101227004.42
2024;PORTO;112386745.29
2025;PORTO;121701283.09
2010;RA ACORES;16405877.19
2011;RA ACORES;17109701.48
2012;RA ACORES;15808931.32
2013;RA ACORES;14697445.05
2014;RA ACORES;13663104.81
2015;RA ACORES;12333294.07
2016;RA ACORES;12178471.37
2017;RA ACORES;12567205.22
2018;RA ACORES;12799496.58
2019;RA ACORES;14770380.98
2020;RA ACORES;13811795.6
2021;RA ACORES;14448694.8
2022;RA ACORES;15228836.73
2023;RA ACORES;16940801.86
2024;RA ACORES;18168385.57
2025;RA ACORES;18981165.18
2010;RA MADEIRA;11473610.54
2011;RA MADEIRA;9902816.79
2012;RA MADEIRA;9377489.0
