year;resident_count_rma_2023;resident_count_rma_2024;difference_absolute;difference_percentual;material_revision_5pct;notes;source_id;source
1980;50750;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1981;54414;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1982;58667;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1983;67485;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1984;73365;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1985;79594;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1986;86982;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1987;89778;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1988;94694;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1989;101011;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1990;107767;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1991;113978;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1992;123612;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1993;136932;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1994;157073;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
1995;168316;;;;False;Sem cobertura no extrato do RMA 2024 (tabela do PDF começa em 2017);F002;AIMA - Agência para a Integração, Migrações e Asilo
