year;nationality;gender;permits_granted;resident_count;source_id;source
2015;Afeganistão;Feminino;2;15;F001 / F002;SEF + AIMA — combinado
2015;Afeganistão;Masculino;5;26;F001 / F002;SEF + AIMA — combinado
2015;Albânia;Feminino;3;26;F001 / F002;SEF + AIMA — combinado
2015;Albânia;Masculino;2;16;F001 / F002;SEF + AIMA — combinado
2015;Alemanha;Feminino;499;4410;F001 / F002;SEF + AIMA — combinado
2015;Alemanha;Masculino;525;4625;F001 / F002;SEF + AIMA — combinado
2015;Andorra;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Andorra;Masculino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Angola;Feminino;637;9760;F001 / F002;SEF + AIMA — combinado
2015;Angola;Masculino;640;8487;F001 / F002;SEF + AIMA — combinado
2015;Antígua e Barbuda;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Antígua e Barbuda;Masculino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Apátrida;Feminino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Apátrida;Masculino;0;5;F001 / F002;SEF + AIMA — combinado
2015;Argentina;Feminino;25;230;F001 / F002;SEF + AIMA — combinado
2015;Argentina;Masculino;15;217;F001 / F002;SEF + AIMA — combinado
2015;Argélia;Feminino;18;133;F001 / F002;SEF + AIMA — combinado
2015;Argélia;Masculino;20;183;F001 / F002;SEF + AIMA — combinado
2015;Arménia;Feminino;4;42;F001 / F002;SEF + AIMA — combinado
2015;Arménia;Masculino;4;32;F001 / F002;SEF + AIMA — combinado
2015;Arábia Saudita;Feminino;1;9;F001 / F002;SEF + AIMA — combinado
2015;Arábia Saudita;Masculino;2;11;F001 / F002;SEF + AIMA — combinado
2015;Austrália;Feminino;21;136;F001 / F002;SEF + AIMA — combinado
2015;Austrália;Masculino;22;133;F001 / F002;SEF + AIMA — combinado
2015;Azerbaijão;Feminino;6;24;F001 / F002;SEF + AIMA — combinado
2015;Azerbaijão;Masculino;6;22;F001 / F002;SEF + AIMA — combinado
2015;Bahrein;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Bahrein;Masculino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Bangladesh;Feminino;78;380;F001 / F002;SEF + AIMA — combinado
2015;Bangladesh;Masculino;579;2191;F001 / F002;SEF + AIMA — combinado
2015;Barbados;Feminino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Barbados;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Belize;Feminino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Belize;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Benin;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Benin;Masculino;2;11;F001 / F002;SEF + AIMA — combinado
2015;Bermudas;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Bermudas;Masculino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Bielorrússia;Feminino;23;408;F001 / F002;SEF + AIMA — combinado
2015;Bielorrússia;Masculino;8;224;F001 / F002;SEF + AIMA — combinado
2015;Bolívia;Feminino;9;81;F001 / F002;SEF + AIMA — combinado
2015;Bolívia;Masculino;1;28;F001 / F002;SEF + AIMA — combinado
2015;Botswana;Feminino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Botswana;Masculino;0;3;F001 / F002;SEF + AIMA — combinado
2015;Brasil;Feminino;3336;50890;F001 / F002;SEF + AIMA — combinado
2015;Brasil;Masculino;2380;31700;F001 / F002;SEF + AIMA — combinado
2015;Bulgária;Feminino;489;3313;F001 / F002;SEF + AIMA — combinado
2015;Bulgária;Masculino;368;3409;F001 / F002;SEF + AIMA — combinado
2015;Burkina Faso;Feminino;2;4;F001 / F002;SEF + AIMA — combinado
2015;Burkina Faso;Masculino;1;9;F001 / F002;SEF + AIMA — combinado
2015;Burundi;Feminino;0;2;F001 / F002;SEF + AIMA — combinado
