district;municipality;resident_foreign_population;source_id;source
Aveiro;Águeda;4937;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Albergaria-a-Velha;1982;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Anadia;2395;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Arouca;521;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Aveiro;13968;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Castelo de Paiva;434;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Espinho;1813;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Estarreja;1762;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Ílhavo;4062;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Mealhada;1049;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Murtosa;485;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Oliveira de Azeméis;3316;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Oliveira do Bairro;2669;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Ovar;2827;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Santa Maria da Feira;4676;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;São João da Madeira;2568;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Sever do Vouga;927;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Vagos;2256;F002;AIMA - Agência para a Integração, Migrações e Asilo
Aveiro;Vale de Cambra;1263;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Aljustrel;623;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Almodôvar;649;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Alvito;137;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Barrancos;32;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Beja;6846;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Castro Verde;434;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Cuba;428;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Ferreira do Alentejo;2365;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Mértola;316;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Moura;455;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Odemira;23269;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Ourique;596;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Serpa;1325;F002;AIMA - Agência para a Integração, Migrações e Asilo
Beja;Vidigueira;403;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Amares;1081;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Barcelos;6285;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Braga;28538;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Cabeceiras de Basto;437;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Celorico de Basto;311;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Esposende;2959;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Fafe;1608;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Guimarães;8548;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Póvoa de Lanhoso;1092;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Terras de Bouro;189;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Vieira do Minho;331;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Vila Nova de Famalicão;8553;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Vila Verde;2458;F002;AIMA - Agência para a Integração, Migrações e Asilo
Braga;Vizela;841;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Alfandega da Fé;207;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Bragança;5670;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Carrazeda de Ansiães;246;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Freixo Espada à Cinta;164;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Macedo de Cavaleiros;599;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Miranda do Douro;284;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Mirandela;1170;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Mogadouro;257;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Torre de Moncorvo;154;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Vila Flor;304;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Vimioso;96;F002;AIMA - Agência para a Integração, Migrações e Asilo
Bragança;Vinhais;87;F002;AIMA - Agência para a Integração, Migrações e Asilo
Castelo Branco;Belmonte;254;F002;AIMA - Agência para a Integração, Migrações e Asilo
Castelo Branco;Castelo Branco;5832;F002;AIMA - Agência para a Integração, Migrações e Asilo
