year;quarter;period;country;gdp_chain_volume_million_eur;unit;price_basis;seasonal_adjusted;notes;source_id;source
1995;Q1;1995-Q1;PT;39408.786;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1995;Q2;1995-Q2;PT;39863.075;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1995;Q3;1995-Q3;PT;40047.565;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1995;Q4;1995-Q4;PT;40324.82;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1996;Q1;1996-Q1;PT;40590.856;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1996;Q2;1996-Q2;PT;41144.532;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1996;Q3;1996-Q3;PT;41706.896;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1996;Q4;1996-Q4;PT;41796.29;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1997;Q1;1997-Q1;PT;42488.807;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1997;Q2;1997-Q2;PT;42875.802;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1997;Q3;1997-Q3;PT;43445.311;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1997;Q4;1997-Q4;PT;43700.585;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1998;Q1;1998-Q1;PT;44363.231;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1998;Q2;1998-Q2;PT;44998.265;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1998;Q3;1998-Q3;PT;45529.539;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1998;Q4;1998-Q4;PT;45913.711;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1999;Q1;1999-Q1;PT;46487.903;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1999;Q2;1999-Q2;PT;46732.218;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1999;Q3;1999-Q3;PT;47183.862;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
1999;Q4;1999-Q4;PT;47464.041;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2000;Q1;2000-Q1;PT;48547.495;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
2000;Q2;2000-Q2;PT;48225.58;million_eur;chain_volume_2021;yes;;F007;INE - Instituto Nacional de Estatística
