year;quarter;period;country;gov_balance_pct_gdp;unit;data_flag;notes;source_id;source
1999;Q4;1999-Q4;PT;-3.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2000;Q1;2000-Q1;PT;-5.6;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2000;Q2;2000-Q2;PT;-3.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2000;Q3;2000-Q3;PT;-3.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2000;Q4;2000-Q4;PT;-3.2;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2001;Q1;2001-Q1;PT;-3.3;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2001;Q2;2001-Q2;PT;-3.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2001;Q3;2001-Q3;PT;-4.3;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2001;Q4;2001-Q4;PT;-4.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2002;Q1;2002-Q1;PT;-4.9;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2002;Q2;2002-Q2;PT;-4.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2002;Q3;2002-Q3;PT;-5.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2002;Q4;2002-Q4;PT;-3.3;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2003;Q1;2003-Q1;PT;-4.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2003;Q2;2003-Q2;PT;-5.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2003;Q3;2003-Q3;PT;-5.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2003;Q4;2003-Q4;PT;-5.7;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2004;Q1;2004-Q1;PT;-5.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2004;Q2;2004-Q2;PT;-5.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2004;Q3;2004-Q3;PT;-5.0;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2004;Q4;2004-Q4;PT;-6.2;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2005;Q1;2005-Q1;PT;-6.4;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2005;Q2;2005-Q2;PT;-5.8;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2005;Q3;2005-Q3;PT;-6.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2005;Q4;2005-Q4;PT;-6.1;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
2006;Q2;2006-Q2;PT;-5.5;percentage_of_gdp;;;F007;INE - Instituto Nacional de Estatística
