year;country;gdp_million_eur;gdp_thousand_eur;unit;price_basis;notes;source_id;source
1960;PT;493.923;493923;million_eur;current_prices;;F009;Pordata
1961;PT;516.075;516075;million_eur;current_prices;;F009;Pordata
1962;PT;577.39;577390;million_eur;current_prices;;F009;Pordata
1963;PT;597.435;597435;million_eur;current_prices;;F009;Pordata
1964;PT;649.418;649418;million_eur;current_prices;;F009;Pordata
1965;PT;756.28;756280;million_eur;current_prices;;F009;Pordata
1966;PT;810.459;810459;million_eur;current_prices;;F009;Pordata
1967;PT;907.105;907105;million_eur;current_prices;;F009;Pordata
1968;PT;979.622;979622;million_eur;current_prices;;F009;Pordata
1969;PT;1048.462;1048462;million_eur;current_prices;;F009;Pordata
1970;PT;1186.648;1186648;million_eur;current_prices;;F009;Pordata
1971;PT;1377.045;1377045;million_eur;current_prices;;F009;Pordata
1972;PT;1624.357;1624357;million_eur;current_prices;;F009;Pordata
1973;PT;1919.137;1919137;million_eur;current_prices;;F009;Pordata
1974;PT;2279.085;2279085;million_eur;current_prices;;F009;Pordata
1975;PT;2632.302;2632302;million_eur;current_prices;;F009;Pordata
1976;PT;3160.122;3160122;million_eur;current_prices;;F009;Pordata
1977;PT;4074.282;4074282;million_eur;current_prices;;F009;Pordata
1978;PT;5039.27;5039270;million_eur;current_prices;;F009;Pordata
1979;PT;6404.329;6404329;million_eur;current_prices;;F009;Pordata
1980;PT;8356.818;8356818;million_eur;current_prices;;F009;Pordata
1981;PT;10058.168;10058168;million_eur;current_prices;;F009;Pordata
1982;PT;12146.983;12146983;million_eur;current_prices;;F009;Pordata
1983;PT;15440.028;15440028;million_eur;current_prices;;F009;Pordata
1984;PT;18948.92;18948920;million_eur;current_prices;;F009;Pordata
1985;PT;23226.595;23226595;million_eur;current_prices;;F009;Pordata
1986;PT;28332.521;28332521;million_eur;current_prices;;F009;Pordata
1987;PT;33508.41;33508410;million_eur;current_prices;;F009;Pordata
1988;PT;40045.842;40045842;million_eur;current_prices;;F009;Pordata
1989;PT;47221.23;47221230;million_eur;current_prices;;F009;Pordata
1990;PT;56691.911;56691911;million_eur;current_prices;;F009;Pordata
1991;PT;65005.229;65005229;million_eur;current_prices;;F009;Pordata
1992;PT;72957.492;72957492;million_eur;current_prices;;F009;Pordata
1993;PT;76065.072;76065072;million_eur;current_prices;;F009;Pordata
1994;PT;82468.675;82468675;million_eur;current_prices;;F009;Pordata
1995;PT;89028.557;89028557;million_eur;current_prices;;F009;Pordata
1996;PT;94351.591;94351591;million_eur;current_prices;;F009;Pordata
1997;PT;102330.96;102330960;million_eur;current_prices;;F009;Pordata
1998;PT;111353.381;111353381;million_eur;current_prices;;F009;Pordata
1999;PT;119603.305;119603305;million_eur;current_prices;;F009;Pordata
2000;PT;128414.445;128414445;million_eur;current_prices;;F009;Pordata
2001;PT;135775.009;135775009;million_eur;current_prices;;F009;Pordata
2002;PT;142554.263;142554263;million_eur;current_prices;;F009;Pordata
2003;PT;146067.858;146067858;million_eur;current_prices;;F009;Pordata
2004;PT;152248.388;152248388;million_eur;current_prices;;F009;Pordata
2005;PT;158552.704;158552704;million_eur;current_prices;;F009;Pordata
2006;PT;166260.469;166260469;million_eur;current_prices;;F009;Pordata
2007;PT;175483.401;175483401;million_eur;current_prices;;F009;Pordata
2008;PT;179102.781;179102781;million_eur;current_prices;;F009;Pordata
2009;PT;175416.437;175416437;million_eur;current_prices;;F009;Pordata
2010;PT;179860.351;179860351;million_eur;current_prices;;F009;Pordata
2011;PT;176318.001;176318001;million_eur;current_prices;;F009;Pordata
2012;PT;168538.75;168538750;million_eur;current_prices;;F009;Pordata
2013;PT;170675.649;170675649;million_eur;current_prices;;F009;Pordata
2014;PT;173186.662;173186662;million_eur;current_prices;;F009;Pordata
2015;PT;179392.709;179392709;million_eur;current_prices;;F009;Pordata
2016;PT;186380.749;186380749;million_eur;current_prices;;F009;Pordata
2017;PT;195509.136;195509136;million_eur;current_prices;;F009;Pordata
2018;PT;204997.646;204997646;million_eur;current_prices;;F009;Pordata
2019;PT;214489.895;214489895;million_eur;current_prices;;F009;Pordata
2020;PT;201032.705;201032705;million_eur;current_prices;;F009;Pordata
2021;PT;216493.745;216493745;million_eur;current_prices;;F009;Pordata
2022;PT;243957.086;243957086;million_eur;current_prices;;F009;Pordata
2023;PT;270352.615;270352615;million_eur;current_prices;;F009;Pordata
2024;PT;289784.317;289784317;million_eur;current_prices;;F009;Pordata
2025;PT;306765.485;306765485;million_eur;current_prices;Valor provisorio (Pro) conforme PORDATA;F009;Pordata
