year;district;contribution_amount;source_id;source
2010;Aveiro;876156905.4;F014;Segurança Social
2011;Aveiro;910241180.94;F014;Segurança Social
2012;Aveiro;877540858.16;F014;Segurança Social
2013;Aveiro;884780868.04;F014;Segurança Social
2014;Aveiro;911367186.48;F014;Segurança Social
2015;Aveiro;951516587.17;F014;Segurança Social
2016;Aveiro;1002418007.96;F014;Segurança Social
2017;Aveiro;1073396603.35;F014;Segurança Social
2018;Aveiro;1151574397.94;F014;Segurança Social
2019;Aveiro;1229366811.62;F014;Segurança Social
2020;Aveiro;1218851765.02;F014;Segurança Social
2021;Aveiro;1347850791.47;F014;Segurança Social
2022;Aveiro;1493275319.3;F014;Segurança Social
2023;Aveiro;1654808971.53;F014;Segurança Social
2024;Aveiro;1797750618.17;F014;Segurança Social
2025;Aveiro;1932930945.88;F014;Segurança Social
2010;Beja;130623936.55;F014;Segurança Social
2011;Beja;137999370.9;F014;Segurança Social
2012;Beja;132785818.26;F014;Segurança Social
2013;Beja;135606797.86;F014;Segurança Social
2014;Beja;141509593.67;F014;Segurança Social
2015;Beja;147749470.25;F014;Segurança Social
2016;Beja;154039834.36;F014;Segurança Social
2017;Beja;169184932.74;F014;Segurança Social
2018;Beja;186008367.55;F014;Segurança Social
2019;Beja;207353137.76;F014;Segurança Social
2020;Beja;214562996.11;F014;Segurança Social
2021;Beja;237798863.39;F014;Segurança Social
2022;Beja;272211679.36;F014;Segurança Social
2023;Beja;320010269.75;F014;Segurança Social
2024;Beja;347196986.81;F014;Segurança Social
2025;Beja;370163319.42;F014;Segurança Social
2010;Braga;905680043.2;F014;Segurança Social
2011;Braga;937790557.12;F014;Segurança Social
2012;Braga;899282482.95;F014;Segurança Social
2013;Braga;911566697.32;F014;Segurança Social
2014;Braga;951181769.05;F014;Segurança Social
2015;Braga;1000217440.68;F014;Segurança Social
2016;Braga;1067350881.68;F014;Segurança Social
2017;Braga;1159959211.18;F014;Segurança Social
2018;Braga;1258230773.36;F014;Segurança Social
2019;Braga;1362684167.91;F014;Segurança Social
2020;Braga;1363975934.79;F014;Segurança Social
2021;Braga;1532834291.46;F014;Segurança Social
2022;Braga;1714136469.45;F014;Segurança Social
2023;Braga;1911211067.09;F014;Segurança Social
2024;Braga;2091917298.76;F014;Segurança Social
2025;Braga;2275825388.91;F014;Segurança Social
2010;Bragança;80993288.86;F014;Segurança Social
2011;Bragança;85919218.16;F014;Segurança Social
2012;Bragança;81266775.77;F014;Segurança Social
2013;Bragança;81926467.96;F014;Segurança Social
2014;Bragança;83787331.64;F014;Segurança Social
2015;Bragança;86893540.21;F014;Segurança Social
2016;Bragança;91304796.71;F014;Segurança Social
2017;Bragança;98079444.75;F014;Segurança Social
2018;Bragança;104501220.62;F014;Segurança Social
2019;Bragança;113464458.15;F014;Segurança Social
2020;Bragança;116918377.79;F014;Segurança Social
2021;Bragança;128612697.14;F014;Segurança Social
2022;Bragança;142237892.37;F014;Segurança Social
2023;Bragança;159539018.53;F014;Segurança Social
2024;Bragança;177118212.16;F014;Segurança Social
2025;Bragança;195325287.92;F014;Segurança Social
2010;Castelo Branco;160983704.41;F014;Segurança Social
2011;Castelo Branco;168963886.46;F014;Segurança Social
2012;Castelo Branco;161269680.46;F014;Segurança Social
2013;Castelo Branco;161072424.84;F014;Segurança Social
2014;Castelo Branco;163582645.7;F014;Segurança Social
2015;Castelo Branco;169667717.94;F014;Segurança Social
2016;Castelo Branco;176319782.15;F014;Segurança Social
2017;Castelo Branco;187587243.24;F014;Segurança Social
2018;Castelo Branco;200891757.58;F014;Segurança Social
2019;Castelo Branco;216361458.46;F014;Segurança Social
2020;Castelo Branco;218530552.46;F014;Segurança Social
2021;Castelo Branco;239499767.16;F014;Segurança Social
2022;Castelo Branco;268720319.62;F014;Segurança Social
2023;Castelo Branco;305924460.4;F014;Segurança Social
2024;Castelo Branco;334536021.83;F014;Segurança Social
2025;Castelo Branco;362798124.73;F014;Segurança Social
2010;Coimbra;474539453.08;F014;Segurança Social
2011;Coimbra;486969670.36;F014;Segurança Social
2012;Coimbra;457709654.62;F014;Segurança Social
2013;Coimbra;459274160.83;F014;Segurança Social
2014;Coimbra;469778690.9;F014;Segurança Social
2015;Coimbra;487228479.13;F014;Segurança Social
2016;Coimbra;508332508.22;F014;Segurança Social
2017;Coimbra;539232695.6;F014;Segurança Social
2018;Coimbra;576308729.8;F014;Segurança Social
2019;Coimbra;624414480.5;F014;Segurança Social
2020;Coimbra;632516984.74;F014;Segurança Social
2021;Coimbra;691606087.14;F014;Segurança Social
2022;Coimbra;767879740.22;F014;Segurança Social
2023;Coimbra;860323864.46;F014;Segurança Social
2024;Coimbra;947598166.72;F014;Segurança Social
2025;Coimbra;1029121752.59;F014;Segurança Social
2010;Évora;162143422.32;F014;Segurança Social
2011;Évora;168318956.27;F014;Segurança Social
2012;Évora;158445211.77;F014;Segurança Social
2013;Évora;159806185.87;F014;Segurança Social
2014;Évora;164738373.27;F014;Segurança Social
2015;Évora;170654466.56;F014;Segurança Social
2016;Évora;177972895.23;F014;Segurança Social
2017;Évora;190208112.51;F014;Segurança Social
2018;Évora;204129819.35;F014;Segurança Social
2019;Évora;220388093.0;F014;Segurança Social
2020;Évora;220846040.51;F014;Segurança Social
2021;Évora;242361456.47;F014;Segurança Social
