year;district;remuneration_amount;source_id;source
2010;Aveiro;2675314068.9;F014;Segurança Social
2011;Aveiro;2779606362.92;F014;Segurança Social
2012;Aveiro;2666327316.66;F014;Segurança Social
2013;Aveiro;2637147913.51;F014;Segurança Social
2014;Aveiro;2707037190.14;F014;Segurança Social
2015;Aveiro;2824962005.23;F014;Segurança Social
2016;Aveiro;2977198033.08;F014;Segurança Social
2017;Aveiro;3180799662.13;F014;Segurança Social
2018;Aveiro;3402954994.13;F014;Segurança Social
2019;Aveiro;3621060539.77;F014;Segurança Social
2020;Aveiro;3684447683.55;F014;Segurança Social
2021;Aveiro;3987590766.3;F014;Segurança Social
2022;Aveiro;4386239882.84;F014;Segurança Social
2023;Aveiro;4862517331.09;F014;Segurança Social
2024;Aveiro;5287200482.64;F014;Segurança Social
2025;Aveiro;5687118861.54;F014;Segurança Social
2010;Beja;407262630.16;F014;Segurança Social
2011;Beja;426495687.34;F014;Segurança Social
2012;Beja;407649480.92;F014;Segurança Social
2013;Beja;408760759.14;F014;Segurança Social
2014;Beja;423808148.57;F014;Segurança Social
2015;Beja;441481461.76;F014;Segurança Social
2016;Beja;460718836.46;F014;Segurança Social
2017;Beja;503801555.96;F014;Segurança Social
2018;Beja;552108885.62;F014;Segurança Social
2019;Beja;614223248.13;F014;Segurança Social
2020;Beja;643831804.42;F014;Segurança Social
2021;Beja;706696920.04;F014;Segurança Social
2022;Beja;803595350.56;F014;Segurança Social
2023;Beja;944568329.2;F014;Segurança Social
2024;Beja;1024630335.72;F014;Segurança Social
2025;Beja;1091796583.14;F014;Segurança Social
2010;Braga;2778109151.64;F014;Segurança Social
2011;Braga;2874020190.5;F014;Segurança Social
2012;Braga;2744457601.49;F014;Segurança Social
2013;Braga;2726915567.05;F014;Segurança Social
2014;Braga;2838896432.13;F014;Segurança Social
2015;Braga;2993361447.16;F014;Segurança Social
2016;Braga;3200053180.93;F014;Segurança Social
2017;Braga;3462144032.98;F014;Segurança Social
2018;Braga;3732573723.68;F014;Segurança Social
2019;Braga;4018421536.06;F014;Segurança Social
2020;Braga;4141542181.84;F014;Segurança Social
2021;Braga;4531874575.05;F014;Segurança Social
2022;Braga;5034168479.83;F014;Segurança Social
2023;Braga;5615648115.49;F014;Segurança Social
2024;Braga;6150734481.61;F014;Segurança Social
2025;Braga;6691183963.02;F014;Segurança Social
2010;Bragança;257713811.11;F014;Segurança Social
2011;Bragança;270884741.62;F014;Segurança Social
2012;Bragança;254396603.04;F014;Segurança Social
2013;Bragança;250424999.24;F014;Segurança Social
2014;Bragança;253900198.44;F014;Segurança Social
2015;Bragança;262791144.72;F014;Segurança Social
2016;Bragança;275911425.72;F014;Segurança Social
2017;Bragança;294854748.29;F014;Segurança Social
2018;Bragança;312650267.08;F014;Segurança Social
2019;Bragança;337741668.5;F014;Segurança Social
2020;Bragança;353931114.05;F014;Segurança Social
2021;Bragança;383271942.5;F014;Segurança Social
2022;Bragança;420042212.97;F014;Segurança Social
2023;Bragança;471312970.22;F014;Segurança Social
2024;Bragança;523357620.33;F014;Segurança Social
2025;Bragança;577019703.79;F014;Segurança Social
2010;Castelo Branco;505982593.92;F014;Segurança Social
2011;Castelo Branco;527924365.07;F014;Segurança Social
2012;Castelo Branco;499466377.2;F014;Segurança Social
2013;Castelo Branco;487547017.92;F014;Segurança Social
2014;Castelo Branco;491880718.7;F014;Segurança Social
2015;Castelo Branco;508970536.96;F014;Segurança Social
2016;Castelo Branco;528204171.74;F014;Segurança Social
2017;Castelo Branco;559669658.41;F014;Segurança Social
2018;Castelo Branco;596648924.36;F014;Segurança Social
2019;Castelo Branco;640003324.17;F014;Segurança Social
2020;Castelo Branco;661811527.0;F014;Segurança Social
