year;district;employers_count;source_id;source
2010;Aveiro;27614;F014;Segurança Social
2011;Aveiro;27210;F014;Segurança Social
2012;Aveiro;26921;F014;Segurança Social
2013;Aveiro;26454;F014;Segurança Social
2014;Aveiro;26258;F014;Segurança Social
2015;Aveiro;26741;F014;Segurança Social
2016;Aveiro;26802;F014;Segurança Social
2017;Aveiro;27069;F014;Segurança Social
2018;Aveiro;27379;F014;Segurança Social
2019;Aveiro;27784;F014;Segurança Social
2020;Aveiro;27587;F014;Segurança Social
2021;Aveiro;27824;F014;Segurança Social
2022;Aveiro;28580;F014;Segurança Social
2023;Aveiro;28864;F014;Segurança Social
2024;Aveiro;29352;F014;Segurança Social
2025;Aveiro;29632;F014;Segurança Social
2010;Beja;6136;F014;Segurança Social
2011;Beja;5980;F014;Segurança Social
2012;Beja;5841;F014;Segurança Social
2013;Beja;5875;F014;Segurança Social
2014;Beja;5845;F014;Segurança Social
2015;Beja;5959;F014;Segurança Social
2016;Beja;6098;F014;Segurança Social
2017;Beja;6205;F014;Segurança Social
2018;Beja;6270;F014;Segurança Social
2019;Beja;6510;F014;Segurança Social
2020;Beja;6597;F014;Segurança Social
2021;Beja;6789;F014;Segurança Social
2022;Beja;7083;F014;Segurança Social
2023;Beja;7428;F014;Segurança Social
2024;Beja;7538;F014;Segurança Social
2025;Beja;7574;F014;Segurança Social
2010;Braga;36110;F014;Segurança Social
2011;Braga;35940;F014;Segurança Social
2012;Braga;35025;F014;Segurança Social
2013;Braga;34762;F014;Segurança Social
2014;Braga;34837;F014;Segurança Social
2015;Braga;35568;F014;Segurança Social
2016;Braga;35692;F014;Segurança Social
2017;Braga;36393;F014;Segurança Social
2018;Braga;37039;F014;Segurança Social
2019;Braga;37963;F014;Segurança Social
2020;Braga;37818;F014;Segurança Social
2021;Braga;38476;F014;Segurança Social
2022;Braga;39916;F014;Segurança Social
2023;Braga;40961;F014;Segurança Social
2024;Braga;41683;F014;Segurança Social
2025;Braga;42433;F014;Segurança Social
2010;Bragança;5020;F014;Segurança Social
2011;Bragança;5061;F014;Segurança Social
2012;Bragança;4957;F014;Segurança Social
2013;Bragança;4840;F014;Segurança Social
2014;Bragança;4889;F014;Segurança Social
2015;Bragança;4989;F014;Segurança Social
2016;Bragança;4953;F014;Segurança Social
2017;Bragança;4950;F014;Segurança Social
2018;Bragança;4948;F014;Segurança Social
2019;Bragança;4951;F014;Segurança Social
2020;Bragança;4854;F014;Segurança Social
2021;Bragança;4972;F014;Segurança Social
2022;Bragança;5222;F014;Segurança Social
2023;Bragança;5255;F014;Segurança Social
2024;Bragança;5355;F014;Segurança Social
2025;Bragança;5382;F014;Segurança Social
2010;Castelo Branco;7040;F014;Segurança Social
