year;district;benefit_amount;source_id;source
2015;Aveiro;3486967.13;F014;Segurança Social
2015;Beja;2247294.83;F014;Segurança Social
2015;Braga;2529387.92;F014;Segurança Social
2015;Bragança;779357.4;F014;Segurança Social
2015;Castelo Branco;720730.96;F014;Segurança Social
2015;Coimbra;2546883.0;F014;Segurança Social
2015;Faro;16813622.63;F014;Segurança Social
2015;Guarda;496095.56;F014;Segurança Social
2015;Leiria;4092214.82;F014;Segurança Social
2015;Lisboa;60160856.38;F014;Segurança Social
2015;Outro;973337.18;F014;Segurança Social
2015;Portalegre;996036.7;F014;Segurança Social
2015;Porto;9007604.8;F014;Segurança Social
2015;Região Autónoma dos Açores;873042.63;F014;Segurança Social
2015;Região Autónoma da Madeira;1482170.4;F014;Segurança Social
2015;Santarém;4123590.34;F014;Segurança Social
2015;Setúbal;16664197.74;F014;Segurança Social
2015;Viana do Castelo;782270.2;F014;Segurança Social
2015;Vila Real;597110.3;F014;Segurança Social
2015;Viseu;1216847.65;F014;Segurança Social
2015;Évora;1167544.84;F014;Segurança Social
2016;Aveiro;3111655.66;F014;Segurança Social
2016;Beja;2179382.22;F014;Segurança Social
2016;Braga;2404814.49;F014;Segurança Social
2016;Bragança;853390.78;F014;Segurança Social
2016;Castelo Branco;770732.02;F014;Segurança Social
2016;Coimbra;2456936.04;F014;Segurança Social
2016;Faro;15374185.9;F014;Segurança Social
2016;Guarda;578076.61;F014;Segurança Social
2016;Leiria;3703306.22;F014;Segurança Social
2016;Lisboa;54928842.29;F014;Segurança Social
2016;Outro;966437.42;F014;Segurança Social
2016;Portalegre;913364.46;F014;Segurança Social
2016;Porto;8547825.4;F014;Segurança Social
2016;Região Autónoma dos Açores;835243.2;F014;Segurança Social
2016;Região Autónoma da Madeira;1480829.06;F014;Segurança Social
2016;Santarém;3758633.94;F014;Segurança Social
2016;Setúbal;15265228.36;F014;Segurança Social
2016;Viana do Castelo;770029.09;F014;Segurança Social
2016;Vila Real;513493.49;F014;Segurança Social
2016;Viseu;1066442.05;F014;Segurança Social
2016;Évora;1146779.61;F014;Segurança Social
2017;Aveiro;3001353.79;F014;Segurança Social
2017;Beja;2015304.37;F014;Segurança Social
2017;Braga;2655089.03;F014;Segurança Social
2017;Bragança;938859.38;F014;Segurança Social
2017;Castelo Branco;852250.63;F014;Segurança Social
2017;Coimbra;2332165.46;F014;Segurança Social
2017;Faro;15600534.23;F014;Segurança Social
2017;Guarda;592670.18;F014;Segurança Social
2017;Leiria;3713825.31;F014;Segurança Social
2017;Lisboa;52919917.46;F014;Segurança Social
2017;Outro;1018778.94;F014;Segurança Social
2017;Portalegre;823878.79;F014;Segurança Social
2017;Porto;8761456.33;F014;Segurança Social
2017;Região Autónoma dos Açores;892424.25;F014;Segurança Social
2017;Região Autónoma da Madeira;1299085.67;F014;Segurança Social
2017;Santarém;3795408.01;F014;Segurança Social
2017;Setúbal;14806383.58;F014;Segurança Social
2017;Viana do Castelo;774985.44;F014;Segurança Social
2017;Vila Real;528109.25;F014;Segurança Social
2017;Viseu;1055409.95;F014;Segurança Social
2017;Évora;1010097.72;F014;Segurança Social
2018;Aveiro;3434399.89;F014;Segurança Social
2018;Beja;2434232.4;F014;Segurança Social
2018;Braga;2948362.37;F014;Segurança Social
2018;Bragança;1081602.18;F014;Segurança Social
2018;Castelo Branco;942263.3;F014;Segurança Social
2018;Coimbra;2397047.59;F014;Segurança Social
2018;Faro;17350352.81;F014;Segurança Social
2018;Guarda;575625.33;F014;Segurança Social
2018;Leiria;4197802.33;F014;Segurança Social
2018;Lisboa;55839719.38;F014;Segurança Social
2018;Outro;1305881.86;F014;Segurança Social
2018;Portalegre;855547.32;F014;Segurança Social
2018;Porto;9509819.61;F014;Segurança Social
2018;Região Autónoma dos Açores;1043234.53;F014;Segurança Social
2018;Região Autónoma da Madeira;1382164.04;F014;Segurança Social
2018;Santarém;3891658.26;F014;Segurança Social
2018;Setúbal;16647957.8;F014;Segurança Social
2018;Viana do Castelo;861571.42;F014;Segurança Social
2018;Vila Real;639705.27;F014;Segurança Social
2018;Viseu;1074927.21;F014;Segurança Social
2018;Évora;1090309.87;F014;Segurança Social
2019;Aveiro;4642732.73;F014;Segurança Social
2019;Beja;3085555.09;F014;Segurança Social
2019;Braga;4011465.37;F014;Segurança Social
2019;Bragança;1294339.37;F014;Segurança Social
2019;Castelo Branco;1146143.01;F014;Segurança Social
2019;Coimbra;2718126.77;F014;Segurança Social
2019;Faro;21118602.74;F014;Segurança Social
2019;Guarda;685371.23;F014;Segurança Social
2019;Leiria;5483069.94;F014;Segurança Social
2019;Lisboa;64227293.57;F014;Segurança Social
2019;Outro;1584900.28;F014;Segurança Social
2019;Portalegre;975997.95;F014;Segurança Social
2019;Porto;11710213.67;F014;Segurança Social
2019;Região Autónoma dos Açores;1039541.59;F014;Segurança Social
2019;Região Autónoma da Madeira;1589134.73;F014;Segurança Social
2019;Santarém;4655502.28;F014;Segurança Social
2019;Setúbal;19925692.3;F014;Segurança Social
2019;Viana do Castelo;1014977.92;F014;Segurança Social
2019;Vila Real;773014.45;F014;Segurança Social
2019;Viseu;1386215.58;F014;Segurança Social
2019;Évora;1216907.11;F014;Segurança Social
2020;Aveiro;8672042.31;F014;Segurança Social
2020;Beja;5135939.99;F014;Segurança Social
2020;Braga;8339699.09;F014;Segurança Social
2020;Bragança;1657296.35;F014;Segurança Social
2020;Castelo Branco;1814385.7;F014;Segurança Social
2020;Coimbra;5109354.07;F014;Segurança Social
2020;Faro;43875474.67;F014;Segurança Social
2020;Guarda;952187.77;F014;Segurança Social
2020;Leiria;9661228.43;F014;Segurança Social
2020;Lisboa;111790017.23;F014;Segurança Social
2020;Outro;1955362.16;F014;Segurança Social
2020;Portalegre;1390848.22;F014;Segurança Social
2020;Porto;22650000.2;F014;Segurança Social
2020;Região Autónoma dos Açores;1705784.36;F014;Segurança Social
2020;Região Autónoma da Madeira;3128259.38;F014;Segurança Social
2020;Santarém;7968042.26;F014;Segurança Social
2020;Setúbal;33861631.22;F014;Segurança Social
2020;Viana do Castelo;2314743.07;F014;Segurança Social
2020;Vila Real;1106060.36;F014;Segurança Social
2020;Viseu;2663758.32;F014;Segurança Social
2020;Évora;1905348.72;F014;Segurança Social
2021;Aveiro;10099732.28;F014;Segurança Social
2021;Beja;7162487.29;F014;Segurança Social
2021;Braga;10568683.32;F014;Segurança Social
2021;Bragança;2004845.53;F014;Segurança Social
2021;Castelo Branco;2260423.97;F014;Segurança Social
2021;Coimbra;6391656.02;F014;Segurança Social
2021;Faro;47579426.0;F014;Segurança Social
2021;Guarda;1137101.69;F014;Segurança Social
2021;Leiria;11646837.79;F014;Segurança Social
2021;Lisboa;135984089.61;F014;Segurança Social
2021;Outro;2045673.19;F014;Segurança Social
2021;Portalegre;1476368.14;F014;Segurança Social
2021;Porto;28556642.1;F014;Segurança Social
2021;Região Autónoma dos Açores;1466280.93;F014;Segurança Social
2021;Região Autónoma da Madeira;3065522.31;F014;Segurança Social
2021;Santarém;9955714.34;F014;Segurança Social
2021;Setúbal;42516375.08;F014;Segurança Social
2021;Viana do Castelo;3315310.05;F014;Segurança Social
2021;Vila Real;1320952.23;F014;Segurança Social
2021;Viseu;3565518.69;F014;Segurança Social
2021;Évora;2284330.95;F014;Segurança Social
2022;Aveiro;16544131.21;F014;Segurança Social
2022;Beja;10218677.78;F014;Segurança Social
2022;Braga;14353517.73;F014;Segurança Social
2022;Bragança;2929639.93;F014;Segurança Social
2022;Castelo Branco;3859704.4;F014;Segurança Social
2022;Coimbra;9120868.03;F014;Segurança Social
2022;Faro;44327038.38;F014;Segurança Social
2022;Guarda;1873011.3;F014;Segurança Social
2022;Leiria;16850469.4;F014;Segurança Social
2022;Lisboa;143941550.08;F014;Segurança Social
2022;Outro;2322242.5;F014;Segurança Social
2022;Portalegre;1982891.04;F014;Segurança Social
2022;Porto;36499593.61;F014;Segurança Social
2022;Região Autónoma dos Açores;1705626.94;F014;Segurança Social
2022;Região Autónoma da Madeira;2929350.9;F014;Segurança Social
2022;Santarém;14639186.16;F014;Segurança Social
2022;Setúbal;49736064.98;F014;Segurança Social
2022;Viana do Castelo;5229310.3;F014;Segurança Social
2022;Vila Real;1785205.69;F014;Segurança Social
2022;Viseu;5341397.07;F014;Segurança Social
2022;Évora;3113332.06;F014;Segurança Social
2023;Aveiro;24340258.58;F014;Segurança Social
2023;Beja;14250225.86;F014;Segurança Social
2023;Braga;22752835.65;F014;Segurança Social
2023;Bragança;4073016.63;F014;Segurança Social
2023;Castelo Branco;6140063.59;F014;Segurança Social
2023;Coimbra;13699790.84;F014;Segurança Social
2023;Faro;59268908.94;F014;Segurança Social
2023;Guarda;2513622.93;F014;Segurança Social
2023;Leiria;24883718.78;F014;Segurança Social
2023;Lisboa;207761961.12;F014;Segurança Social
2023;Outro;2973320.09;F014;Segurança Social
2023;Portalegre;2838250.11;F014;Segurança Social
2023;Porto;55892832.68;F014;Segurança Social
2023;Região Autónoma dos Açores;2229329.72;F014;Segurança Social
2023;Região Autónoma da Madeira;3924434.12;F014;Segurança Social
2023;Santarém;23058538.44;F014;Segurança Social
2023;Setúbal;72378764.9;F014;Segurança Social
2023;Viana do Castelo;8025260.55;F014;Segurança Social
2023;Vila Real;2807514.77;F014;Segurança Social
2023;Viseu;8341812.5;F014;Segurança Social
2023;Évora;4860192.39;F014;Segurança Social
2024;Aveiro;32894196.74;F014;Segurança Social
2024;Beja;18488833.79;F014;Segurança Social
2024;Braga;31537986.78;F014;Segurança Social
2024;Bragança;4767727.75;F014;Segurança Social
2024;Castelo Branco;9007688.65;F014;Segurança Social
2024;Coimbra;18018410.83;F014;Segurança Social
2024;Faro;72395827.56;F014;Segurança Social
2024;Guarda;3336863.02;F014;Segurança Social
2024;Leiria;33111532.8;F014;Segurança Social
2024;Lisboa;252550869.48;F014;Segurança Social
2024;Outro;3001026.17;F014;Segurança Social
2024;Portalegre;3515624.99;F014;Segurança Social
2024;Porto;73987039.63;F014;Segurança Social
2024;Região Autónoma dos Açores;2764475.56;F014;Segurança Social
2024;Região Autónoma da Madeira;5079895.56;F014;Segurança Social
2024;Santarém;31088941.19;F014;Segurança Social
2024;Setúbal;90354478.04;F014;Segurança Social
2024;Viana do Castelo;11270383.25;F014;Segurança Social
2024;Vila Real;3953067.86;F014;Segurança Social
2024;Viseu;12821706.44;F014;Segurança Social
2024;Évora;7021268.07;F014;Segurança Social
2025;Aveiro;40247078.99;F014;Segurança Social
2025;Beja;19897193.13;F014;Segurança Social
2025;Braga;37546999.3;F014;Segurança Social
2025;Bragança;5616311.19;F014;Segurança Social
2025;Castelo Branco;11438877.51;F014;Segurança Social
2025;Coimbra;21157990.51;F014;Segurança Social
2025;Faro;79394819.83;F014;Segurança Social
2025;Guarda;4351059.63;F014;Segurança Social
2025;Leiria;39541919.7;F014;Segurança Social
2025;Lisboa;272907218.62;F014;Segurança Social
2025;Outro;2979411.86;F014;Segurança Social
2025;Portalegre;4421027.95;F014;Segurança Social
2025;Porto;87296735.33;F014;Segurança Social
2025;Região Autónoma dos Açores;3553768.47;F014;Segurança Social
2025;Região Autónoma da Madeira;5793754.27;F014;Segurança Social
2025;Santarém;38273879.58;F014;Segurança Social
2025;Setúbal;102460784.33;F014;Segurança Social
2025;Viana do Castelo;14505951.74;F014;Segurança Social
2025;Vila Real;4974391.88;F014;Segurança Social
2025;Viseu;18027342.03;F014;Segurança Social
2025;Évora;7636354.67;F014;Segurança Social
