year;district;contribution_amount;source_id;source
2015;Aveiro;13884034.84;F014;Segurança Social
2015;Beja;10109802.42;F014;Segurança Social
2015;Braga;10176080.77;F014;Segurança Social
2015;Bragança;2071074.12;F014;Segurança Social
2015;Castelo Branco;2500969.85;F014;Segurança Social
2015;Coimbra;8032181.69;F014;Segurança Social
2015;Faro;56924289.79;F014;Segurança Social
2015;Guarda;1770595.86;F014;Segurança Social
2015;Leiria;15425242.39;F014;Segurança Social
2015;Lisboa;230518800.54;F014;Segurança Social
2015;Outro;13858569.04;F014;Segurança Social
2015;Portalegre;2334180.77;F014;Segurança Social
2015;Porto;38366665.44;F014;Segurança Social
2015;Região Autónoma dos Açores;2426066.7;F014;Segurança Social
2015;Região Autónoma da Madeira;6590922.08;F014;Segurança Social
2015;Santarém;12913477.59;F014;Segurança Social
2015;Setúbal;40508774.72;F014;Segurança Social
2015;Viana do Castelo;3078852.52;F014;Segurança Social
2015;Vila Real;1651767.67;F014;Segurança Social
2015;Viseu;4041845.54;F014;Segurança Social
2015;Évora;3514937.07;F014;Segurança Social
2016;Aveiro;14716585.19;F014;Segurança Social
2016;Beja;11373687.94;F014;Segurança Social
2016;Braga;11156795.99;F014;Segurança Social
2016;Bragança;2065498.65;F014;Segurança Social
2016;Castelo Branco;2479719.4;F014;Segurança Social
2016;Coimbra;8410095.77;F014;Segurança Social
2016;Faro;62368670.28;F014;Segurança Social
2016;Guarda;1799563.89;F014;Segurança Social
2016;Leiria;16374122.4;F014;Segurança Social
2016;Lisboa;263298227.67;F014;Segurança Social
2016;Outro;16541590.35;F014;Segurança Social
2016;Portalegre;2387784.11;F014;Segurança Social
2016;Porto;40343613.32;F014;Segurança Social
2016;Região Autónoma dos Açores;2547029.04;F014;Segurança Social
2016;Região Autónoma da Madeira;6322884.0;F014;Segurança Social
2016;Santarém;12800619.19;F014;Segurança Social
2016;Setúbal;43260887.41;F014;Segurança Social
2016;Viana do Castelo;3263326.92;F014;Segurança Social
2016;Vila Real;1643621.44;F014;Segurança Social
2016;Viseu;4206670.04;F014;Segurança Social
2016;Évora;3561759.4;F014;Segurança Social
2017;Aveiro;16895280.04;F014;Segurança Social
2017;Beja;14936256.47;F014;Segurança Social
2017;Braga;13402245.53;F014;Segurança Social
2017;Bragança;2239217.08;F014;Segurança Social
2017;Castelo Branco;2639759.72;F014;Segurança Social
2017;Coimbra;9424351.03;F014;Segurança Social
2017;Faro;74083210.45;F014;Segurança Social
2017;Guarda;1953236.95;F014;Segurança Social
2017;Leiria;17732970.69;F014;Segurança Social
2017;Lisboa;308272428.77;F014;Segurança Social
2017;Outro;20857475.66;F014;Segurança Social
2017;Portalegre;2510824.67;F014;Segurança Social
2017;Porto;46932787.46;F014;Segurança Social
2017;Região Autónoma dos Açores;2766863.54;F014;Segurança Social
2017;Região Autónoma da Madeira;6819572.9;F014;Segurança Social
2017;Santarém;13946353.96;F014;Segurança Social
2017;Setúbal;50189007.14;F014;Segurança Social
2017;Viana do Castelo;3912667.65;F014;Segurança Social
2017;Vila Real;2194410.09;F014;Segurança Social
2017;Viseu;4513145.23;F014;Segurança Social
2017;Évora;4026623.72;F014;Segurança Social
2018;Aveiro;20811572.88;F014;Segurança Social
2018;Beja;20135812.8;F014;Segurança Social
2018;Braga;18899661.95;F014;Segurança Social
2018;Bragança;2595464.3;F014;Segurança Social
2018;Castelo Branco;3487491.79;F014;Segurança Social
2018;Coimbra;11196016.81;F014;Segurança Social
2018;Faro;93967433.31;F014;Segurança Social
2018;Guarda;2083552.52;F014;Segurança Social
2018;Leiria;21738861.5;F014;Segurança Social
2018;Lisboa;373853149.86;F014;Segurança Social
2018;Outro;25344715.41;F014;Segurança Social
2018;Portalegre;2835758.95;F014;Segurança Social
2018;Porto;62593883.6;F014;Segurança Social
2018;Região Autónoma dos Açores;3275797.49;F014;Segurança Social
2018;Região Autónoma da Madeira;7952003.83;F014;Segurança Social
2018;Santarém;16814572.04;F014;Segurança Social
2018;Setúbal;63847727.28;F014;Segurança Social
2018;Viana do Castelo;5013462.14;F014;Segurança Social
2018;Vila Real;2892735.35;F014;Segurança Social
2018;Viseu;5558567.73;F014;Segurança Social
2018;Évora;4612257.82;F014;Segurança Social
2019;Aveiro;29247901.31;F014;Segurança Social
2019;Beja;29728178.92;F014;Segurança Social
2019;Braga;29615511.13;F014;Segurança Social
2019;Bragança;3564306.62;F014;Segurança Social
2019;Castelo Branco;5299119.54;F014;Segurança Social
2019;Coimbra;15459502.14;F014;Segurança Social
2019;Faro;121510674.72;F014;Segurança Social
2019;Guarda;2576551.32;F014;Segurança Social
2019;Leiria;31289836.27;F014;Segurança Social
2019;Lisboa;474021265.2;F014;Segurança Social
2019;Outro;28173747.8;F014;Segurança Social
2019;Portalegre;3702028.65;F014;Segurança Social
2019;Porto;91721476.13;F014;Segurança Social
2019;Região Autónoma dos Açores;3978496.85;F014;Segurança Social
2019;Região Autónoma da Madeira;9179760.12;F014;Segurança Social
2019;Santarém;23572306.89;F014;Segurança Social
2019;Setúbal;88826554.01;F014;Segurança Social
2019;Viana do Castelo;7766114.31;F014;Segurança Social
2019;Vila Real;3123148.04;F014;Segurança Social
2019;Viseu;8349038.84;F014;Segurança Social
2019;Évora;6385566.38;F014;Segurança Social
2020;Aveiro;34847479.56;F014;Segurança Social
2020;Beja;34891103.19;F014;Segurança Social
2020;Braga;36279889.53;F014;Segurança Social
2020;Bragança;4024795.6;F014;Segurança Social
2020;Castelo Branco;6485489.83;F014;Segurança Social
2020;Coimbra;17867653.23;F014;Segurança Social
2020;Faro;109568468.34;F014;Segurança Social
2020;Guarda;2906501.75;F014;Segurança Social
2020;Leiria;38087581.85;F014;Segurança Social
2020;Lisboa;514152981.72;F014;Segurança Social
2020;Outro;27412387.69;F014;Segurança Social
2020;Portalegre;3862480.76;F014;Segurança Social
2020;Porto;106970248.98;F014;Segurança Social
2020;Região Autónoma dos Açores;3838581.74;F014;Segurança Social
2020;Região Autónoma da Madeira;8451504.79;F014;Segurança Social
2020;Santarém;28790021.04;F014;Segurança Social
2020;Setúbal;103463249.47;F014;Segurança Social
2020;Viana do Castelo;10367558.65;F014;Segurança Social
2020;Vila Real;3656226.46;F014;Segurança Social
2020;Viseu;10347357.89;F014;Segurança Social
2020;Évora;7270344.31;F014;Segurança Social
2021;Aveiro;43910574.76;F014;Segurança Social
2021;Beja;43723702.39;F014;Segurança Social
2021;Braga;44826067.47;F014;Segurança Social
2021;Bragança;5048444.43;F014;Segurança Social
2021;Castelo Branco;8867968.01;F014;Segurança Social
2021;Coimbra;22054499.04;F014;Segurança Social
2021;Faro;127267331.37;F014;Segurança Social
2021;Guarda;3618017.23;F014;Segurança Social
2021;Leiria;46419377.06;F014;Segurança Social
2021;Lisboa;598849771.98;F014;Segurança Social
2021;Outro;30343306.83;F014;Segurança Social
2021;Portalegre;4565260.97;F014;Segurança Social
2021;Porto;131379142.01;F014;Segurança Social
2021;Região Autónoma dos Açores;4947560.75;F014;Segurança Social
2021;Região Autónoma da Madeira;9779704.13;F014;Segurança Social
2021;Santarém;34832828.48;F014;Segurança Social
2021;Setúbal;124147942.72;F014;Segurança Social
2021;Viana do Castelo;14283741.31;F014;Segurança Social
2021;Vila Real;4136149.97;F014;Segurança Social
2021;Viseu;12663152.42;F014;Segurança Social
2021;Évora;8959021.15;F014;Segurança Social
2022;Aveiro;70365224.77;F014;Segurança Social
2022;Beja;60875824.0;F014;Segurança Social
2022;Braga;72369066.88;F014;Segurança Social
2022;Bragança;7438440.5;F014;Segurança Social
2022;Castelo Branco;15215646.27;F014;Segurança Social
2022;Coimbra;33490633.07;F014;Segurança Social
2022;Faro;185645494.44;F014;Segurança Social
2022;Guarda;5314788.29;F014;Segurança Social
2022;Leiria;71031226.59;F014;Segurança Social
2022;Lisboa;813143058.98;F014;Segurança Social
2022;Outro;34621788.46;F014;Segurança Social
2022;Portalegre;6543622.3;F014;Segurança Social
2022;Porto;208428007.49;F014;Segurança Social
2022;Região Autónoma dos Açores;6926537.57;F014;Segurança Social
2022;Região Autónoma da Madeira;14182528.5;F014;Segurança Social
2022;Santarém;51921651.15;F014;Segurança Social
2022;Setúbal;177899455.9;F014;Segurança Social
2022;Viana do Castelo;23554257.6;F014;Segurança Social
2022;Vila Real;5977306.77;F014;Segurança Social
2022;Viseu;20576785.19;F014;Segurança Social
2022;Évora;14192930.57;F014;Segurança Social
2023;Aveiro;112261218.3;F014;Segurança Social
2023;Beja;87398399.86;F014;Segurança Social
2023;Braga;112979481.17;F014;Segurança Social
2023;Bragança;11276774.23;F014;Segurança Social
2023;Castelo Branco;25866522.72;F014;Segurança Social
2023;Coimbra;54387174.74;F014;Segurança Social
2023;Faro;243934421.31;F014;Segurança Social
2023;Guarda;9177069.19;F014;Segurança Social
2023;Leiria;108384860.68;F014;Segurança Social
2023;Lisboa;1095438217.23;F014;Segurança Social
2023;Outro;52005558.19;F014;Segurança Social
2023;Portalegre;10002496.09;F014;Segurança Social
2023;Porto;320153932.36;F014;Segurança Social
2023;Região Autónoma dos Açores;10175569.74;F014;Segurança Social
2023;Região Autónoma da Madeira;22041356.87;F014;Segurança Social
2023;Santarém;78412838.31;F014;Segurança Social
2023;Setúbal;263179470.23;F014;Segurança Social
2023;Viana do Castelo;37440852.36;F014;Segurança Social
2023;Vila Real;10345416.07;F014;Segurança Social
2023;Viseu;35326070.46;F014;Segurança Social
2023;Évora;22816989.16;F014;Segurança Social
2024;Aveiro;150575911.0;F014;Segurança Social
2024;Beja;96637102.35;F014;Segurança Social
2024;Braga;149393588.22;F014;Segurança Social
2024;Bragança;15948783.83;F014;Segurança Social
2024;Castelo Branco;34767154.12;F014;Segurança Social
2024;Coimbra;75081463.62;F014;Segurança Social
2024;Faro;305530980.32;F014;Segurança Social
2024;Guarda;14089269.15;F014;Segurança Social
2024;Leiria;150234731.87;F014;Segurança Social
2024;Lisboa;1350717003.01;F014;Segurança Social
2024;Outro;78397097.19;F014;Segurança Social
2024;Portalegre;15777916.43;F014;Segurança Social
2024;Porto;428671038.2;F014;Segurança Social
2024;Região Autónoma dos Açores;14292479.92;F014;Segurança Social
2024;Região Autónoma da Madeira;34292024.34;F014;Segurança Social
2024;Santarém;111612018.93;F014;Segurança Social
2024;Setúbal;362020351.12;F014;Segurança Social
2024;Viana do Castelo;49377759.15;F014;Segurança Social
2024;Vila Real;15156095.95;F014;Segurança Social
2024;Viseu;51922503.83;F014;Segurança Social
2024;Évora;31000543.88;F014;Segurança Social
2025;Aveiro;177472694.26;F014;Segurança Social
2025;Beja;102223999.24;F014;Segurança Social
2025;Braga;182205810.32;F014;Segurança Social
2025;Bragança;19393159.76;F014;Segurança Social
2025;Castelo Branco;41702911.79;F014;Segurança Social
2025;Coimbra;92493416.0;F014;Segurança Social
2025;Faro;347630188.43;F014;Segurança Social
2025;Guarda;16975418.54;F014;Segurança Social
2025;Leiria;178668743.77;F014;Segurança Social
2025;Lisboa;1546513930.84;F014;Segurança Social
2025;Outro;82197508.58;F014;Segurança Social
2025;Portalegre;17963885.33;F014;Segurança Social
2025;Porto;509632780.28;F014;Segurança Social
2025;Região Autónoma dos Açores;19142270.97;F014;Segurança Social
2025;Região Autónoma da Madeira;44868485.77;F014;Segurança Social
2025;Santarém;138457898.54;F014;Segurança Social
2025;Setúbal;454689502.38;F014;Segurança Social
2025;Viana do Castelo;56419470.39;F014;Segurança Social
2025;Vila Real;18802940.2;F014;Segurança Social
2025;Viseu;64916085.46;F014;Segurança Social
2025;Évora;36592747.83;F014;Segurança Social
