year;gender;age_group;contributors_count;source_id;source
2015;Feminino;60+;2994;F014;Segurança Social
2016;Feminino;60+;3352;F014;Segurança Social
2017;Feminino;60+;3854;F014;Segurança Social
2018;Feminino;60+;4438;F014;Segurança Social
2019;Feminino;60+;5476;F014;Segurança Social
2020;Feminino;60+;5944;F014;Segurança Social
2021;Feminino;60+;6597;F014;Segurança Social
2022;Feminino;60+;8336;F014;Segurança Social
2023;Feminino;60+;10315;F014;Segurança Social
2024;Feminino;60+;12235;F014;Segurança Social
2025;Feminino;60+;14011;F014;Segurança Social
2015;Feminino;<20;1187;F014;Segurança Social
2016;Feminino;<20;1339;F014;Segurança Social
2017;Feminino;<20;1670;F014;Segurança Social
2018;Feminino;<20;2106;F014;Segurança Social
2019;Feminino;<20;2756;F014;Segurança Social
2020;Feminino;<20;1801;F014;Segurança Social
2021;Feminino;<20;2224;F014;Segurança Social
2022;Feminino;<20;4366;F014;Segurança Social
2023;Feminino;<20;5439;F014;Segurança Social
2024;Feminino;<20;5088;F014;Segurança Social
2025;Feminino;<20;4875;F014;Segurança Social
2015;Feminino;20-29;22386;F014;Segurança Social
2016;Feminino;20-29;23614;F014;Segurança Social
2017;Feminino;20-29;27666;F014;Segurança Social
2018;Feminino;20-29;35045;F014;Segurança Social
2019;Feminino;20-29;46721;F014;Segurança Social
2020;Feminino;20-29;48510;F014;Segurança Social
2021;Feminino;20-29;51926;F014;Segurança Social
2022;Feminino;20-29;76242;F014;Segurança Social
2023;Feminino;20-29;98940;F014;Segurança Social
2024;Feminino;20-29;110853;F014;Segurança Social
2025;Feminino;20-29;114580;F014;Segurança Social
2015;Feminino;30-39;29896;F014;Segurança Social
2016;Feminino;30-39;30335;F014;Segurança Social
2017;Feminino;30-39;33984;F014;Segurança Social
2018;Feminino;30-39;41458;F014;Segurança Social
2019;Feminino;30-39;55402;F014;Segurança Social
2020;Feminino;30-39;60334;F014;Segurança Social
2021;Feminino;30-39;63855;F014;Segurança Social
2022;Feminino;30-39;87316;F014;Segurança Social
2023;Feminino;30-39;112228;F014;Segurança Social
2024;Feminino;30-39;132030;F014;Segurança Social
2025;Feminino;30-39;145805;F014;Segurança Social
2015;Feminino;40-49;23529;F014;Segurança Social
2016;Feminino;40-49;23974;F014;Segurança Social
2017;Feminino;40-49;26148;F014;Segurança Social
2018;Feminino;40-49;30069;F014;Segurança Social
2019;Feminino;40-49;38718;F014;Segurança Social
2020;Feminino;40-49;41906;F014;Segurança Social
2021;Feminino;40-49;44658;F014;Segurança Social
2022;Feminino;40-49;59076;F014;Segurança Social
2023;Feminino;40-49;74569;F014;Segurança Social
2024;Feminino;40-49;86312;F014;Segurança Social
2025;Feminino;40-49;96199;F014;Segurança Social
2015;Feminino;50-59;12504;F014;Segurança Social
2016;Feminino;50-59;13100;F014;Segurança Social
