year;district;new_registrations_count;source_id;source
2015;Aveiro;702;F014;Segurança Social
2015;Beja;2672;F014;Segurança Social
2015;Braga;811;F014;Segurança Social
2015;Bragança;389;F014;Segurança Social
2015;Castelo Branco;246;F014;Segurança Social
2015;Coimbra;854;F014;Segurança Social
2015;Faro;5793;F014;Segurança Social
2015;Guarda;194;F014;Segurança Social
2015;Leiria;1222;F014;Segurança Social
2015;Lisboa;22555;F014;Segurança Social
2015;Outro;8699;F014;Segurança Social
2015;Portalegre;165;F014;Segurança Social
2015;Porto;2874;F014;Segurança Social
2015;Região Autónoma dos Açores;301;F014;Segurança Social
2015;Região Autónoma da Madeira;499;F014;Segurança Social
2015;Santarém;805;F014;Segurança Social
2015;Setúbal;2634;F014;Segurança Social
2015;Viana do Castelo;395;F014;Segurança Social
2015;Vila Real;191;F014;Segurança Social
2015;Viseu;462;F014;Segurança Social
2015;Évora;217;F014;Segurança Social
2016;Aveiro;860;F014;Segurança Social
2016;Beja;2673;F014;Segurança Social
2016;Braga;871;F014;Segurança Social
2016;Bragança;373;F014;Segurança Social
2016;Castelo Branco;293;F014;Segurança Social
2016;Coimbra;772;F014;Segurança Social
2016;Faro;6644;F014;Segurança Social
2016;Guarda;172;F014;Segurança Social
2016;Leiria;1092;F014;Segurança Social
2016;Lisboa;20940;F014;Segurança Social
2016;Outro;3952;F014;Segurança Social
2016;Portalegre;181;F014;Segurança Social
2016;Porto;3221;F014;Segurança Social
2016;Região Autónoma dos Açores;320;F014;Segurança Social
2016;Região Autónoma da Madeira;451;F014;Segurança Social
2016;Santarém;826;F014;Segurança Social
2016;Setúbal;3104;F014;Segurança Social
2016;Viana do Castelo;314;F014;Segurança Social
2016;Vila Real;158;F014;Segurança Social
2016;Viseu;344;F014;Segurança Social
2016;Évora;203;F014;Segurança Social
2017;Aveiro;1480;F014;Segurança Social
2017;Beja;3068;F014;Segurança Social
2017;Braga;1544;F014;Segurança Social
2017;Bragança;458;F014;Segurança Social
2017;Castelo Branco;515;F014;Segurança Social
2017;Coimbra;1093;F014;Segurança Social
2017;Faro;8613;F014;Segurança Social
