year;gender;age_group;new_registrations_count;source_id;source
2015;Feminino;60+;4063;F014;Segurança Social
2016;Feminino;60+;2173;F014;Segurança Social
2017;Feminino;60+;1717;F014;Segurança Social
2018;Feminino;60+;2267;F014;Segurança Social
2019;Feminino;60+;2698;F014;Segurança Social
2020;Feminino;60+;2530;F014;Segurança Social
2021;Feminino;60+;2486;F014;Segurança Social
2022;Feminino;60+;9935;F014;Segurança Social
2023;Feminino;60+;9869;F014;Segurança Social
2024;Feminino;60+;6882;F014;Segurança Social
2025;Feminino;60+;3212;F014;Segurança Social
2015;Feminino;<20;3654;F014;Segurança Social
2016;Feminino;<20;3434;F014;Segurança Social
2017;Feminino;<20;4438;F014;Segurança Social
2018;Feminino;<20;7101;F014;Segurança Social
2019;Feminino;<20;10169;F014;Segurança Social
2020;Feminino;<20;10727;F014;Segurança Social
2021;Feminino;<20;9957;F014;Segurança Social
2022;Feminino;<20;47051;F014;Segurança Social
2023;Feminino;<20;39572;F014;Segurança Social
2024;Feminino;<20;22016;F014;Segurança Social
2025;Feminino;<20;11676;F014;Segurança Social
2015;Feminino;20-29;5912;F014;Segurança Social
2016;Feminino;20-29;6308;F014;Segurança Social
2017;Feminino;20-29;9399;F014;Segurança Social
2018;Feminino;20-29;15350;F014;Segurança Social
2019;Feminino;20-29;21985;F014;Segurança Social
2020;Feminino;20-29;17748;F014;Segurança Social
2021;Feminino;20-29;14355;F014;Segurança Social
2022;Feminino;20-29;59857;F014;Segurança Social
2023;Feminino;20-29;53974;F014;Segurança Social
2024;Feminino;20-29;30731;F014;Segurança Social
2025;Feminino;20-29;22342;F014;Segurança Social
2015;Feminino;30-39;4266;F014;Segurança Social
2016;Feminino;30-39;4390;F014;Segurança Social
2017;Feminino;30-39;7419;F014;Segurança Social
2018;Feminino;30-39;13143;F014;Segurança Social
2019;Feminino;30-39;18813;F014;Segurança Social
2020;Feminino;30-39;15402;F014;Segurança Social
2021;Feminino;30-39;10931;F014;Segurança Social
2022;Feminino;30-39;51697;F014;Segurança Social
2023;Feminino;30-39;45135;F014;Segurança Social
2024;Feminino;30-39;26073;F014;Segurança Social
2025;Feminino;30-39;17920;F014;Segurança Social
2015;Feminino;40-49;2297;F014;Segurança Social
2016;Feminino;40-49;2365;F014;Segurança Social
2017;Feminino;40-49;3791;F014;Segurança Social
2018;Feminino;40-49;6947;F014;Segurança Social
2019;Feminino;40-49;9955;F014;Segurança Social
2020;Feminino;40-49;8250;F014;Segurança Social
2021;Feminino;40-49;5967;F014;Segurança Social
2022;Feminino;40-49;27822;F014;Segurança Social
2023;Feminino;40-49;24892;F014;Segurança Social
2024;Feminino;40-49;14169;F014;Segurança Social
2025;Feminino;40-49;9637;F014;Segurança Social
2015;Feminino;50-59;1580;F014;Segurança Social
2016;Feminino;50-59;1477;F014;Segurança Social
2017;Feminino;50-59;1847;F014;Segurança Social
2018;Feminino;50-59;3226;F014;Segurança Social
2019;Feminino;50-59;4404;F014;Segurança Social
2020;Feminino;50-59;3786;F014;Segurança Social
2021;Feminino;50-59;2984;F014;Segurança Social
2022;Feminino;50-59;13731;F014;Segurança Social
2023;Feminino;50-59;13020;F014;Segurança Social
2024;Feminino;50-59;7521;F014;Segurança Social
2025;Feminino;50-59;4316;F014;Segurança Social
2015;Masculino;60+;4166;F014;Segurança Social
2016;Masculino;60+;2097;F014;Segurança Social
2017;Masculino;60+;2256;F014;Segurança Social
2018;Masculino;60+;2966;F014;Segurança Social
2019;Masculino;60+;3112;F014;Segurança Social
2020;Masculino;60+;2532;F014;Segurança Social
2021;Masculino;60+;2514;F014;Segurança Social
2022;Masculino;60+;6212;F014;Segurança Social
2023;Masculino;60+;7301;F014;Segurança Social
2024;Masculino;60+;5617;F014;Segurança Social
2025;Masculino;60+;2885;F014;Segurança Social
2015;Masculino;<20;4219;F014;Segurança Social
2016;Masculino;<20;3896;F014;Segurança Social
2017;Masculino;<20;5179;F014;Segurança Social
2018;Masculino;<20;8511;F014;Segurança Social
2019;Masculino;<20;12048;F014;Segurança Social
2020;Masculino;<20;11859;F014;Segurança Social
2021;Masculino;<20;11203;F014;Segurança Social
2022;Masculino;<20;49948;F014;Segurança Social
2023;Masculino;<20;41205;F014;Segurança Social
2024;Masculino;<20;23886;F014;Segurança Social
2025;Masculino;<20;12325;F014;Segurança Social
2015;Masculino;20-29;10031;F014;Segurança Social
2016;Masculino;20-29;9566;F014;Segurança Social
2017;Masculino;20-29;12632;F014;Segurança Social
2018;Masculino;20-29;22692;F014;Segurança Social
2019;Masculino;20-29;36131;F014;Segurança Social
2020;Masculino;20-29;32109;F014;Segurança Social
2021;Masculino;20-29;26559;F014;Segurança Social
2022;Masculino;20-29;100690;F014;Segurança Social
2023;Masculino;20-29;90922;F014;Segurança Social
2024;Masculino;20-29;51209;F014;Segurança Social
2025;Masculino;20-29;28649;F014;Segurança Social
2015;Masculino;30-39;7081;F014;Segurança Social
2016;Masculino;30-39;6857;F014;Segurança Social
2017;Masculino;30-39;9295;F014;Segurança Social
2018;Masculino;30-39;17873;F014;Segurança Social
2019;Masculino;30-39;28148;F014;Segurança Social
2020;Masculino;30-39;27866;F014;Segurança Social
2021;Masculino;30-39;22681;F014;Segurança Social
2022;Masculino;30-39;81158;F014;Segurança Social
2023;Masculino;30-39;78159;F014;Segurança Social
2024;Masculino;30-39;45675;F014;Segurança Social
2025;Masculino;30-39;25496;F014;Segurança Social
2015;Masculino;40-49;3581;F014;Segurança Social
2016;Masculino;40-49;3489;F014;Segurança Social
2017;Masculino;40-49;4870;F014;Segurança Social
2018;Masculino;40-49;8700;F014;Segurança Social
2019;Masculino;40-49;12796;F014;Segurança Social
2020;Masculino;40-49;11806;F014;Segurança Social
2021;Masculino;40-49;10175;F014;Segurança Social
2022;Masculino;40-49;35617;F014;Segurança Social
2023;Masculino;40-49;37311;F014;Segurança Social
2024;Masculino;40-49;23096;F014;Segurança Social
2025;Masculino;40-49;14097;F014;Segurança Social
2015;Masculino;50-59;1830;F014;Segurança Social
2016;Masculino;50-59;1712;F014;Segurança Social
2017;Masculino;50-59;2252;F014;Segurança Social
2018;Masculino;50-59;3592;F014;Segurança Social
2019;Masculino;50-59;4731;F014;Segurança Social
2020;Masculino;50-59;4118;F014;Segurança Social
2021;Masculino;50-59;3852;F014;Segurança Social
2022;Masculino;50-59;11655;F014;Segurança Social
2023;Masculino;50-59;12826;F014;Segurança Social
2024;Masculino;50-59;8335;F014;Segurança Social
2025;Masculino;50-59;5069;F014;Segurança Social
