year;district;self_employed_count;source_id;source
2010;Aveiro;36282;F014;Segurança Social
2011;Aveiro;34821;F014;Segurança Social
2012;Aveiro;31679;F014;Segurança Social
2013;Aveiro;29917;F014;Segurança Social
2014;Aveiro;28669;F014;Segurança Social
2015;Aveiro;27953;F014;Segurança Social
2016;Aveiro;27069;F014;Segurança Social
2017;Aveiro;27381;F014;Segurança Social
2018;Aveiro;26092;F014;Segurança Social
2019;Aveiro;35102;F014;Segurança Social
2020;Aveiro;34433;F014;Segurança Social
2021;Aveiro;34731;F014;Segurança Social
2022;Aveiro;35690;F014;Segurança Social
2023;Aveiro;37982;F014;Segurança Social
2024;Aveiro;39581;F014;Segurança Social
2025;Aveiro;38476;F014;Segurança Social
2010;Beja;9222;F014;Segurança Social
2011;Beja;8633;F014;Segurança Social
2012;Beja;7896;F014;Segurança Social
2013;Beja;7480;F014;Segurança Social
2014;Beja;7114;F014;Segurança Social
2015;Beja;6968;F014;Segurança Social
2016;Beja;6692;F014;Segurança Social
2017;Beja;6737;F014;Segurança Social
2018;Beja;6395;F014;Segurança Social
2019;Beja;8299;F014;Segurança Social
2020;Beja;8091;F014;Segurança Social
2021;Beja;7935;F014;Segurança Social
2022;Beja;8169;F014;Segurança Social
2023;Beja;8387;F014;Segurança Social
2024;Beja;8667;F014;Segurança Social
2025;Beja;8505;F014;Segurança Social
2010;Braga;38485;F014;Segurança Social
2011;Braga;36667;F014;Segurança Social
2012;Braga;33891;F014;Segurança Social
2013;Braga;32393;F014;Segurança Social
2014;Braga;31318;F014;Segurança Social
2015;Braga;30871;F014;Segurança Social
2016;Braga;30214;F014;Segurança Social
2017;Braga;30807;F014;Segurança Social
2018;Braga;29458;F014;Segurança Social
2019;Braga;40168;F014;Segurança Social
2020;Braga;40268;F014;Segurança Social
2021;Braga;40842;F014;Segurança Social
2022;Braga;41824;F014;Segurança Social
2023;Braga;44879;F014;Segurança Social
2024;Braga;46830;F014;Segurança Social
2025;Braga;46548;F014;Segurança Social
2010;Bragança;9219;F014;Segurança Social
2011;Bragança;8760;F014;Segurança Social
2012;Bragança;8217;F014;Segurança Social
2013;Bragança;8675;F014;Segurança Social
2014;Bragança;8350;F014;Segurança Social
2015;Bragança;7941;F014;Segurança Social
2016;Bragança;7320;F014;Segurança Social
2017;Bragança;7335;F014;Segurança Social
2018;Bragança;6881;F014;Segurança Social
2019;Bragança;9404;F014;Segurança Social
2020;Bragança;9022;F014;Segurança Social
2021;Bragança;9009;F014;Segurança Social
2022;Bragança;9079;F014;Segurança Social
2023;Bragança;9065;F014;Segurança Social
2024;Bragança;8999;F014;Segurança Social
2025;Bragança;8781;F014;Segurança Social
2010;Castelo Branco;10562;F014;Segurança Social
2011;Castelo Branco;9972;F014;Segurança Social
2012;Castelo Branco;9127;F014;Segurança Social
2013;Castelo Branco;8521;F014;Segurança Social
2014;Castelo Branco;7985;F014;Segurança Social
2015;Castelo Branco;7767;F014;Segurança Social
2016;Castelo Branco;7236;F014;Segurança Social
2017;Castelo Branco;7264;F014;Segurança Social
2018;Castelo Branco;6779;F014;Segurança Social
2019;Castelo Branco;8820;F014;Segurança Social
2020;Castelo Branco;8544;F014;Segurança Social
2021;Castelo Branco;8446;F014;Segurança Social
2022;Castelo Branco;8678;F014;Segurança Social
2023;Castelo Branco;9170;F014;Segurança Social
2024;Castelo Branco;9499;F014;Segurança Social
2025;Castelo Branco;9421;F014;Segurança Social
2010;Coimbra;23580;F014;Segurança Social
2011;Coimbra;22508;F014;Segurança Social
2012;Coimbra;20702;F014;Segurança Social
2013;Coimbra;19484;F014;Segurança Social
2014;Coimbra;18483;F014;Segurança Social
2015;Coimbra;17894;F014;Segurança Social
2016;Coimbra;17329;F014;Segurança Social
2017;Coimbra;17542;F014;Segurança Social
2018;Coimbra;16668;F014;Segurança Social
2019;Coimbra;22068;F014;Segurança Social
2020;Coimbra;21574;F014;Segurança Social
2021;Coimbra;21657;F014;Segurança Social
2022;Coimbra;21915;F014;Segurança Social
2023;Coimbra;23579;F014;Segurança Social
2024;Coimbra;24724;F014;Segurança Social
2025;Coimbra;24193;F014;Segurança Social
2010;Évora;9548;F014;Segurança Social
2011;Évora;8810;F014;Segurança Social
2012;Évora;8195;F014;Segurança Social
2013;Évora;7772;F014;Segurança Social
2014;Évora;7494;F014;Segurança Social
2015;Évora;7298;F014;Segurança Social
2016;Évora;7088;F014;Segurança Social
2017;Évora;7012;F014;Segurança Social
2018;Évora;6537;F014;Segurança Social
2019;Évora;8532;F014;Segurança Social
2020;Évora;8059;F014;Segurança Social
2021;Évora;7984;F014;Segurança Social
2022;Évora;7922;F014;Segurança Social
2023;Évora;8279;F014;Segurança Social
2024;Évora;8608;F014;Segurança Social
