year;district;self_employed_contribution_amount;source_id;source
2010;Aveiro;50127178.44;F014;Segurança Social
2011;Aveiro;47379223.02;F014;Segurança Social
2012;Aveiro;43767834.87;F014;Segurança Social
2013;Aveiro;39764035.34;F014;Segurança Social
2014;Aveiro;36961739.34;F014;Segurança Social
2015;Aveiro;32009780.01;F014;Segurança Social
2016;Aveiro;31497792.29;F014;Segurança Social
2017;Aveiro;32342132.88;F014;Segurança Social
2018;Aveiro;32619431.84;F014;Segurança Social
2019;Aveiro;36187124.1;F014;Segurança Social
2020;Aveiro;33246251.9;F014;Segurança Social
2021;Aveiro;35498646.81;F014;Segurança Social
2022;Aveiro;39419937.51;F014;Segurança Social
2023;Aveiro;42555010.69;F014;Segurança Social
2024;Aveiro;45224315.2;F014;Segurança Social
2025;Aveiro;46619834.42;F014;Segurança Social
2010;Beja;14485852.2;F014;Segurança Social
2011;Beja;13593254.19;F014;Segurança Social
2012;Beja;11944094.72;F014;Segurança Social
2013;Beja;11138073.9;F014;Segurança Social
2014;Beja;10007128.09;F014;Segurança Social
2015;Beja;8464714.65;F014;Segurança Social
2016;Beja;8166560.69;F014;Segurança Social
2017;Beja;8311862.63;F014;Segurança Social
2018;Beja;8459872.51;F014;Segurança Social
2019;Beja;9167192.58;F014;Segurança Social
2020;Beja;8715338.61;F014;Segurança Social
2021;Beja;8746338.68;F014;Segurança Social
2022;Beja;9723714.44;F014;Segurança Social
2023;Beja;10035596.74;F014;Segurança Social
2024;Beja;10574062.38;F014;Segurança Social
2025;Beja;10387415.48;F014;Segurança Social
2010;Braga;52439159.0;F014;Segurança Social
2011;Braga;50646791.02;F014;Segurança Social
2012;Braga;46114941.94;F014;Segurança Social
2013;Braga;43001878.49;F014;Segurança Social
2014;Braga;39440327.81;F014;Segurança Social
2015;Braga;33802556.46;F014;Segurança Social
2016;Braga;33894894.34;F014;Segurança Social
2017;Braga;35240372.77;F014;Segurança Social
2018;Braga;36305532.41;F014;Segurança Social
2019;Braga;40975418.33;F014;Segurança Social
2020;Braga;37991654.31;F014;Segurança Social
2021;Braga;40252766.58;F014;Segurança Social
2022;Braga;45706108.84;F014;Segurança Social
2023;Braga;49431436.79;F014;Segurança Social
2024;Braga;53164001.25;F014;Segurança Social
2025;Braga;56260097.08;F014;Segurança Social
2010;Bragança;13160610.66;F014;Segurança Social
2011;Bragança;12320195.52;F014;Segurança Social
2012;Bragança;10926520.25;F014;Segurança Social
2013;Bragança;11006692.84;F014;Segurança Social
2014;Bragança;9935735.11;F014;Segurança Social
2015;Bragança;8029731.79;F014;Segurança Social
2016;Bragança;7751635.74;F014;Segurança Social
2017;Bragança;7500914.59;F014;Segurança Social
2018;Bragança;7624227.89;F014;Segurança Social
2019;Bragança;7595064.89;F014;Segurança Social
2020;Bragança;7043549.42;F014;Segurança Social
2021;Bragança;7244588.99;F014;Segurança Social
2022;Bragança;8057328.81;F014;Segurança Social
2023;Bragança;8053982.86;F014;Segurança Social
2024;Bragança;8292507.32;F014;Segurança Social
2025;Bragança;8556309.76;F014;Segurança Social
2010;Castelo Branco;14550656.6;F014;Segurança Social
2011;Castelo Branco;13904621.73;F014;Segurança Social
2012;Castelo Branco;12813222.4;F014;Segurança Social
2013;Castelo Branco;11716736.26;F014;Segurança Social
2014;Castelo Branco;10504698.73;F014;Segurança Social
2015;Castelo Branco;8827854.39;F014;Segurança Social
2016;Castelo Branco;8641778.31;F014;Segurança Social
2017;Castelo Branco;8624980.93;F014;Segurança Social
2018;Castelo Branco;8642425.22;F014;Segurança Social
2019;Castelo Branco;9022105.04;F014;Segurança Social
2020;Castelo Branco;8265769.63;F014;Segurança Social
2021;Castelo Branco;8628828.83;F014;Segurança Social
2022;Castelo Branco;9443334.78;F014;Segurança Social
2023;Castelo Branco;9961725.97;F014;Segurança Social
2024;Castelo Branco;10738200.26;F014;Segurança Social
2025;Castelo Branco;10946873.73;F014;Segurança Social
2010;Coimbra;31150909.85;F014;Segurança Social
2011;Coimbra;29902462.9;F014;Segurança Social
2012;Coimbra;27588689.03;F014;Segurança Social
2013;Coimbra;25043339.1;F014;Segurança Social
2014;Coimbra;22773581.88;F014;Segurança Social
2015;Coimbra;19365404.44;F014;Segurança Social
