year;district;contribution_amount;benefit_amount;contributors_count;beneficiaries_count;new_registrations_count;net_balance;avg_contribution_per_contributor;avg_benefit_per_beneficiary;contribution_benefit_ratio;source_id;source
2015;Aveiro;13884034.84;3486967.13;4935;2333;702;10397067.71;2813.38;1494.63;3.9817;F014;Segurança Social
2015;Beja;10109802.42;2247294.83;6313;1479;2672;7862507.59;1601.43;1519.47;4.4987;F014;Segurança Social
2015;Braga;10176080.77;2529387.92;3646;1595;811;7646692.85;2791.03;1585.82;4.0231;F014;Segurança Social
2015;Bragança;2071074.12;779357.4;991;604;389;1291716.72;2089.88;1290.33;2.6574;F014;Segurança Social
2015;Castelo Branco;2500969.85;720730.96;1097;529;246;1780238.89;2279.83;1362.44;3.47;F014;Segurança Social
2015;Coimbra;8032181.69;2546883.0;3460;1716;854;5485298.69;2321.44;1484.2;3.1537;F014;Segurança Social
2015;Faro;56924289.79;16813622.63;26507;10994;5793;40110667.16;2147.52;1529.35;3.3856;F014;Segurança Social
2015;Guarda;1770595.86;496095.56;766;364;194;1274500.3;2311.48;1362.9;3.5691;F014;Segurança Social
2015;Leiria;15425242.39;4092214.82;6598;2912;1222;11333027.57;2337.87;1405.29;3.7694;F014;Segurança Social
2015;Lisboa;230518800.54;60160856.38;99457;37970;22555;170357944.16;2317.77;1584.43;3.8317;F014;Segurança Social
2015;Outro;13858569.04;973337.18;3925;714;8699;12885231.86;3530.85;1363.22;14.2382;F014;Segurança Social
2015;Portalegre;2334180.77;996036.7;1154;622;165;1338144.07;2022.69;1601.35;2.3435;F014;Segurança Social
2015;Porto;38366665.44;9007604.8;11463;5320;2874;29359060.64;3347.0;1693.16;4.2594;F014;Segurança Social
2015;Região Autónoma da Madeira;6590922.08;1482170.4;1900;757;499;5108751.68;3468.91;1957.95;4.4468;F014;Segurança Social
2015;Região Autónoma dos Açores;2426066.7;873042.63;1139;506;301;1553024.07;2130.0;1725.38;2.7789;F014;Segurança Social
2015;Santarém;12913477.59;4123590.34;5961;2697;805;8789887.25;2166.33;1528.95;3.1316;F014;Segurança Social
2015;Setúbal;40508774.72;16664197.74;19332;10419;2634;23844576.98;2095.43;1599.4;2.4309;F014;Segurança Social
2015;Viana do Castelo;3078852.52;782270.2;1246;541;395;2296582.32;2470.99;1445.97;3.9358;F014;Segurança Social
2015;Vila Real;1651767.67;597110.3;758;367;191;1054657.37;2179.11;1627.0;2.7663;F014;Segurança Social
2015;Viseu;4041845.54;1216847.65;1808;827;462;2824997.89;2235.53;1471.4;3.3216;F014;Segurança Social
2015;Évora;3514937.07;1167544.84;1694;779;217;2347392.23;2074.93;1498.77;3.0105;F014;Segurança Social
2016;Aveiro;14716585.19;3111655.66;5110;2144;860;11604929.53;2879.96;1451.33;4.7295;F014;Segurança Social
2016;Beja;11373687.94;2179382.22;6694;1435;2673;9194305.72;1699.09;1518.73;5.2188;F014;Segurança Social
2016;Braga;11156795.99;2404814.49;3863;1575;871;8751981.5;2888.12;1526.87;4.6394;F014;Segurança Social
2016;Bragança;2065498.65;853390.78;980;670;373;1212107.87;2107.65;1273.72;2.4203;F014;Segurança Social
2016;Castelo Branco;2479719.4;770732.02;1076;502;293;1708987.38;2304.57;1535.32;3.2174;F014;Segurança Social
2016;Coimbra;8410095.77;2456936.04;3471;1612;772;5953159.73;2422.96;1524.15;3.423;F014;Segurança Social
2016;Faro;62368670.28;15374185.9;27667;10476;6644;46994484.38;2254.26;1467.56;4.0567;F014;Segurança Social
2016;Guarda;1799563.89;578076.61;758;388;172;1221487.28;2374.09;1489.89;3.113;F014;Segurança Social
2016;Leiria;16374122.4;3703306.22;6691;2665;1092;12670816.18;2447.19;1389.61;4.4215;F014;Segurança Social
2016;Lisboa;263298227.67;54928842.29;106803;35069;20940;208369385.38;2465.27;1566.31;4.7934;F014;Segurança Social
2016;Outro;16541590.35;966437.42;5047;663;3952;15575152.93;3277.51;1457.67;17.116;F014;Segurança Social
2016;Portalegre;2387784.11;913364.46;1111;545;181;1474419.65;2149.22;1675.9;2.6143;F014;Segurança Social
2016;Porto;40343613.32;8547825.4;12100;5110;3221;31795787.92;3334.18;1672.76;4.7198;F014;Segurança Social
2016;Região Autónoma da Madeira;6322884.0;1480829.06;1949;704;451;4842054.94;3244.17;2103.45;4.2698;F014;Segurança Social
2016;Região Autónoma dos Açores;2547029.04;835243.2;1192;475;320;1711785.84;2136.77;1758.41;3.0494;F014;Segurança Social
2016;Santarém;12800619.19;3758633.94;5901;2489;826;9041985.25;2169.23;1510.1;3.4057;F014;Segurança Social
2016;Setúbal;43260887.41;15265228.36;20086;9454;3104;27995659.05;2153.78;1614.68;2.8339;F014;Segurança Social
2016;Viana do Castelo;3263326.92;770029.09;1268;531;314;2493297.83;2573.6;1450.15;4.2379;F014;Segurança Social
2016;Vila Real;1643621.44;513493.49;726;331;158;1130127.95;2263.94;1551.34;3.2009;F014;Segurança Social
2016;Viseu;4206670.04;1066442.05;1754;717;344;3140227.99;2398.33;1487.37;3.9446;F014;Segurança Social
2016;Évora;3561759.4;1146779.61;1630;743;203;2414979.79;2185.13;1543.44;3.1059;F014;Segurança Social
2017;Aveiro;16895280.04;3001353.79;5799;2202;1480;13893926.25;2913.48;1363.01;5.6292;F014;Segurança Social
2017;Beja;14936256.47;2015304.37;8122;1446;3068;12920952.1;1838.99;1393.71;7.4114;F014;Segurança Social
2017;Braga;13402245.53;2655089.03;4840;1724;1544;10747156.5;2769.06;1540.07;5.0478;F014;Segurança Social
2017;Bragança;2239217.08;938859.38;1024;848;458;1300357.7;2186.74;1107.15;2.385;F014;Segurança Social
2017;Castelo Branco;2639759.72;852250.63;1185;550;515;1787509.09;2227.65;1549.55;3.0974;F014;Segurança Social
2017;Coimbra;9424351.03;2332165.46;3912;1648;1093;7092185.57;2409.09;1415.15;4.041;F014;Segurança Social
2017;Faro;74083210.45;15600534.23;32025;10758;8613;58482676.22;2313.29;1450.13;4.7488;F014;Segurança Social
2017;Guarda;1953236.95;592670.18;807;440;231;1360566.77;2420.37;1346.98;3.2957;F014;Segurança Social
2017;Leiria;17732970.69;3713825.31;7177;2573;1387;14019145.38;2470.81;1443.38;4.7749;F014;Segurança Social
2017;Lisboa;308272428.77;52919917.46;119419;34440;28262;255352511.31;2581.44;1536.58;5.8253;F014;Segurança Social
2017;Outro;20857475.66;1018778.94;6578;683;4473;19838696.72;3170.79;1491.62;20.473;F014;Segurança Social
2017;Portalegre;2510824.67;823878.79;1160;515;210;1686945.88;2164.5;1599.76;3.0476;F014;Segurança Social
2017;Porto;46932787.46;8761456.33;14493;5205;5478;38171331.13;3238.31;1683.28;5.3567;F014;Segurança Social
2017;Região Autónoma da Madeira;6819572.9;1299085.67;2243;735;621;5520487.23;3040.38;1767.46;5.2495;F014;Segurança Social
2017;Região Autónoma dos Açores;2766863.54;892424.25;1291;469;294;1874439.29;2143.19;1902.82;3.1004;F014;Segurança Social
2017;Santarém;13946353.96;3795408.01;6257;2458;1139;10150945.95;2228.92;1544.1;3.6745;F014;Segurança Social
2017;Setúbal;50189007.14;14806383.58;22688;9020;4925;35382623.56;2212.14;1641.51;3.3897;F014;Segurança Social
2017;Viana do Castelo;3912667.65;774985.44;1511;527;383;3137682.21;2589.46;1470.56;5.0487;F014;Segurança Social
2017;Vila Real;2194410.09;528109.25;842;334;258;1666300.84;2606.19;1581.17;4.1552;F014;Segurança Social
2017;Viseu;4513145.23;1055409.95;1895;687;435;3457735.28;2381.61;1536.26;4.2762;F014;Segurança Social
2017;Évora;4026623.72;1010097.72;1665;684;228;3016526.0;2418.39;1476.75;3.9864;F014;Segurança Social
2018;Aveiro;20811572.88;3434399.89;7825;2600;3699;17377172.99;2659.63;1320.92;6.0597;F014;Segurança Social
2018;Beja;20135812.8;2434232.4;11682;1734;6643;17701580.4;1723.66;1403.82;8.2719;F014;Segurança Social
2018;Braga;18899661.95;2948362.37;7266;1974;3514;15951299.58;2601.11;1493.6;6.4102;F014;Segurança Social
2018;Bragança;2595464.3;1081602.18;1281;1066;664;1513862.12;2026.12;1014.64;2.3996;F014;Segurança Social
2018;Castelo Branco;3487491.79;942263.3;1564;552;892;2545228.49;2229.85;1707.0;3.7012;F014;Segurança Social
2018;Coimbra;11196016.81;2397047.59;4756;1722;2072;8798969.22;2354.08;1392.01;4.6708;F014;Segurança Social
2018;Faro;93967433.31;17350352.81;40518;11636;14188;76617080.5;2319.15;1491.09;5.4159;F014;Segurança Social
2018;Guarda;2083552.52;575625.33;904;548;382;1507927.19;2304.81;1050.41;3.6196;F014;Segurança Social
2018;Leiria;21738861.5;4197802.33;9101;2874;3145;17541059.17;2388.62;1460.61;5.1786;F014;Segurança Social
2018;Lisboa;373853149.86;55839719.38;140763;35382;46731;318013430.48;2655.9;1578.2;6.6951;F014;Segurança Social
2018;Outro;25344715.41;1305881.86;8133;878;4623;24038833.55;3116.28;1487.34;19.4081;F014;Segurança Social
2018;Portalegre;2835758.95;855547.32;1257;516;271;1980211.63;2255.97;1658.04;3.3146;F014;Segurança Social
2018;Porto;62593883.6;9509819.61;20554;5709;11254;53084063.99;3045.34;1665.76;6.582;F014;Segurança Social
2018;Região Autónoma da Madeira;7952003.83;1382164.04;2653;816;1217;6569839.79;2997.36;1693.83;5.7533;F014;Segurança Social
2018;Região Autónoma dos Açores;3275797.49;1043234.53;1471;489;430;2232562.96;2226.92;2133.4;3.14;F014;Segurança Social
2018;Santarém;16814572.04;3891658.26;7655;2679;2571;12922913.78;2196.55;1452.65;4.3207;F014;Segurança Social
2018;Setúbal;63847727.28;16647957.8;28201;9784;7403;47199769.48;2264.02;1701.55;3.8352;F014;Segurança Social
2018;Viana do Castelo;5013462.14;861571.42;2165;591;935;4151890.72;2315.69;1457.82;5.819;F014;Segurança Social
2018;Vila Real;2892735.35;639705.27;954;374;364;2253030.08;3032.22;1710.44;4.522;F014;Segurança Social
2018;Viseu;5558567.73;1074927.21;2354;733;829;4483640.52;2361.33;1466.48;5.1711;F014;Segurança Social
2018;Évora;4612257.82;1090309.87;2018;675;541;3521947.95;2285.56;1615.27;4.2302;F014;Segurança Social
2019;Aveiro;29247901.31;4642732.73;11786;3486;6166;24605168.58;2481.58;1331.82;6.2997;F014;Segurança Social
2019;Beja;29728178.92;3085555.09;17292;2179;10915;26642623.83;1719.19;1416.04;9.6346;F014;Segurança Social
2019;Braga;29615511.13;4011465.37;11999;2552;5908;25604045.76;2468.16;1571.89;7.3827;F014;Segurança Social
2019;Bragança;3564306.62;1294339.37;1926;1432;1062;2269967.25;1850.63;903.87;2.7538;F014;Segurança Social
2019;Castelo Branco;5299119.54;1146143.01;2414;767;1397;4152976.53;2195.16;1494.32;4.6234;F014;Segurança Social
2019;Coimbra;15459502.14;2718126.77;6767;1955;2773;12741375.37;2284.54;1390.35;5.6876;F014;Segurança Social
2019;Faro;121510674.72;21118602.74;51998;13650;17833;100392071.98;2336.83;1547.15;5.7537;F014;Segurança Social
2019;Guarda;2576551.32;685371.23;1170;586;487;1891180.09;2202.18;1169.58;3.7594;F014;Segurança Social
2019;Leiria;31289836.27;5483069.94;13106;3598;5391;25806766.33;2387.44;1523.92;5.7066;F014;Segurança Social
2019;Lisboa;474021265.2;64227293.57;178114;39105;66316;409793971.63;2661.34;1642.43;7.3804;F014;Segurança Social
2019;Outro;28173747.8;1584900.28;8091;913;4150;26588847.52;3482.11;1735.93;17.7764;F014;Segurança Social
2019;Portalegre;3702028.65;975997.95;1550;530;406;2726030.7;2388.41;1841.51;3.7931;F014;Segurança Social
2019;Porto;91721476.13;11710213.67;32380;7252;15570;80011262.46;2832.66;1614.76;7.8326;F014;Segurança Social
2019;Região Autónoma da Madeira;9179760.12;1589134.73;3210;901;1190;7590625.39;2859.74;1763.75;5.7766;F014;Segurança Social
2019;Região Autónoma dos Açores;3978496.85;1039541.59;1758;545;499;2938955.26;2263.08;1907.42;3.8272;F014;Segurança Social
2019;Santarém;23572306.89;4655502.28;10868;3272;4895;18916804.61;2168.96;1422.83;5.0633;F014;Segurança Social
2019;Setúbal;88826554.01;19925692.3;39218;11206;14531;68900861.71;2264.94;1778.13;4.4579;F014;Segurança Social
2019;Viana do Castelo;7766114.31;1014977.92;3624;776;1737;6751136.39;2142.97;1307.96;7.6515;F014;Segurança Social
2019;Vila Real;3123148.04;773014.45;1326;408;618;2350133.59;2355.32;1894.64;4.0402;F014;Segurança Social
2019;Viseu;8349038.84;1386215.58;3673;920;1879;6962823.26;2273.08;1506.76;6.0229;F014;Segurança Social
2019;Évora;6385566.38;1216907.11;3040;806;1267;5168659.27;2100.52;1509.81;5.2474;F014;Segurança Social
2020;Aveiro;34847479.56;8672042.31;13393;5827;3977;26175437.25;2601.92;1488.25;4.0184;F014;Segurança Social
2020;Beja;34891103.19;5135939.99;19437;3690;9584;29755163.2;1795.09;1391.85;6.7935;F014;Segurança Social
2020;Braga;36279889.53;8339699.09;14035;5248;4596;27940190.44;2584.96;1589.12;4.3503;F014;Segurança Social
2020;Bragança;4024795.6;1657296.35;1896;1559;712;2367499.25;2122.78;1063.05;2.4285;F014;Segurança Social
2020;Castelo Branco;6485489.83;1814385.7;2871;1228;1262;4671104.13;2258.97;1477.51;3.5745;F014;Segurança Social
2020;Coimbra;17867653.23;5109354.07;7723;3263;2535;12758299.16;2313.56;1565.85;3.497;F014;Segurança Social
2020;Faro;109568468.34;43875474.67;51380;20930;15327;65692993.67;2132.51;2096.3;2.4973;F014;Segurança Social
2020;Guarda;2906501.75;952187.77;1300;715;326;1954313.98;2235.77;1331.73;3.0524;F014;Segurança Social
2020;Leiria;38087581.85;9661228.43;15386;6019;4325;28426353.42;2475.47;1605.12;3.9423;F014;Segurança Social
2020;Lisboa;514152981.72;111790017.23;194513;63842;64752;402362964.49;2643.28;1751.04;4.5993;F014;Segurança Social
2020;Outro;27412387.69;1955362.16;7413;980;3275;25457025.53;3697.88;1995.27;14.0191;F014;Segurança Social
