year;gender;age_group;contributors_count;beneficiaries_count;new_registrations_count;source_id;source
2015;Feminino;20-29;22386;12017;5912;F014;Segurança Social
2015;Feminino;30-39;29896;21323;4266;F014;Segurança Social
2015;Feminino;40-49;23529;12703;2297;F014;Segurança Social
2015;Feminino;50-59;12504;4801;1580;F014;Segurança Social
2015;Feminino;60+;2994;2068;4063;F014;Segurança Social
2015;Feminino;<20;1187;318;3654;F014;Segurança Social
2015;Masculino;20-29;29610;4793;10031;F014;Segurança Social
2015;Masculino;30-39;36235;9895;7081;F014;Segurança Social
2015;Masculino;40-49;26962;8605;3581;F014;Segurança Social
2015;Masculino;50-59;13697;5087;1830;F014;Segurança Social
2015;Masculino;60+;3548;2281;4166;F014;Segurança Social
2015;Masculino;<20;1602;154;4219;F014;Segurança Social
2016;Feminino;20-29;23614;11114;6308;F014;Segurança Social
2016;Feminino;30-39;30335;19978;4390;F014;Segurança Social
2016;Feminino;40-49;23974;12143;2365;F014;Segurança Social
2016;Feminino;50-59;13100;4711;1477;F014;Segurança Social
2016;Feminino;60+;3352;2160;2173;F014;Segurança Social
2016;Feminino;<20;1339;310;3434;F014;Segurança Social
2016;Masculino;20-29;32968;4716;9566;F014;Segurança Social
2016;Masculino;30-39;38816;8690;6857;F014;Segurança Social
2016;Masculino;40-49;27972;7686;3489;F014;Segurança Social
2016;Masculino;50-59;14533;4392;1712;F014;Segurança Social
2016;Masculino;60+;4106;2257;2097;F014;Segurança Social
2016;Masculino;<20;1768;141;3896;F014;Segurança Social
2017;Feminino;20-29;27666;11061;9399;F014;Segurança Social
2017;Feminino;30-39;33984;19953;7419;F014;Segurança Social
2017;Feminino;40-49;26148;12312;3791;F014;Segurança Social
2017;Feminino;50-59;14523;4772;1847;F014;Segurança Social
2017;Feminino;60+;3854;2351;1717;F014;Segurança Social
2017;Feminino;<20;1670;337;4438;F014;Segurança Social
2017;Masculino;20-29;38817;4804;12632;F014;Segurança Social
2017;Masculino;30-39;43994;8686;9295;F014;Segurança Social
2017;Masculino;40-49;30898;7171;4870;F014;Segurança Social
2017;Masculino;50-59;16207;4018;2252;F014;Segurança Social
2017;Masculino;60+;4898;2286;2256;F014;Segurança Social
2017;Masculino;<20;2274;195;5179;F014;Segurança Social
2018;Feminino;20-29;35045;11597;15350;F014;Segurança Social
2018;Feminino;30-39;41458;21066;13143;F014;Segurança Social
2018;Feminino;40-49;30069;13013;6947;F014;Segurança Social
2018;Feminino;50-59;16418;5123;3226;F014;Segurança Social
2018;Feminino;60+;4438;2497;2267;F014;Segurança Social
2018;Feminino;<20;2106;365;7101;F014;Segurança Social
2018;Masculino;20-29;52130;5594;22692;F014;Segurança Social
2018;Masculino;30-39;56935;9842;17873;F014;Segurança Social
2018;Masculino;40-49;36925;7576;8700;F014;Segurança Social
2018;Masculino;50-59;18761;4000;3592;F014;Segurança Social
2018;Masculino;60+;5775;2431;2966;F014;Segurança Social
2018;Masculino;<20;3015;228;8511;F014;Segurança Social
2019;Feminino;20-29;46721;13327;21985;F014;Segurança Social
2019;Feminino;30-39;55402;24553;18813;F014;Segurança Social
