year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2010;Aveiro;267332;36282;876156905.4;50127178.44;2675314068.9;27614;303614;926284083.84;F014;Segurança Social
2010;Beja;47761;9222;130623936.55;14485852.2;407262630.16;6136;56983;145109788.75;F014;Segurança Social
2010;Braga;309613;38485;905680043.2;52439159.0;2778109151.64;36110;348098;958119202.2;F014;Segurança Social
2010;Bragança;30730;9219;80993288.86;13160610.66;257713811.11;5020;39949;94153899.52;F014;Segurança Social
2010;Castelo Branco;57082;10562;160983704.41;14550656.6;505982593.92;7040;67644;175534361.01;F014;Segurança Social
2010;Coimbra;138591;23580;474539453.08;31150909.85;1471588968.99;14775;162171;505690362.93;F014;Segurança Social
2010;Faro;178329;29728;523902525.26;41550063.95;1592142745.1;24340;208057;565452589.21;F014;Segurança Social
2010;Guarda;42825;10006;118077623.36;14307395.27;373585122.59;6059;52831;132385018.63;F014;Segurança Social
2010;Leiria;173146;25171;554498215.3;37920437.62;1701072628.49;22277;198317;592418652.92;F014;Segurança Social
2010;Lisboa;878511;111658;3902195859.28;128457176.85;11852499774.77;103940;990169;4030653036.13;F014;Segurança Social
2010;Outro;3391;612;13007384.5;732334.09;43710823.05;509;4003;13739718.59;F014;Segurança Social
2010;Portalegre;34876;6435;94638037.17;8772662.54;299112556.82;4618;41311;103410699.71;F014;Segurança Social
2010;Porto;660314;78174;2265124925.91;104775946.06;6921769079.28;74250;738488;2369900871.97;F014;Segurança Social
2010;Região Autónoma da Madeira;86274;11244;287053011.24;11473610.54;886492266.04;9442;97518;298526621.78;F014;Segurança Social
2010;Região Autónoma dos Açores;76012;19845;239802275.83;16405877.19;737773638.92;8060;95857;256208153.02;F014;Segurança Social
2010;Santarém;157604;21055;500015330.92;29407058.17;1532207303.52;18353;178659;529422389.09;F014;Segurança Social
2010;Setúbal;312151;37513;1206058438.36;45036194.85;3644470720.14;26827;349664;1251094633.21;F014;Segurança Social
2010;Viana do Castelo;71641;14556;203749355.77;20048629.37;631885204.96;10082;86197;223797985.14;F014;Segurança Social
